Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

48.589175|	37.070746|	0.000000|	9.877494|	0.000000|	16.854720|	7.131541|	0.000000|	1.705613|	0.000000|	
36.623093|	27.449093|	0.000000|	7.321356|	0.000000|	13.570930|	5.611494|	0.000000|	1.437112|	0.000000|	
2.977461|	0.861790|	0.000000|	0.762324|	0.000000|	2.839335|	0.769935|	0.000000|	0.568719|	0.000000|	
2.391030|	0.657923|	0.000000|	0.707456|	0.000000|	2.320343|	0.621630|	0.000000|	0.549193|	0.000000|	
2.956198|	0.825860|	0.000000|	0.743840|	0.000000|	2.894567|	0.806991|	0.000000|	0.582399|	0.000000|	
2.911891|	0.784752|	0.000000|	0.641635|	0.000000|	2.832918|	0.745796|	0.000000|	0.551701|	0.000000|	
2.907592|	0.780220|	0.000000|	0.733653|	0.000000|	2.851665|	0.767812|	0.000000|	0.572114|	0.000000|	
2.698102|	0.755763|	0.000000|	0.753559|	0.000000|	2.619806|	0.715291|	0.000000|	0.561139|	0.000000|	
2.633835|	0.704439|	0.000000|	0.689673|	0.000000|	2.592674|	0.701088|	0.000000|	0.558798|	0.000000|	
2.922235|	0.791563|	0.000000|	0.735865|	0.000000|	2.860297|	0.768813|	0.000000|	0.576763|	0.000000|	
