Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

53.316818|	41.260138|	0.000000|	10.560119|	0.000000|	30.303027|	20.541271|	0.000000|	1.705373|	0.000000|	
53.313570|	41.270588|	0.000000|	10.664251|	0.000000|	27.953476|	18.149185|	0.000000|	1.693275|	0.000000|	
41.612633|	30.060975|	0.000000|	9.567548|	0.000000|	35.199132|	25.760637|	0.000000|	1.663937|	0.000000|	
3.012670|	0.875276|	0.000000|	0.766081|	0.000000|	2.895795|	0.803598|	0.000000|	0.570378|	0.000000|	
2.920286|	0.787767|	0.000000|	0.776506|	0.000000|	2.838410|	0.752459|	0.000000|	0.570301|	0.000000|	
3.408507|	0.962198|	0.000000|	0.826471|	0.000000|	3.274455|	0.879650|	0.000000|	0.588409|	0.000000|	
2.861094|	0.759362|	0.000000|	0.776103|	0.000000|	2.802883|	0.746282|	0.000000|	0.548829|	0.000000|	
3.126620|	0.867085|	0.000000|	0.804922|	0.000000|	2.830797|	0.789777|	0.000000|	0.579096|	0.000000|	
2.886109|	0.764056|	0.000000|	0.771591|	0.000000|	2.836197|	0.760790|	0.000000|	0.559084|	0.000000|	
2.748731|	0.735615|	0.000000|	0.795800|	0.000000|	2.455946|	0.656251|	0.000000|	0.556427|	0.000000|	
