Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.106171|	22.713831|	0.000000|	5.147444|	0.000000|	16.797820|	7.062807|	0.000000|	1.672539|	0.000000|	
32.830922|	22.444415|	0.000000|	5.263318|	0.000000|	16.678469|	6.994050|	0.000000|	1.680466|	0.000000|	
32.863114|	22.477741|	0.000000|	5.222351|	0.000000|	16.786086|	7.053487|	0.000000|	1.681629|	0.000000|	
32.586262|	22.245207|	0.000000|	5.253194|	0.000000|	16.760714|	7.030540|	0.000000|	1.680697|	0.000000|	
32.820839|	22.426227|	0.000000|	5.253403|	0.000000|	16.759346|	7.028545|	0.000000|	1.700818|	0.000000|	
30.914066|	20.917274|	0.000000|	4.924039|	0.000000|	15.999404|	6.639171|	0.000000|	1.605484|	0.000000|	
3.263157|	0.884509|	0.000000|	0.627746|	0.000000|	3.114913|	0.788773|	0.000000|	0.558798|	0.000000|	
2.988991|	0.814701|	0.000000|	0.765854|	0.000000|	2.946308|	0.782520|	0.000000|	0.547930|	0.000000|	
5.067663|	1.986469|	0.000000|	0.856750|	0.000000|	4.296830|	1.315942|	0.000000|	0.670223|	0.000000|	
3.359913|	0.878118|	0.000000|	0.724427|	0.000000|	3.281514|	0.847666|	0.000000|	0.568307|	0.000000|	
