Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

48.413979|	36.936934|	0.000000|	9.900616|	0.000000|	16.912508|	7.139205|	0.000000|	1.706859|	0.000000|	
36.550516|	27.389127|	0.000000|	7.496318|	0.000000|	13.378004|	5.507392|	0.000000|	1.403515|	0.000000|	
3.191736|	0.906544|	0.000000|	0.775016|	0.000000|	3.034422|	0.802024|	0.000000|	0.569396|	0.000000|	
2.883770|	0.761698|	0.000000|	0.782700|	0.000000|	2.800667|	0.724784|	0.000000|	0.557664|	0.000000|	
3.015157|	0.804098|	0.000000|	0.787205|	0.000000|	2.939759|	0.778609|	0.000000|	0.538579|	0.000000|	
2.999845|	0.813868|	0.000000|	0.775298|	0.000000|	2.887778|	0.746541|	0.000000|	0.542099|	0.000000|	
2.991300|	0.793362|	0.000000|	0.785294|	0.000000|	2.816084|	0.750071|	0.000000|	0.552717|	0.000000|	
4.544994|	1.313643|	0.000000|	0.782788|	0.000000|	4.383385|	1.217849|	0.000000|	0.650626|	0.000000|	
2.873942|	0.759690|	0.000000|	0.780994|	0.000000|	2.815356|	0.743253|	0.000000|	0.568700|	0.000000|	
2.832120|	0.745198|	0.000000|	0.770456|	0.000000|	2.745835|	0.698483|	0.000000|	0.554522|	0.000000|	
