Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

48.659163|	37.154459|	0.000000|	9.747390|	0.000000|	16.850851|	7.120434|	0.000000|	1.647497|	0.000000|	
36.619525|	27.470452|	0.000000|	7.347939|	0.000000|	13.454437|	5.567242|	0.000000|	1.438869|	0.000000|	
2.963658|	0.875555|	0.000000|	0.752974|	0.000000|	2.810568|	0.766822|	0.000000|	0.594104|	0.000000|	
3.003893|	0.849860|	0.000000|	0.762366|	0.000000|	2.900647|	0.794475|	0.000000|	0.583340|	0.000000|	
3.197040|	0.909769|	0.000000|	0.821837|	0.000000|	2.967851|	0.814074|	0.000000|	0.591042|	0.000000|	
2.995110|	0.831887|	0.000000|	0.734948|	0.000000|	3.027141|	0.825953|	0.000000|	0.582240|	0.000000|	
3.280631|	0.910203|	0.000000|	0.698458|	0.000000|	3.073225|	0.839673|	0.000000|	0.597191|	0.000000|	
3.074857|	0.842748|	0.000000|	0.765519|	0.000000|	3.034070|	0.810030|	0.000000|	0.582221|	0.000000|	
2.898398|	0.812026|	0.000000|	0.718282|	0.000000|	2.785865|	0.782354|	0.000000|	0.589312|	0.000000|	
2.918936|	0.784898|	0.000000|	0.622455|	0.000000|	2.827103|	0.739545|	0.000000|	0.580533|	0.000000|	
