Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

48.684357|	36.937446|	0.000000|	9.956895|	0.000000|	16.850514|	7.127419|	0.000000|	1.697470|	0.000000|	
35.953926|	27.097082|	0.000000|	7.164021|	0.000000|	12.991136|	5.394235|	0.000000|	1.409479|	0.000000|	
2.872293|	0.833789|	0.000000|	0.595777|	0.000000|	2.755492|	0.763405|	0.000000|	0.556591|	0.000000|	
2.504993|	0.677094|	0.000000|	0.627107|	0.000000|	2.433624|	0.645747|	0.000000|	0.545162|	0.000000|	
2.525097|	0.743082|	0.000000|	0.656588|	0.000000|	2.561688|	0.731440|	0.000000|	0.584165|	0.000000|	
2.728789|	0.769011|	0.000000|	0.636085|	0.000000|	2.654228|	0.735081|	0.000000|	0.563504|	0.000000|	
3.682130|	1.123397|	0.000000|	0.723949|	0.000000|	3.679542|	1.083066|	0.000000|	0.667037|	0.000000|	
2.726696|	0.759895|	0.000000|	0.555791|	0.000000|	2.670247|	0.743771|	0.000000|	0.561570|	0.000000|	
5.960859|	2.372183|	0.000000|	0.830170|	0.000000|	5.589303|	2.065454|	0.000000|	0.734294|	0.000000|	
2.591355|	0.732071|	0.000000|	0.698898|	0.000000|	2.538548|	0.717768|	0.000000|	0.560180|	0.000000|	
