Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.447023|	23.847829|	0.000000|	6.296897|	0.000000|	16.843769|	7.113122|	0.000000|	1.680279|	0.000000|	
34.690253|	24.103999|	0.000000|	6.348828|	0.000000|	16.824942|	7.100558|	0.000000|	1.669163|	0.000000|	
34.701485|	24.104439|	0.000000|	6.290219|	0.000000|	16.828878|	7.104969|	0.000000|	1.654392|	0.000000|	
34.652946|	24.060111|	0.000000|	6.214119|	0.000000|	16.827893|	7.101066|	0.000000|	1.702340|	0.000000|	
28.783352|	18.881704|	0.000000|	1.915750|	0.000000|	16.756417|	7.029129|	0.000000|	1.463788|	0.000000|	
14.566250|	7.046385|	0.000000|	1.545844|	0.000000|	12.497027|	5.112004|	0.000000|	1.161645|	0.000000|	
3.009502|	0.828562|	0.000000|	0.565217|	0.000000|	2.777977|	0.729290|	0.000000|	0.574128|	0.000000|	
3.473694|	1.022440|	0.000000|	0.645133|	0.000000|	3.346630|	0.949930|	0.000000|	0.623371|	0.000000|	
2.527783|	0.699128|	0.000000|	0.613990|	0.000000|	2.455579|	0.665270|	0.000000|	0.545745|	0.000000|	
2.839570|	0.745597|	0.000000|	0.656193|	0.000000|	2.650185|	0.688223|	0.000000|	0.537795|	0.000000|	
