Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.007053|	23.380583|	0.000000|	6.506538|	0.000000|	16.852037|	7.119498|	0.000000|	1.664336|	0.000000|	
34.057218|	23.428339|	0.000000|	6.401439|	0.000000|	16.835152|	7.110357|	0.000000|	1.654789|	0.000000|	
34.017052|	23.386030|	0.000000|	6.458804|	0.000000|	16.832829|	7.106836|	0.000000|	1.686199|	0.000000|	
31.955990|	21.819917|	0.000000|	6.011345|	0.000000|	16.099546|	6.773590|	0.000000|	1.615591|	0.000000|	
2.910600|	0.872951|	0.000000|	0.792401|	0.000000|	2.728338|	0.735837|	0.000000|	0.558445|	0.000000|	
4.812884|	1.910382|	0.000000|	0.842472|	0.000000|	4.154073|	1.312436|	0.000000|	0.680946|	0.000000|	
3.849023|	1.231393|	0.000000|	0.781120|	0.000000|	3.675001|	1.108455|	0.000000|	0.658401|	0.000000|	
2.734574|	0.763840|	0.000000|	0.685927|	0.000000|	2.678957|	0.749229|	0.000000|	0.579481|	0.000000|	
2.709783|	0.754179|	0.000000|	0.645752|	0.000000|	2.627686|	0.712335|	0.000000|	0.561222|	0.000000|	
2.921145|	0.794028|	0.000000|	0.652125|	0.000000|	2.863320|	0.778046|	0.000000|	0.555196|	0.000000|	
