Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.898902|	23.307469|	0.000000|	6.395946|	0.000000|	16.832769|	7.104348|	0.000000|	1.690767|	0.000000|	
34.073037|	23.438845|	0.000000|	6.395284|	0.000000|	16.837407|	7.118870|	0.000000|	1.705780|	0.000000|	
34.040594|	23.403085|	0.000000|	6.397254|	0.000000|	16.818257|	7.097453|	0.000000|	1.705737|	0.000000|	
30.656194|	20.849227|	0.000000|	5.685532|	0.000000|	15.400864|	6.413994|	0.000000|	1.602906|	0.000000|	
3.103007|	0.853474|	0.000000|	0.781286|	0.000000|	3.042454|	0.799238|	0.000000|	0.561071|	0.000000|	
5.091221|	1.948972|	0.000000|	0.896199|	0.000000|	4.456504|	1.430800|	0.000000|	0.699841|	0.000000|	
3.045683|	0.854886|	0.000000|	0.753297|	0.000000|	2.905660|	0.767756|	0.000000|	0.548289|	0.000000|	
2.835584|	0.746311|	0.000000|	0.653412|	0.000000|	2.766726|	0.725537|	0.000000|	0.545754|	0.000000|	
3.194519|	0.828437|	0.000000|	0.695436|	0.000000|	3.089140|	0.780430|	0.000000|	0.562361|	0.000000|	
2.949154|	0.769888|	0.000000|	0.764408|	0.000000|	2.889287|	0.764334|	0.000000|	0.565015|	0.000000|	
