Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.094730|	23.364247|	0.000000|	6.363070|	0.000000|	16.833992|	7.116797|	0.000000|	1.666705|	0.000000|	
34.128209|	23.530355|	0.000000|	6.398576|	0.000000|	16.816921|	7.099010|	0.000000|	1.670898|	0.000000|	
34.006361|	23.402188|	0.000000|	6.395236|	0.000000|	16.818466|	7.106776|	0.000000|	1.657841|	0.000000|	
31.998614|	21.875140|	0.000000|	6.002636|	0.000000|	16.019853|	6.717295|	0.000000|	1.609325|	0.000000|	
3.002743|	0.853227|	0.000000|	0.620439|	0.000000|	2.889282|	0.786489|	0.000000|	0.569910|	0.000000|	
2.726105|	0.779227|	0.000000|	0.562845|	0.000000|	2.625211|	0.719921|	0.000000|	0.560258|	0.000000|	
2.744262|	0.718741|	0.000000|	0.579363|	0.000000|	2.703025|	0.717679|	0.000000|	0.556156|	0.000000|	
2.746479|	0.772579|	0.000000|	0.631438|	0.000000|	2.696568|	0.763449|	0.000000|	0.582364|	0.000000|	
4.728799|	1.892126|	0.000000|	0.841451|	0.000000|	4.081808|	1.301131|	0.000000|	0.664567|	0.000000|	
3.199556|	0.911864|	0.000000|	0.741155|	0.000000|	3.203821|	0.893144|	0.000000|	0.592583|	0.000000|	
