Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

53.294009|	41.232885|	0.000000|	10.485708|	0.000000|	51.775118|	42.004498|	0.000000|	1.705033|	0.000000|	
46.743470|	34.616012|	0.000000|	10.569311|	0.000000|	44.298491|	34.484331|	0.000000|	1.711253|	0.000000|	
36.408902|	25.039844|	0.000000|	9.325628|	0.000000|	37.669896|	28.320488|	0.000000|	1.625488|	0.000000|	
2.799493|	0.754033|	0.000000|	0.571628|	0.000000|	2.746241|	0.744671|	0.000000|	0.554588|	0.000000|	
2.574023|	0.684569|	0.000000|	0.526250|	0.000000|	2.491256|	0.642804|	0.000000|	0.544131|	0.000000|	
2.602115|	0.692308|	0.000000|	0.546722|	0.000000|	2.562938|	0.696106|	0.000000|	0.547634|	0.000000|	
14.898805|	6.053592|	0.000000|	1.634635|	0.000000|	15.641072|	6.950836|	0.000000|	1.319808|	0.000000|	
16.830535|	6.940676|	0.000000|	1.783886|	0.000000|	17.391072|	7.666330|	0.000000|	1.466294|	0.000000|	
16.834709|	6.944076|	0.000000|	1.699306|	0.000000|	17.399979|	7.675976|	0.000000|	1.457643|	0.000000|	
7.548083|	2.856923|	0.000000|	0.985559|	0.000000|	7.685267|	3.089677|	0.000000|	0.870057|	0.000000|	
