Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.074104|	23.428755|	0.000000|	6.696727|	0.000000|	16.824870|	7.096269|	0.000000|	1.670282|	0.000000|	
34.061249|	23.409522|	0.000000|	6.399788|	0.000000|	16.822325|	7.097651|	0.000000|	1.662593|	0.000000|	
34.066690|	23.426254|	0.000000|	6.558781|	0.000000|	16.828040|	7.101766|	0.000000|	1.648984|	0.000000|	
31.980196|	21.843941|	0.000000|	5.993359|	0.000000|	15.951354|	6.677740|	0.000000|	1.601352|	0.000000|	
2.972668|	0.860278|	0.000000|	0.736028|	0.000000|	2.800539|	0.738009|	0.000000|	0.566104|	0.000000|	
2.765310|	0.745323|	0.000000|	0.738480|	0.000000|	2.695746|	0.719370|	0.000000|	0.547217|	0.000000|	
2.709174|	0.712181|	0.000000|	0.612960|	0.000000|	2.625557|	0.675812|	0.000000|	0.523867|	0.000000|	
13.503365|	6.020167|	0.000000|	1.443401|	0.000000|	12.372108|	5.027217|	0.000000|	1.190750|	0.000000|	
2.910674|	0.781256|	0.000000|	0.698014|	0.000000|	2.850411|	0.765424|	0.000000|	0.564407|	0.000000|	
2.930748|	0.806639|	0.000000|	0.584780|	0.000000|	2.836329|	0.759168|	0.000000|	0.566899|	0.000000|	
