Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
39.640866|	28.420881|	0.000000|	8.826632|	0.000000|	16.833517|	7.103220|	0.000000|	1.690131|	0.000000|	
39.823962|	28.550673|	0.000000|	8.772098|	0.000000|	16.820549|	7.096632|	0.000000|	1.691606|	0.000000|	
5.889912|	2.912925|	0.000000|	1.318045|	0.000000|	4.081438|	1.268277|	0.000000|	0.664997|	0.000000|	
2.730148|	0.767560|	0.000000|	0.792903|	0.000000|	2.669189|	0.694581|	0.000000|	0.547016|	0.000000|	
4.480243|	1.314554|	0.000000|	0.841501|	0.000000|	4.252766|	1.212987|	0.000000|	0.656402|	0.000000|	
3.292744|	0.889817|	0.000000|	0.811602|	0.000000|	3.165456|	0.819366|	0.000000|	0.572769|	0.000000|	
5.031167|	1.925712|	0.000000|	0.899896|	0.000000|	4.463549|	1.426418|	0.000000|	0.661514|	0.000000|	
3.278426|	1.034909|	0.000000|	0.792764|	0.000000|	3.042674|	0.849722|	0.000000|	0.568661|	0.000000|	
3.204329|	0.865993|	0.000000|	0.759073|	0.000000|	3.114156|	0.828024|	0.000000|	0.547223|	0.000000|	
3.267954|	0.903106|	0.000000|	0.787751|	0.000000|	3.204796|	0.839414|	0.000000|	0.577286|	0.000000|	
