Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

48.288625|	36.827112|	0.000000|	9.976847|	0.000000|	16.832694|	7.110023|	0.000000|	1.689683|	0.000000|	
36.289113|	27.223655|	0.000000|	7.433877|	0.000000|	13.260773|	5.471672|	0.000000|	1.401782|	0.000000|	
3.281905|	0.933686|	0.000000|	0.688774|	0.000000|	3.202551|	0.846723|	0.000000|	0.583171|	0.000000|	
2.923648|	0.795655|	0.000000|	0.780901|	0.000000|	2.746374|	0.720108|	0.000000|	0.541623|	0.000000|	
2.926874|	0.795147|	0.000000|	0.778020|	0.000000|	2.841036|	0.752989|	0.000000|	0.565557|	0.000000|	
2.846830|	0.759238|	0.000000|	0.801319|	0.000000|	2.785277|	0.738239|	0.000000|	0.540121|	0.000000|	
2.825612|	0.743673|	0.000000|	0.780878|	0.000000|	2.743663|	0.700604|	0.000000|	0.550545|	0.000000|	
2.918903|	0.755708|	0.000000|	0.795508|	0.000000|	2.873857|	0.751524|	0.000000|	0.562141|	0.000000|	
2.794173|	0.766567|	0.000000|	0.787865|	0.000000|	2.716796|	0.725552|	0.000000|	0.569805|	0.000000|	
2.548339|	0.661429|	0.000000|	0.776249|	0.000000|	2.504585|	0.650857|	0.000000|	0.556203|	0.000000|	
