Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.104222|	23.451424|	0.000000|	6.357731|	0.000000|	16.825529|	7.098082|	0.000000|	1.700888|	0.000000|	
34.070918|	23.422248|	0.000000|	6.329813|	0.000000|	16.825409|	7.104799|	0.000000|	1.697114|	0.000000|	
34.152482|	23.500935|	0.000000|	6.458221|	0.000000|	16.832989|	7.110906|	0.000000|	1.699448|	0.000000|	
31.438352|	21.457585|	0.000000|	5.887591|	0.000000|	15.700604|	6.573894|	0.000000|	1.606275|	0.000000|	
18.107581|	9.718066|	0.000000|	1.657973|	0.000000|	14.044247|	5.809406|	0.000000|	1.250423|	0.000000|	
3.050732|	0.831936|	0.000000|	0.636608|	0.000000|	2.956874|	0.789305|	0.000000|	0.560177|	0.000000|	
3.548008|	1.003576|	0.000000|	0.749044|	0.000000|	3.521073|	0.951452|	0.000000|	0.589105|	0.000000|	
3.521212|	0.981027|	0.000000|	0.635331|	0.000000|	3.280783|	0.883213|	0.000000|	0.573493|	0.000000|	
3.050032|	0.780995|	0.000000|	0.561612|	0.000000|	2.867547|	0.739599|	0.000000|	0.539692|	0.000000|	
3.189153|	0.877168|	0.000000|	0.552412|	0.000000|	3.011485|	0.792551|	0.000000|	0.572729|	0.000000|	
