Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.891068|	22.464176|	0.000000|	5.199349|	0.000000|	16.770099|	7.031503|	0.000000|	1.673343|	0.000000|	
32.850753|	22.423360|	0.000000|	5.307403|	0.000000|	16.677602|	6.992260|	0.000000|	1.657136|	0.000000|	
32.731189|	22.357086|	0.000000|	5.226240|	0.000000|	16.777086|	7.042195|	0.000000|	1.674981|	0.000000|	
32.862136|	22.436937|	0.000000|	5.281673|	0.000000|	16.761902|	7.026698|	0.000000|	1.656981|	0.000000|	
32.838968|	22.418685|	0.000000|	5.251042|	0.000000|	16.775569|	7.038603|	0.000000|	1.683912|	0.000000|	
31.646476|	21.521960|	0.000000|	5.063892|	0.000000|	16.253156|	6.789959|	0.000000|	1.590983|	0.000000|	
4.572422|	1.914346|	0.000000|	0.750726|	0.000000|	4.179244|	1.323821|	0.000000|	0.651973|	0.000000|	
3.124898|	0.901683|	0.000000|	0.596607|	0.000000|	2.757404|	0.755685|	0.000000|	0.562046|	0.000000|	
2.639301|	0.703401|	0.000000|	0.737260|	0.000000|	2.682973|	0.707969|	0.000000|	0.550928|	0.000000|	
10.013445|	4.158843|	0.000000|	1.277030|	0.000000|	9.891038|	4.056439|	0.000000|	0.992884|	0.000000|	
