Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

39.868685|	28.595902|	0.000000|	8.875554|	0.000000|	16.851794|	7.121239|	0.000000|	1.662781|	0.000000|	
39.798869|	28.531487|	0.000000|	8.822187|	0.000000|	16.812607|	7.089491|	0.000000|	1.689315|	0.000000|	
6.342831|	3.425892|	0.000000|	1.465617|	0.000000|	4.087819|	1.328338|	0.000000|	0.675314|	0.000000|	
16.567033|	7.453958|	0.000000|	1.766877|	0.000000|	15.242767|	6.303893|	0.000000|	1.365894|	0.000000|	
20.851817|	10.943540|	0.000000|	1.898576|	0.000000|	16.747571|	7.023469|	0.000000|	1.483240|	0.000000|	
5.069813|	1.868344|	0.000000|	0.940342|	0.000000|	4.643074|	1.586114|	0.000000|	0.700666|	0.000000|	
3.700156|	1.087223|	0.000000|	0.774344|	0.000000|	3.537787|	0.982831|	0.000000|	0.608858|	0.000000|	
3.132609|	0.838859|	0.000000|	0.773968|	0.000000|	3.009129|	0.768637|	0.000000|	0.573799|	0.000000|	
3.561894|	0.953285|	0.000000|	0.784218|	0.000000|	3.547512|	0.998100|	0.000000|	0.601837|	0.000000|	
3.555675|	1.017557|	0.000000|	0.771655|	0.000000|	3.424813|	0.945656|	0.000000|	0.632799|	0.000000|	
