Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.442442|	22.971311|	0.000000|	5.242117|	0.000000|	16.781830|	7.046711|	0.000000|	1.652895|	0.000000|	
33.376452|	23.027374|	0.000000|	5.219548|	0.000000|	16.754327|	7.026204|	0.000000|	1.676894|	0.000000|	
33.065997|	22.704081|	0.000000|	5.272079|	0.000000|	16.770418|	7.039849|	0.000000|	1.668687|	0.000000|	
32.716643|	22.350735|	0.000000|	5.306712|	0.000000|	16.756521|	7.030352|	0.000000|	1.694550|	0.000000|	
32.536414|	22.220962|	0.000000|	5.228669|	0.000000|	16.674861|	6.993899|	0.000000|	1.664392|	0.000000|	
32.750402|	22.378919|	0.000000|	5.289314|	0.000000|	16.770198|	7.042169|	0.000000|	1.696572|	0.000000|	
3.886714|	1.509770|	0.000000|	0.942786|	0.000000|	3.334884|	0.941488|	0.000000|	0.599867|	0.000000|	
4.970773|	2.001511|	0.000000|	0.751918|	0.000000|	4.212996|	1.305359|	0.000000|	0.664357|	0.000000|	
3.175300|	0.814123|	0.000000|	0.645515|	0.000000|	3.102715|	0.792207|	0.000000|	0.570117|	0.000000|	
2.814568|	0.727571|	0.000000|	0.724983|	0.000000|	2.763432|	0.717832|	0.000000|	0.551345|	0.000000|	
