Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.932243|	23.320241|	0.000000|	6.407655|	0.000000|	16.836725|	7.107263|	0.000000|	1.704768|	0.000000|	
33.880219|	23.274809|	0.000000|	6.598532|	0.000000|	16.814967|	7.091865|	0.000000|	1.691765|	0.000000|	
33.779502|	23.218316|	0.000000|	6.467378|	0.000000|	16.836886|	7.109027|	0.000000|	1.709984|	0.000000|	
32.036059|	21.805218|	0.000000|	6.232561|	0.000000|	16.099505|	6.716339|	0.000000|	1.604073|	0.000000|	
2.784587|	0.791563|	0.000000|	0.752985|	0.000000|	2.642376|	0.694623|	0.000000|	0.539780|	0.000000|	
4.711143|	1.893972|	0.000000|	0.889492|	0.000000|	4.054074|	1.296257|	0.000000|	0.677164|	0.000000|	
3.564720|	0.987036|	0.000000|	0.785505|	0.000000|	3.467603|	0.939775|	0.000000|	0.614036|	0.000000|	
3.106453|	0.927336|	0.000000|	0.754655|	0.000000|	2.966494|	0.831903|	0.000000|	0.586235|	0.000000|	
2.469894|	0.658751|	0.000000|	0.728295|	0.000000|	2.537388|	0.676479|	0.000000|	0.557174|	0.000000|	
2.644880|	0.728009|	0.000000|	0.698407|	0.000000|	2.566204|	0.687985|	0.000000|	0.559856|	0.000000|	
