Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

21.918415|	12.951083|	0.000000|	1.830372|	0.000000|	15.266522|	6.420515|	0.000000|	1.481783|	0.000000|	
17.313621|	7.530319|	0.000000|	1.849448|	0.000000|	16.742103|	7.078476|	0.000000|	1.469653|	0.000000|	
9.537133|	3.887771|	0.000000|	1.221309|	0.000000|	9.119276|	3.622088|	0.000000|	0.985450|	0.000000|	
2.971710|	0.798982|	0.000000|	0.667963|	0.000000|	2.709132|	0.734460|	0.000000|	0.578408|	0.000000|	
2.757862|	0.738861|	0.000000|	0.602453|	0.000000|	2.611801|	0.706905|	0.000000|	0.561981|	0.000000|	
3.073241|	0.807818|	0.000000|	0.610832|	0.000000|	2.916040|	0.764224|	0.000000|	0.582523|	0.000000|	
2.801782|	0.729871|	0.000000|	0.669691|	0.000000|	2.762832|	0.718987|	0.000000|	0.554820|	0.000000|	
3.005723|	0.806005|	0.000000|	0.763473|	0.000000|	2.966915|	0.793757|	0.000000|	0.556132|	0.000000|	
17.597710|	8.132144|	0.000000|	1.791863|	0.000000|	16.228686|	6.825128|	0.000000|	1.446337|	0.000000|	
4.390848|	1.549886|	0.000000|	0.820718|	0.000000|	4.128460|	1.368624|	0.000000|	0.654822|	0.000000|	
