Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

36.717539|	26.653642|	0.000000|	4.071712|	0.000000|	16.928814|	7.181589|	0.000000|	1.738602|	0.000000|	
27.069679|	17.107731|	0.000000|	3.596523|	0.000000|	16.760855|	7.087066|	0.000000|	1.695889|	0.000000|	
29.516140|	19.536338|	0.000000|	3.708665|	0.000000|	16.773661|	7.100425|	0.000000|	1.695654|	0.000000|	
43.610791|	34.316861|	0.000000|	4.145631|	0.000000|	15.253969|	6.395899|	0.000000|	1.577840|	0.000000|	
2.564850|	0.691260|	0.000000|	0.516259|	0.000000|	2.481531|	0.641422|	0.000000|	0.551945|	0.000000|	
2.914866|	0.767830|	0.000000|	0.520155|	0.000000|	2.845778|	0.739445|	0.000000|	0.574178|	0.000000|	
2.480040|	0.638666|	0.000000|	0.515710|	0.000000|	2.444051|	0.635016|	0.000000|	0.548812|	0.000000|	
2.898696|	0.790904|	0.000000|	0.526992|	0.000000|	2.845445|	0.773936|	0.000000|	0.529420|	0.000000|	
18.730574|	9.497571|	0.000000|	1.587442|	0.000000|	16.204906|	7.095936|	0.000000|	1.411748|	0.000000|	
19.722798|	9.905969|	0.000000|	1.635720|	0.000000|	17.402964|	7.713948|	0.000000|	1.433994|	0.000000|	
