Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

45.726891|	35.712359|	0.000000|	3.476594|	0.000000|	16.803659|	7.107061|	0.000000|	1.665817|	0.000000|	
47.290916|	37.266252|	0.000000|	3.433255|	0.000000|	16.829200|	7.120902|	0.000000|	1.642619|	0.000000|	
45.960646|	35.928823|	0.000000|	3.421538|	0.000000|	16.803724|	7.099318|	0.000000|	1.637917|	0.000000|	
45.989980|	35.961499|	0.000000|	3.405835|	0.000000|	16.801549|	7.098206|	0.000000|	1.621652|	0.000000|	
46.022003|	35.989876|	0.000000|	3.448106|	0.000000|	16.814381|	7.109671|	0.000000|	1.624595|	0.000000|	
45.770702|	35.792043|	0.000000|	3.308234|	0.000000|	16.796223|	7.094012|	0.000000|	1.654838|	0.000000|	
46.058946|	36.023481|	0.000000|	3.438985|	0.000000|	16.816310|	7.110459|	0.000000|	1.651328|	0.000000|	
46.034873|	35.989632|	0.000000|	3.437919|	0.000000|	16.810919|	7.107868|	0.000000|	1.645417|	0.000000|	
47.463762|	37.415467|	0.000000|	3.370515|	0.000000|	16.728654|	7.072194|	0.000000|	1.662346|	0.000000|	
46.409056|	36.364440|	0.000000|	3.438111|	0.000000|	16.810150|	7.109706|	0.000000|	1.635352|	0.000000|	
46.074769|	36.022054|	0.000000|	3.439264|	0.000000|	16.809586|	7.107197|	0.000000|	1.634177|	0.000000|	
46.072188|	36.009408|	0.000000|	3.456398|	0.000000|	16.806878|	7.106996|	0.000000|	1.630720|	0.000000|	
45.828755|	35.815758|	0.000000|	3.420747|	0.000000|	16.797169|	7.097591|	0.000000|	1.599377|	0.000000|	
46.045687|	35.988407|	0.000000|	3.422814|	0.000000|	16.799308|	7.097683|	0.000000|	1.627252|	0.000000|	
46.149194|	36.094509|	0.000000|	3.425148|	0.000000|	16.827862|	7.128618|	0.000000|	1.655140|	0.000000|	
46.042086|	35.992777|	0.000000|	3.317527|	0.000000|	16.800277|	7.098723|	0.000000|	1.654920|	0.000000|	
48.218616|	38.156797|	0.000000|	3.452264|	0.000000|	16.830095|	7.125519|	0.000000|	1.654691|	0.000000|	
46.134630|	36.076356|	0.000000|	3.422034|	0.000000|	16.798730|	7.093991|	0.000000|	1.627656|	0.000000|	
49.714099|	39.646830|	0.000000|	3.371842|	0.000000|	16.827782|	7.122033|	0.000000|	1.651550|	0.000000|	
48.265484|	38.193024|	0.000000|	3.440668|	0.000000|	16.723058|	7.071650|	0.000000|	1.657414|	0.000000|	
47.808366|	37.789074|	0.000000|	3.352327|	0.000000|	16.814071|	7.112526|	0.000000|	1.626339|	0.000000|	
46.980348|	36.909015|	0.000000|	3.386978|	0.000000|	16.814915|	7.114845|	0.000000|	1.631451|	0.000000|	
46.132774|	36.056385|	0.000000|	3.403177|	0.000000|	16.810269|	7.108649|	0.000000|	1.646131|	0.000000|	
46.508683|	36.431877|	0.000000|	3.402760|	0.000000|	16.805900|	7.104020|	0.000000|	1.635910|	0.000000|	
46.201346|	36.119771|	0.000000|	3.437891|	0.000000|	16.809601|	7.109187|	0.000000|	1.645903|	0.000000|	
46.229029|	36.150506|	0.000000|	3.370928|	0.000000|	16.804690|	7.094743|	0.000000|	1.629312|	0.000000|	
46.204433|	36.137085|	0.000000|	3.350784|	0.000000|	16.812229|	7.109004|	0.000000|	1.660322|	0.000000|	
46.019219|	35.990338|	0.000000|	3.403256|	0.000000|	16.801435|	7.096178|	0.000000|	1.666607|	0.000000|	
46.250680|	36.177772|	0.000000|	3.420642|	0.000000|	16.827253|	7.121729|	0.000000|	1.659927|	0.000000|	
46.262585|	36.184556|	0.000000|	3.421666|	0.000000|	16.907821|	7.247949|	0.000000|	1.652102|	0.000000|	
46.142952|	36.066513|	0.000000|	3.441619|	0.000000|	17.468904|	7.762158|	0.000000|	1.658039|	0.000000|	
47.404796|	37.318548|	0.000000|	3.389133|	0.000000|	16.835055|	7.125657|	0.000000|	1.650678|	0.000000|	
46.246605|	36.163466|	0.000000|	3.408574|	0.000000|	16.796599|	7.093715|	0.000000|	1.633526|	0.000000|	
45.918386|	35.889105|	0.000000|	3.404656|	0.000000|	16.817125|	7.109091|	0.000000|	1.656425|	0.000000|	
46.224326|	36.143380|	0.000000|	3.418921|	0.000000|	16.821899|	7.122070|	0.000000|	1.659263|	0.000000|	
46.093264|	36.021221|	0.000000|	3.455249|	0.000000|	16.806612|	7.102328|	0.000000|	1.633723|	0.000000|	
46.104809|	36.035052|	0.000000|	3.311797|	0.000000|	16.809442|	7.105323|	0.000000|	1.631237|	0.000000|	
46.116096|	36.038207|	0.000000|	3.372185|	0.000000|	16.805050|	7.103138|	0.000000|	1.631627|	0.000000|	
47.054078|	36.971019|	0.000000|	3.466201|	0.000000|	16.808629|	7.101025|	0.000000|	1.662375|	0.000000|	
46.166290|	36.090280|	0.000000|	3.439648|	0.000000|	16.814886|	7.108610|	0.000000|	1.616775|	0.000000|	
46.109489|	36.025773|	0.000000|	3.394660|	0.000000|	16.800182|	7.091314|	0.000000|	1.632317|	0.000000|	
45.907072|	35.870246|	0.000000|	3.409578|	0.000000|	16.731439|	7.070988|	0.000000|	1.625392|	0.000000|	
46.104969|	36.022397|	0.000000|	3.440359|	0.000000|	16.808065|	7.096608|	0.000000|	1.665330|	0.000000|	
46.026817|	35.941646|	0.000000|	3.412499|	0.000000|	16.805429|	7.096301|	0.000000|	1.640516|	0.000000|	
46.111129|	36.025404|	0.000000|	3.444054|	0.000000|	16.818674|	7.107283|	0.000000|	1.683845|	0.000000|	
46.082981|	35.996347|	0.000000|	3.455410|	0.000000|	16.801593|	7.096499|	0.000000|	1.657100|	0.000000|	
47.708155|	37.621423|	0.000000|	3.474461|	0.000000|	16.822489|	7.117991|	0.000000|	1.675188|	0.000000|	
46.044803|	35.959657|	0.000000|	3.439312|	0.000000|	16.798121|	7.095054|	0.000000|	1.620427|	0.000000|	
45.815756|	35.962503|	0.000000|	3.405810|	0.000000|	16.805256|	7.100678|	0.000000|	1.666476|	0.000000|	
45.987470|	35.727641|	0.000000|	3.298954|	0.000000|	16.808853|	7.100950|	0.000000|	1.648908|	0.000000|	
45.993280|	35.905266|	0.000000|	3.404644|	0.000000|	16.800855|	7.097346|	0.000000|	1.672858|	0.000000|	
46.080494|	35.993558|	0.000000|	3.456709|	0.000000|	16.724088|	7.064159|	0.000000|	1.614620|	0.000000|	
46.004263|	35.918316|	0.000000|	3.405734|	0.000000|	16.806968|	7.099300|	0.000000|	1.647789|	0.000000|	
46.781252|	36.695173|	0.000000|	3.455628|	0.000000|	16.803379|	7.092441|	0.000000|	1.705318|	0.000000|	
46.070610|	35.982959|	0.000000|	3.423124|	0.000000|	16.831810|	7.121753|	0.000000|	1.680388|	0.000000|	
46.038167|	35.953052|	0.000000|	3.422963|	0.000000|	16.800027|	7.095621|	0.000000|	1.656821|	0.000000|	
45.780990|	35.746172|	0.000000|	3.407389|	0.000000|	16.811453|	7.107409|	0.000000|	1.643136|	0.000000|	
46.098243|	36.014319|	0.000000|	3.373084|	0.000000|	16.851940|	7.148569|	0.000000|	1.638922|	0.000000|	
46.092950|	36.008066|	0.000000|	3.448640|	0.000000|	16.808898|	7.104722|	0.000000|	1.624446|	0.000000|	
46.176416|	36.087041|	0.000000|	3.458156|	0.000000|	16.739626|	7.079083|	0.000000|	1.617968|	0.000000|	
45.999137|	35.915256|	0.000000|	3.441655|	0.000000|	16.795372|	7.091517|	0.000000|	1.647291|	0.000000|	
47.837953|	37.745209|	0.000000|	3.458550|	0.000000|	16.820743|	7.109998|	0.000000|	1.683026|	0.000000|	
46.121161|	36.081192|	0.000000|	3.407463|	0.000000|	16.811428|	7.094208|	0.000000|	1.660259|	0.000000|	
46.193197|	36.109493|	0.000000|	3.456668|	0.000000|	16.804718|	7.093698|	0.000000|	1.654705|	0.000000|	
46.326973|	36.237872|	0.000000|	3.403022|	0.000000|	16.807680|	7.100422|	0.000000|	1.618875|	0.000000|	
46.258897|	36.169171|	0.000000|	3.459313|	0.000000|	16.814311|	7.108637|	0.000000|	1.654369|	0.000000|	
46.225321|	36.142234|	0.000000|	3.325782|	0.000000|	16.809871|	7.108330|	0.000000|	1.645114|	0.000000|	
46.289731|	36.199920|	0.000000|	3.426808|	0.000000|	16.811038|	7.108946|	0.000000|	1.670659|	0.000000|	
46.916369|	36.828564|	0.000000|	3.473269|	0.000000|	16.736074|	7.082186|	0.000000|	1.687498|	0.000000|	
46.821428|	36.731343|	0.000000|	3.396498|	0.000000|	16.796989|	7.095230|	0.000000|	1.680053|	0.000000|	
46.034246|	35.994457|	0.000000|	3.453680|	0.000000|	16.796649|	7.094627|	0.000000|	1.666243|	0.000000|	
46.206158|	36.118045|	0.000000|	3.458494|	0.000000|	16.807634|	7.104706|	0.000000|	1.652478|	0.000000|	
46.124656|	36.037455|	0.000000|	3.420662|	0.000000|	16.805046|	7.099773|	0.000000|	1.670215|	0.000000|	
46.286546|	36.197935|	0.000000|	3.455288|	0.000000|	16.806434|	7.101051|	0.000000|	1.621445|	0.000000|	
46.286437|	36.195641|	0.000000|	3.421890|	0.000000|	16.820614|	7.113577|	0.000000|	1.657084|	0.000000|	
46.216194|	36.125246|	0.000000|	3.458475|	0.000000|	16.800611|	7.090746|	0.000000|	1.614021|	0.000000|	
47.700905|	37.657121|	0.000000|	3.475619|	0.000000|	16.826242|	7.109127|	0.000000|	1.669939|	0.000000|	
47.095035|	37.006952|	0.000000|	3.429055|	0.000000|	16.719106|	7.057787|	0.000000|	1.640836|	0.000000|	
46.350711|	36.262799|	0.000000|	3.406021|	0.000000|	16.812736|	7.107114|	0.000000|	1.632309|	0.000000|	
46.143765|	36.055576|	0.000000|	3.455298|	0.000000|	16.791725|	7.089725|	0.000000|	1.626663|	0.000000|	
46.220346|	36.126943|	0.000000|	3.428524|	0.000000|	16.809897|	7.100778|	0.000000|	1.651031|	0.000000|	
46.116358|	36.025205|	0.000000|	3.454492|	0.000000|	16.815061|	7.107748|	0.000000|	1.657626|	0.000000|	
46.101186|	36.008971|	0.000000|	3.442789|	0.000000|	16.802317|	7.094925|	0.000000|	1.653260|	0.000000|	
46.583812|	36.488016|	0.000000|	3.517135|	0.000000|	16.820772|	7.110395|	0.000000|	1.653515|	0.000000|	
48.147687|	38.098287|	0.000000|	3.517870|	0.000000|	16.801635|	7.091473|	0.000000|	1.641083|	0.000000|	
46.111774|	36.015116|	0.000000|	3.431202|	0.000000|	16.804143|	7.096723|	0.000000|	1.636657|	0.000000|	
46.209882|	36.111368|	0.000000|	3.412782|	0.000000|	16.724400|	7.065741|	0.000000|	1.606400|	0.000000|	
