Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

44.636190|	34.689886|	0.000000|	3.079480|	0.000000|	16.835147|	7.139699|	0.000000|	1.644945|	0.000000|	
30.969060|	21.052296|	0.000000|	2.810753|	0.000000|	16.808649|	7.120778|	0.000000|	1.596775|	0.000000|	
25.529197|	15.640063|	0.000000|	2.645278|	0.000000|	16.787067|	7.105562|	0.000000|	1.598403|	0.000000|	
29.754761|	19.854882|	0.000000|	2.771594|	0.000000|	16.823084|	7.138930|	0.000000|	1.628509|	0.000000|	
44.625919|	34.662430|	0.000000|	2.991750|	0.000000|	16.808545|	7.113262|	0.000000|	1.609079|	0.000000|	
44.573865|	34.599046|	0.000000|	2.943128|	0.000000|	16.793651|	7.103025|	0.000000|	1.613243|	0.000000|	
45.123273|	35.145249|	0.000000|	2.993122|	0.000000|	16.818140|	7.119504|	0.000000|	1.680713|	0.000000|	
44.397096|	34.467010|	0.000000|	2.964637|	0.000000|	16.811031|	7.119743|	0.000000|	1.648646|	0.000000|	
44.571431|	34.591134|	0.000000|	2.923305|	0.000000|	16.814388|	7.120867|	0.000000|	1.626510|	0.000000|	
44.656214|	34.674682|	0.000000|	2.949677|	0.000000|	16.803336|	7.109425|	0.000000|	1.639964|	0.000000|	
44.594383|	34.613505|	0.000000|	3.045419|	0.000000|	16.798271|	7.099815|	0.000000|	1.647062|	0.000000|	
44.583857|	34.601622|	0.000000|	2.992874|	0.000000|	16.742973|	7.090462|	0.000000|	1.638762|	0.000000|	
44.556457|	34.577129|	0.000000|	2.973498|	0.000000|	16.810450|	7.110505|	0.000000|	1.656055|	0.000000|	
31.203755|	21.348267|	0.000000|	2.062827|	0.000000|	16.760308|	7.058436|	0.000000|	1.513130|	0.000000|	
23.774630|	13.892847|	0.000000|	1.868040|	0.000000|	17.101364|	7.389671|	0.000000|	1.491139|	0.000000|	
16.843747|	6.976709|	0.000000|	1.752739|	0.000000|	17.357889|	7.656322|	0.000000|	1.453233|	0.000000|	
16.797406|	6.944701|	0.000000|	1.705648|	0.000000|	17.384396|	7.688346|	0.000000|	1.455256|	0.000000|	
16.772368|	6.919428|	0.000000|	1.691275|	0.000000|	17.395887|	7.698785|	0.000000|	1.461470|	0.000000|	
13.105185|	5.314770|	0.000000|	1.464649|	0.000000|	13.503441|	5.863679|	0.000000|	1.214768|	0.000000|	
2.951262|	0.806138|	0.000000|	0.578945|	0.000000|	3.098484|	0.822120|	0.000000|	0.578187|	0.000000|	
2.884505|	0.772144|	0.000000|	0.556356|	0.000000|	2.939978|	0.781963|	0.000000|	0.592345|	0.000000|	
4.972162|	1.866092|	0.000000|	0.695513|	0.000000|	4.595489|	1.460499|	0.000000|	0.676950|	0.000000|	
17.630450|	7.795913|	0.000000|	1.818730|	0.000000|	16.734099|	7.042916|	0.000000|	1.466655|	0.000000|	
9.321289|	3.820563|	0.000000|	1.163314|	0.000000|	13.688436|	8.267518|	0.000000|	0.965218|	0.000000|	
2.802292|	0.781859|	0.000000|	0.631652|	0.000000|	2.953107|	0.800042|	0.000000|	0.580515|	0.000000|	
