Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

29.156370|	19.119043|	0.000000|	3.946689|	0.000000|	16.872295|	7.188273|	0.000000|	1.688603|	0.000000|	
18.973732|	9.071701|	0.000000|	3.256063|	0.000000|	16.809330|	7.143184|	0.000000|	1.666961|	0.000000|	
18.977252|	9.069510|	0.000000|	3.270765|	0.000000|	16.792281|	7.134925|	0.000000|	1.631926|	0.000000|	
29.757892|	19.739737|	0.000000|	4.014493|	0.000000|	16.891554|	7.185092|	0.000000|	1.705733|	0.000000|	
32.871520|	22.806073|	0.000000|	4.143832|	0.000000|	16.743401|	7.117543|	0.000000|	1.689262|	0.000000|	
32.899202|	22.831281|	0.000000|	4.175466|	0.000000|	16.821602|	7.146391|	0.000000|	1.698794|	0.000000|	
32.821368|	22.752491|	0.000000|	4.115690|	0.000000|	16.815059|	7.138530|	0.000000|	1.699712|	0.000000|	
33.399854|	23.322143|	0.000000|	4.224283|	0.000000|	16.819707|	7.138966|	0.000000|	1.680532|	0.000000|	
32.958657|	22.883429|	0.000000|	4.130732|	0.000000|	16.840284|	7.154100|	0.000000|	1.699048|	0.000000|	
32.733544|	22.819674|	0.000000|	4.172527|	0.000000|	16.823544|	7.142234|	0.000000|	1.698756|	0.000000|	
27.548323|	18.757419|	0.000000|	3.504748|	0.000000|	14.351651|	6.027807|	0.000000|	1.498448|	0.000000|	
2.500586|	0.697368|	0.000000|	0.560572|	0.000000|	2.415908|	0.641825|	0.000000|	0.554942|	0.000000|	
2.401991|	0.699871|	0.000000|	0.575469|	0.000000|	2.300873|	0.623861|	0.000000|	0.547542|	0.000000|	
3.562829|	1.123587|	0.000000|	0.628463|	0.000000|	3.412899|	1.009711|	0.000000|	0.654098|	0.000000|	
2.746672|	0.750182|	0.000000|	0.595571|	0.000000|	2.691506|	0.723706|	0.000000|	0.569469|	0.000000|	
18.036278|	8.265365|	0.000000|	1.853120|	0.000000|	16.683131|	7.033501|	0.000000|	1.472685|	0.000000|	
17.333076|	7.540753|	0.000000|	1.851036|	0.000000|	16.722202|	7.049664|	0.000000|	1.429735|	0.000000|	
2.510182|	0.691512|	0.000000|	0.784867|	0.000000|	2.484617|	0.688775|	0.000000|	0.564225|	0.000000|	
2.769413|	0.773271|	0.000000|	0.708369|	0.000000|	2.714250|	0.748163|	0.000000|	0.567989|	0.000000|	
2.929796|	0.806825|	0.000000|	0.656402|	0.000000|	2.889623|	0.797391|	0.000000|	0.596138|	0.000000|	
