Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
31.894242|	22.051505|	0.000000|	1.945282|	0.000000|	16.862744|	7.175109|	0.000000|	1.644367|	0.000000|	
31.141854|	21.293815|	0.000000|	2.016301|	0.000000|	16.882704|	7.187541|	0.000000|	1.656992|	0.000000|	
29.734865|	19.889978|	0.000000|	1.975194|	0.000000|	16.853173|	7.159380|	0.000000|	1.685722|	0.000000|	
29.591873|	19.789739|	0.000000|	1.975494|	0.000000|	16.820285|	7.128136|	0.000000|	1.692159|	0.000000|	
31.624669|	21.763152|	0.000000|	1.946356|	0.000000|	16.757413|	7.108707|	0.000000|	1.681680|	0.000000|	
21.543862|	14.359453|	0.000000|	1.503603|	0.000000|	11.949747|	4.875843|	0.000000|	1.300703|	0.000000|	
2.622193|	0.731602|	0.000000|	0.706717|	0.000000|	2.541386|	0.685568|	0.000000|	0.552409|	0.000000|	
2.607264|	0.699468|	0.000000|	0.793069|	0.000000|	2.567161|	0.694371|	0.000000|	0.553596|	0.000000|	
3.727267|	1.053064|	0.000000|	0.777624|	0.000000|	3.740881|	1.032369|	0.000000|	0.621872|	0.000000|	
14.116734|	6.357206|	0.000000|	1.559209|	0.000000|	12.868029|	5.221257|	0.000000|	1.217360|	0.000000|	
