Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

19.977801|	10.200071|	0.000000|	1.972521|	0.000000|	16.804302|	7.126995|	0.000000|	1.536153|	0.000000|	
18.571480|	8.810804|	0.000000|	1.973794|	0.000000|	16.771126|	7.102616|	0.000000|	1.560087|	0.000000|	
24.801447|	15.080733|	0.000000|	1.934082|	0.000000|	16.709362|	7.087600|	0.000000|	1.667600|	0.000000|	
32.168484|	22.357064|	0.000000|	1.986227|	0.000000|	16.789271|	7.110649|	0.000000|	1.700497|	0.000000|	
32.205483|	22.387571|	0.000000|	1.946346|	0.000000|	16.806140|	7.125763|	0.000000|	1.689114|	0.000000|	
7.037763|	3.954912|	0.000000|	0.833669|	0.000000|	4.700447|	1.649594|	0.000000|	0.720168|	0.000000|	
2.750773|	0.742968|	0.000000|	0.711323|	0.000000|	2.699118|	0.711772|	0.000000|	0.578476|	0.000000|	
11.767495|	5.876438|	0.000000|	1.306128|	0.000000|	9.727104|	3.891223|	0.000000|	1.055922|	0.000000|	
3.162076|	0.871299|	0.000000|	0.786979|	0.000000|	2.979902|	0.795807|	0.000000|	0.588975|	0.000000|	
2.894586|	0.787060|	0.000000|	0.783181|	0.000000|	2.847032|	0.759142|	0.000000|	0.598228|	0.000000|	
2.727151|	0.736586|	0.000000|	0.764436|	0.000000|	2.693147|	0.723501|	0.000000|	0.576580|	0.000000|	
2.720837|	0.719965|	0.000000|	0.765012|	0.000000|	2.688951|	0.707717|	0.000000|	0.563905|	0.000000|	
2.756313|	0.755945|	0.000000|	0.763929|	0.000000|	2.725116|	0.744605|	0.000000|	0.583222|	0.000000|	
2.828679|	0.744203|	0.000000|	0.673373|	0.000000|	2.795588|	0.732639|	0.000000|	0.576890|	0.000000|	
2.946326|	0.822732|	0.000000|	0.780120|	0.000000|	2.924105|	0.819914|	0.000000|	0.583819|	0.000000|	
16.823063|	7.502632|	0.000000|	1.809049|	0.000000|	15.995865|	6.736644|	0.000000|	1.393741|	0.000000|	
17.842400|	8.098318|	0.000000|	1.877494|	0.000000|	16.762906|	7.098273|	0.000000|	1.441964|	0.000000|	
2.763649|	0.756594|	0.000000|	0.784215|	0.000000|	2.704528|	0.728365|	0.000000|	0.570565|	0.000000|	
2.969275|	0.789928|	0.000000|	0.785365|	0.000000|	2.928873|	0.771138|	0.000000|	0.587389|	0.000000|	
2.860549|	0.774301|	0.000000|	0.749566|	0.000000|	2.828214|	0.761968|	0.000000|	0.576539|	0.000000|	
2.508252|	0.697043|	0.000000|	0.697048|	0.000000|	2.537470|	0.703820|	0.000000|	0.594325|	0.000000|	
2.701936|	0.708452|	0.000000|	0.557340|	0.000000|	2.603403|	0.671391|	0.000000|	0.538011|	0.000000|	
4.522387|	1.673648|	0.000000|	0.732896|	0.000000|	4.136647|	1.313024|	0.000000|	0.635592|	0.000000|	
2.630370|	0.725555|	0.000000|	0.629308|	0.000000|	2.603438|	0.717492|	0.000000|	0.572850|	0.000000|	
3.768768|	1.086780|	0.000000|	0.649495|	0.000000|	3.723572|	1.089288|	0.000000|	0.678563|	0.000000|	
