Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

22.375472|	12.612412|	0.000000|	1.986220|	0.000000|	16.822741|	7.145729|	0.000000|	1.689097|	0.000000|	
2.863567|	0.755206|	0.000000|	0.562257|	0.000000|	2.749326|	0.714181|	0.000000|	0.566746|	0.000000|	
8.083361|	3.450851|	0.000000|	0.967396|	0.000000|	7.379612|	2.802042|	0.000000|	0.899520|	0.000000|	
2.494754|	0.673325|	0.000000|	0.567466|	0.000000|	2.471014|	0.669595|	0.000000|	0.571581|	0.000000|	
2.693655|	0.715447|	0.000000|	0.567082|	0.000000|	2.647922|	0.690728|	0.000000|	0.549503|	0.000000|	
2.585541|	0.712371|	0.000000|	0.621224|	0.000000|	2.605402|	0.706966|	0.000000|	0.547728|	0.000000|	
2.679901|	0.693414|	0.000000|	0.612218|	0.000000|	2.582950|	0.661225|	0.000000|	0.561380|	0.000000|	
3.600508|	1.009008|	0.000000|	0.592655|	0.000000|	3.546506|	0.982688|	0.000000|	0.618137|	0.000000|	
3.363809|	0.937293|	0.000000|	0.612487|	0.000000|	3.333221|	0.931818|	0.000000|	0.609136|	0.000000|	
2.626836|	0.700384|	0.000000|	0.550872|	0.000000|	2.600132|	0.695133|	0.000000|	0.570046|	0.000000|	
