Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

36.602097|	26.589492|	0.000000|	3.439557|	0.000000|	16.811814|	7.125170|	0.000000|	1.575695|	0.000000|	
34.610075|	24.601239|	0.000000|	3.414580|	0.000000|	16.806556|	7.125579|	0.000000|	1.585305|	0.000000|	
35.214362|	25.203824|	0.000000|	3.426872|	0.000000|	16.797446|	7.112474|	0.000000|	1.602034|	0.000000|	
36.356162|	26.391338|	0.000000|	3.391032|	0.000000|	16.807638|	7.123383|	0.000000|	1.582667|	0.000000|	
36.625348|	26.608645|	0.000000|	3.495287|	0.000000|	16.784839|	7.102857|	0.000000|	1.556076|	0.000000|	
37.208685|	27.198880|	0.000000|	3.352457|	0.000000|	16.798373|	7.112443|	0.000000|	1.643426|	0.000000|	
36.673630|	26.655379|	0.000000|	3.440866|	0.000000|	16.718809|	7.078356|	0.000000|	1.595244|	0.000000|	
36.650407|	26.634505|	0.000000|	3.467161|	0.000000|	16.801693|	7.111085|	0.000000|	1.601769|	0.000000|	
36.699203|	26.688097|	0.000000|	3.447547|	0.000000|	16.803430|	7.116089|	0.000000|	1.646771|	0.000000|	
36.698008|	26.682801|	0.000000|	3.465053|	0.000000|	16.820694|	7.133065|	0.000000|	1.636683|	0.000000|	
36.474039|	26.508546|	0.000000|	3.434603|	0.000000|	16.795492|	7.105050|	0.000000|	1.617419|	0.000000|	
36.754834|	26.739638|	0.000000|	3.593556|	0.000000|	16.807122|	7.123238|	0.000000|	1.589860|	0.000000|	
36.925686|	26.905114|	0.000000|	3.480476|	0.000000|	16.792339|	7.107351|	0.000000|	1.619076|	0.000000|	
36.847598|	26.827163|	0.000000|	3.488591|	0.000000|	16.801479|	7.114700|	0.000000|	1.622355|	0.000000|	
36.691535|	26.676619|	0.000000|	3.462829|	0.000000|	16.795772|	7.108452|	0.000000|	1.604085|	0.000000|	
36.503563|	26.543244|	0.000000|	3.311609|	0.000000|	16.708521|	7.073608|	0.000000|	1.635712|	0.000000|	
36.932155|	26.855040|	0.000000|	3.439809|	0.000000|	16.808139|	7.125197|	0.000000|	1.588204|	0.000000|	
36.548590|	26.572198|	0.000000|	3.473087|	0.000000|	16.782560|	7.101786|	0.000000|	1.611954|	0.000000|	
36.708093|	26.676373|	0.000000|	3.529303|	0.000000|	16.806509|	7.120798|	0.000000|	1.591612|	0.000000|	
36.666911|	26.641286|	0.000000|	3.567236|	0.000000|	16.788761|	7.103194|	0.000000|	1.607954|	0.000000|	
37.227074|	27.198146|	0.000000|	3.583162|	0.000000|	16.797787|	7.107552|	0.000000|	1.653677|	0.000000|	
36.702292|	26.669037|	0.000000|	3.617456|	0.000000|	16.800216|	7.106101|	0.000000|	1.642316|	0.000000|	
36.562805|	26.526913|	0.000000|	3.601234|	0.000000|	16.790582|	7.105327|	0.000000|	1.609385|	0.000000|	
36.342066|	26.358848|	0.000000|	3.595836|	0.000000|	16.705184|	7.071014|	0.000000|	1.586892|	0.000000|	
36.473765|	26.443484|	0.000000|	3.607392|	0.000000|	16.788293|	7.101662|	0.000000|	1.639372|	0.000000|	
36.445905|	26.414954|	0.000000|	3.598885|	0.000000|	16.782076|	7.098111|	0.000000|	1.610417|	0.000000|	
36.565602|	26.539541|	0.000000|	3.457160|	0.000000|	16.806152|	7.120880|	0.000000|	1.646429|	0.000000|	
36.520227|	26.480700|	0.000000|	3.663230|	0.000000|	16.802782|	7.124943|	0.000000|	1.623666|	0.000000|	
37.492452|	27.451898|	0.000000|	3.543751|	0.000000|	16.815855|	7.129219|	0.000000|	1.643943|	0.000000|	
36.566960|	26.530263|	0.000000|	3.626021|	0.000000|	16.805546|	7.114787|	0.000000|	1.625811|	0.000000|	
36.321819|	26.339514|	0.000000|	3.464820|	0.000000|	16.801335|	7.106718|	0.000000|	1.611933|	0.000000|	
36.609318|	26.577420|	0.000000|	3.536021|	0.000000|	16.815251|	7.118170|	0.000000|	1.601627|	0.000000|	
36.578685|	26.542623|	0.000000|	3.542723|	0.000000|	16.807566|	7.108213|	0.000000|	1.599128|	0.000000|	
36.597585|	26.566398|	0.000000|	3.568719|	0.000000|	16.730036|	7.081476|	0.000000|	1.610896|	0.000000|	
36.570115|	26.541357|	0.000000|	3.643115|	0.000000|	16.800896|	7.103144|	0.000000|	1.624504|	0.000000|	
37.192419|	27.151952|	0.000000|	3.565082|	0.000000|	16.828133|	7.124760|	0.000000|	1.615286|	0.000000|	
36.418092|	26.439929|	0.000000|	3.295322|	0.000000|	16.807494|	7.110337|	0.000000|	1.599200|	0.000000|	
36.629137|	26.592589|	0.000000|	3.564180|	0.000000|	16.810150|	7.116252|	0.000000|	1.595234|	0.000000|	
36.720377|	26.686477|	0.000000|	3.574637|	0.000000|	16.799498|	7.108631|	0.000000|	1.628977|	0.000000|	
36.692769|	26.657211|	0.000000|	3.676648|	0.000000|	16.795722|	7.103418|	0.000000|	1.605767|	0.000000|	
36.696312|	26.649560|	0.000000|	3.677734|	0.000000|	16.794953|	7.098545|	0.000000|	1.646494|	0.000000|	
36.677339|	26.641891|	0.000000|	3.672423|	0.000000|	16.816183|	7.119127|	0.000000|	1.615441|	0.000000|	
36.702249|	26.664942|	0.000000|	3.667690|	0.000000|	16.803864|	7.103420|	0.000000|	1.629291|	0.000000|	
36.878151|	27.021700|	0.000000|	3.641845|	0.000000|	16.826023|	7.125640|	0.000000|	1.652602|	0.000000|	
36.639861|	26.461546|	0.000000|	3.639607|	0.000000|	16.718315|	7.064376|	0.000000|	1.618517|	0.000000|	
36.564393|	26.527535|	0.000000|	3.626882|	0.000000|	16.818449|	7.116901|	0.000000|	1.629497|	0.000000|	
36.728675|	26.684079|	0.000000|	3.593441|	0.000000|	16.827041|	7.127587|	0.000000|	1.610597|	0.000000|	
36.751446|	26.700391|	0.000000|	3.571912|	0.000000|	16.821617|	7.122280|	0.000000|	1.593008|	0.000000|	
36.723171|	26.668837|	0.000000|	3.649001|	0.000000|	16.831774|	7.135086|	0.000000|	1.608872|	0.000000|	
36.597802|	26.553030|	0.000000|	3.472880|	0.000000|	16.817036|	7.120852|	0.000000|	1.637508|	0.000000|	
36.726153|	26.720154|	0.000000|	3.634107|	0.000000|	16.816531|	7.118120|	0.000000|	1.649262|	0.000000|	
36.710083|	26.653443|	0.000000|	3.675811|	0.000000|	16.812177|	7.114328|	0.000000|	1.603808|	0.000000|	
36.615290|	26.555714|	0.000000|	3.661841|	0.000000|	16.807192|	7.110295|	0.000000|	1.640408|	0.000000|	
