Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

21.800961|	11.985068|	0.000000|	1.974967|	0.000000|	17.328243|	7.642902|	0.000000|	1.666738|	0.000000|	
19.130618|	9.324360|	0.000000|	1.971700|	0.000000|	16.831116|	7.160857|	0.000000|	1.672780|	0.000000|	
5.425469|	2.281426|	0.000000|	1.001226|	0.000000|	4.811035|	1.709874|	0.000000|	0.740047|	0.000000|	
3.174270|	0.968985|	0.000000|	0.795357|	0.000000|	3.015105|	0.840725|	0.000000|	0.569208|	0.000000|	
2.914159|	0.759350|	0.000000|	0.729983|	0.000000|	2.882279|	0.753720|	0.000000|	0.554680|	0.000000|	
2.901244|	0.759990|	0.000000|	0.757248|	0.000000|	2.858257|	0.741880|	0.000000|	0.543606|	0.000000|	
2.752318|	0.707267|	0.000000|	0.689317|	0.000000|	2.731856|	0.710617|	0.000000|	0.556413|	0.000000|	
2.769137|	0.734821|	0.000000|	0.738850|	0.000000|	2.813571|	0.720438|	0.000000|	0.567192|	0.000000|	
2.885675|	0.730625|	0.000000|	0.779248|	0.000000|	2.745971|	0.701177|	0.000000|	0.562385|	0.000000|	
2.889438|	0.749390|	0.000000|	0.773053|	0.000000|	2.852312|	0.737522|	0.000000|	0.563279|	0.000000|	
11.803549|	5.570145|	0.000000|	1.330617|	0.000000|	10.376289|	4.157428|	0.000000|	1.074704|	0.000000|	
2.698469|	0.718524|	0.000000|	0.790227|	0.000000|	2.559700|	0.653283|	0.000000|	0.560492|	0.000000|	
2.826066|	0.750400|	0.000000|	0.773305|	0.000000|	2.799057|	0.745453|	0.000000|	0.569839|	0.000000|	
2.716356|	0.685025|	0.000000|	0.720102|	0.000000|	2.697481|	0.688984|	0.000000|	0.536194|	0.000000|	
3.344846|	0.888630|	0.000000|	0.754727|	0.000000|	3.289084|	0.861849|	0.000000|	0.595110|	0.000000|	
