Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

19.546961|	9.559303|	0.000000|	3.799410|	0.000000|	16.733349|	7.041607|	0.000000|	1.667300|	0.000000|	
29.868173|	19.726635|	0.000000|	4.615475|	0.000000|	16.731104|	7.047031|	0.000000|	1.675031|	0.000000|	
32.558559|	22.520150|	0.000000|	4.837242|	0.000000|	16.724691|	7.029729|	0.000000|	1.700774|	0.000000|	
32.723329|	22.407775|	0.000000|	4.900720|	0.000000|	16.764025|	7.065770|	0.000000|	1.656116|	0.000000|	
32.670767|	22.462125|	0.000000|	4.892085|	0.000000|	16.722770|	7.030438|	0.000000|	1.692175|	0.000000|	
32.743657|	22.536367|	0.000000|	4.987815|	0.000000|	16.644913|	6.997045|	0.000000|	1.708499|	0.000000|	
32.661437|	22.452982|	0.000000|	5.050845|	0.000000|	16.748528|	7.051504|	0.000000|	1.691865|	0.000000|	
32.513764|	22.352455|	0.000000|	5.096077|	0.000000|	16.736618|	7.037046|	0.000000|	1.690492|	0.000000|	
33.289168|	23.091127|	0.000000|	4.947622|	0.000000|	16.767992|	7.065871|	0.000000|	1.716074|	0.000000|	
32.952185|	22.745860|	0.000000|	4.997237|	0.000000|	16.763376|	7.062320|	0.000000|	1.691331|	0.000000|	
32.600247|	22.385730|	0.000000|	4.821631|	0.000000|	16.752115|	7.051498|	0.000000|	1.683444|	0.000000|	
32.708570|	22.497074|	0.000000|	4.911095|	0.000000|	16.783001|	7.078473|	0.000000|	1.674805|	0.000000|	
32.448993|	22.282880|	0.000000|	4.882466|	0.000000|	16.662085|	7.010701|	0.000000|	1.691712|	0.000000|	
32.637158|	22.421849|	0.000000|	5.023277|	0.000000|	16.749451|	7.045286|	0.000000|	1.700039|	0.000000|	
32.653822|	22.434053|	0.000000|	5.057796|	0.000000|	16.921240|	7.213440|	0.000000|	1.701316|	0.000000|	
32.640938|	22.424204|	0.000000|	4.954456|	0.000000|	16.748951|	7.044511|	0.000000|	1.699919|	0.000000|	
32.961763|	22.741023|	0.000000|	5.086158|	0.000000|	16.775524|	7.071635|	0.000000|	1.709421|	0.000000|	
32.541101|	22.371160|	0.000000|	4.907413|	0.000000|	16.748422|	7.038150|	0.000000|	1.692006|	0.000000|	
32.661450|	22.438027|	0.000000|	5.048735|	0.000000|	16.678478|	7.016152|	0.000000|	1.671718|	0.000000|	
32.652405|	22.431579|	0.000000|	5.025294|	0.000000|	16.746776|	7.040828|	0.000000|	1.670121|	0.000000|	
32.665482|	22.442567|	0.000000|	4.858254|	0.000000|	16.740921|	7.034012|	0.000000|	1.699051|	0.000000|	
32.525352|	22.352020|	0.000000|	4.974410|	0.000000|	16.755030|	7.046945|	0.000000|	1.709260|	0.000000|	
32.645816|	22.420342|	0.000000|	5.008901|	0.000000|	16.740431|	7.035018|	0.000000|	1.670396|	0.000000|	
32.937781|	22.703096|	0.000000|	4.999493|	0.000000|	16.773163|	7.066224|	0.000000|	1.714222|	0.000000|	
32.622196|	22.388691|	0.000000|	5.014211|	0.000000|	16.650557|	6.994371|	0.000000|	1.674322|	0.000000|	
32.630996|	22.398994|	0.000000|	5.053935|	0.000000|	16.734148|	7.028449|	0.000000|	1.691830|	0.000000|	
32.523198|	22.340636|	0.000000|	5.048714|	0.000000|	16.745902|	7.041208|	0.000000|	1.708745|	0.000000|	
32.667883|	22.442620|	0.000000|	5.071126|	0.000000|	16.746811|	7.043726|	0.000000|	1.693955|	0.000000|	
32.714129|	22.478460|	0.000000|	5.046172|	0.000000|	16.746745|	7.042113|	0.000000|	1.665428|	0.000000|	
32.672617|	22.433075|	0.000000|	4.939781|	0.000000|	16.736234|	7.029695|	0.000000|	1.700157|	0.000000|	
32.650044|	22.418512|	0.000000|	4.930344|	0.000000|	16.661252|	6.999425|	0.000000|	1.690391|	0.000000|	
32.758796|	22.573284|	0.000000|	5.046605|	0.000000|	16.772894|	7.062673|	0.000000|	1.695678|	0.000000|	
32.689274|	22.452539|	0.000000|	5.088745|	0.000000|	16.743580|	7.035135|	0.000000|	1.698511|	0.000000|	
32.743292|	22.508696|	0.000000|	5.018526|	0.000000|	16.741719|	7.039982|	0.000000|	1.686601|	0.000000|	
32.692648|	22.457853|	0.000000|	5.092873|	0.000000|	16.735021|	7.032778|	0.000000|	1.688585|	0.000000|	
32.522798|	22.336120|	0.000000|	4.944452|	0.000000|	16.735968|	7.031515|	0.000000|	1.681988|	0.000000|	
32.712831|	22.475191|	0.000000|	4.965520|	0.000000|	16.666478|	7.009137|	0.000000|	1.698485|	0.000000|	
32.681749|	22.441964|	0.000000|	5.025691|	0.000000|	16.733255|	7.030813|	0.000000|	1.691069|	0.000000|	
32.955526|	22.709224|	0.000000|	5.098136|	0.000000|	16.751692|	7.049129|	0.000000|	1.679652|	0.000000|	
32.674103|	22.434428|	0.000000|	5.051125|	0.000000|	16.727980|	7.026822|	0.000000|	1.690333|	0.000000|	
32.558150|	22.366194|	0.000000|	5.033607|	0.000000|	16.735845|	7.028532|	0.000000|	1.657030|	0.000000|	
32.742810|	22.501812|	0.000000|	5.090039|	0.000000|	16.748375|	7.040716|	0.000000|	1.674952|	0.000000|	
32.697279|	22.455172|	0.000000|	5.081070|	0.000000|	16.744508|	7.032074|	0.000000|	1.679117|	0.000000|	
32.770256|	22.534660|	0.000000|	5.047012|	0.000000|	16.678840|	7.021137|	0.000000|	1.690661|	0.000000|	
32.669245|	22.434256|	0.000000|	4.922567|	0.000000|	16.740605|	7.029959|	0.000000|	1.666143|	0.000000|	
32.525543|	22.339003|	0.000000|	4.931857|	0.000000|	16.734301|	7.026176|	0.000000|	1.683147|	0.000000|	
