Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.581263|	25.737771|	0.000000|	1.916125|	0.000000|	16.898399|	7.193651|	0.000000|	1.642141|	0.000000|	
35.589761|	25.741587|	0.000000|	1.962749|	0.000000|	16.884537|	7.182682|	0.000000|	1.697986|	0.000000|	
27.486967|	19.574911|	0.000000|	1.640657|	0.000000|	13.408444|	5.612904|	0.000000|	1.387061|	0.000000|	
6.696440|	2.869607|	0.000000|	0.960797|	0.000000|	5.986247|	2.212458|	0.000000|	0.795808|	0.000000|	
3.203354|	1.047510|	0.000000|	0.671471|	0.000000|	3.008330|	0.879815|	0.000000|	0.581185|	0.000000|	
3.025788|	0.824906|	0.000000|	0.677564|	0.000000|	2.971221|	0.799258|	0.000000|	0.565616|	0.000000|	
2.791553|	0.731902|	0.000000|	0.641127|	0.000000|	2.747046|	0.713256|	0.000000|	0.550426|	0.000000|	
3.142538|	0.863867|	0.000000|	0.560061|	0.000000|	3.065461|	0.821033|	0.000000|	0.558620|	0.000000|	
2.742718|	0.752801|	0.000000|	0.554312|	0.000000|	2.696920|	0.734771|	0.000000|	0.558340|	0.000000|	
3.017727|	0.810318|	0.000000|	0.610210|	0.000000|	2.965303|	0.789394|	0.000000|	0.563036|	0.000000|	
