Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.052332|	21.822474|	0.000000|	4.801275|	0.000000|	16.814299|	7.089213|	0.000000|	1.711532|	0.000000|	
22.336773|	12.320282|	0.000000|	3.931530|	0.000000|	16.750429|	7.040821|	0.000000|	1.686222|	0.000000|	
21.269708|	11.216510|	0.000000|	3.889543|	0.000000|	16.737686|	7.023074|	0.000000|	1.610175|	0.000000|	
27.663297|	17.510179|	0.000000|	4.379181|	0.000000|	16.753041|	7.035300|	0.000000|	1.678170|	0.000000|	
32.805743|	22.553509|	0.000000|	4.824124|	0.000000|	16.670745|	7.027977|	0.000000|	1.642442|	0.000000|	
32.830082|	22.577125|	0.000000|	4.862638|	0.000000|	16.762312|	7.004524|	0.000000|	1.703532|	0.000000|	
32.812578|	22.565001|	0.000000|	4.922173|	0.000000|	16.748178|	7.031164|	0.000000|	1.672938|	0.000000|	
32.795603|	22.556184|	0.000000|	4.986514|	0.000000|	16.746136|	7.030271|	0.000000|	1.693216|	0.000000|	
32.900004|	22.702577|	0.000000|	4.956005|	0.000000|	16.782816|	7.062628|	0.000000|	1.699140|	0.000000|	
33.495848|	23.260718|	0.000000|	4.792354|	0.000000|	16.750285|	7.033065|	0.000000|	1.688148|	0.000000|	
33.482869|	23.240874|	0.000000|	4.840557|	0.000000|	16.677313|	7.005641|	0.000000|	1.654315|	0.000000|	
32.760420|	22.515442|	0.000000|	4.908463|	0.000000|	16.745902|	7.031873|	0.000000|	1.686513|	0.000000|	
32.626555|	22.434811|	0.000000|	4.818891|	0.000000|	16.750408|	7.033042|	0.000000|	1.697203|	0.000000|	
32.815144|	22.574596|	0.000000|	5.002006|	0.000000|	16.760171|	7.041358|	0.000000|	1.692088|	0.000000|	
32.798735|	22.553050|	0.000000|	5.033249|	0.000000|	16.748347|	7.029809|	0.000000|	1.688585|	0.000000|	
32.869912|	22.619011|	0.000000|	4.921424|	0.000000|	16.769015|	7.043206|	0.000000|	1.685254|	0.000000|	
32.989266|	22.746232|	0.000000|	4.971647|	0.000000|	16.687950|	7.007703|	0.000000|	1.660087|	0.000000|	
32.619387|	22.426020|	0.000000|	5.058299|	0.000000|	16.765637|	7.040620|	0.000000|	1.648911|	0.000000|	
32.773245|	22.531699|	0.000000|	5.032055|	0.000000|	16.774356|	7.048669|	0.000000|	1.696923|	0.000000|	
32.767505|	22.525810|	0.000000|	5.033064|	0.000000|	16.761441|	7.031297|	0.000000|	1.679462|	0.000000|	
32.807838|	22.564342|	0.000000|	4.992666|	0.000000|	16.768092|	7.042001|	0.000000|	1.698719|	0.000000|	
32.612603|	22.420294|	0.000000|	4.994486|	0.000000|	16.758999|	7.029863|	0.000000|	1.690089|	0.000000|	
32.789311|	22.546547|	0.000000|	4.964052|	0.000000|	16.758210|	7.029628|	0.000000|	1.700961|	0.000000|	
32.787606|	22.551585|	0.000000|	4.995938|	0.000000|	16.688484|	7.008386|	0.000000|	1.654522|	0.000000|	
32.998102|	22.751292|	0.000000|	5.027411|	0.000000|	16.754586|	7.032023|	0.000000|	1.713400|	0.000000|	
32.847249|	22.597900|	0.000000|	5.015046|	0.000000|	16.786425|	7.057989|	0.000000|	1.677166|	0.000000|	
32.612299|	22.420144|	0.000000|	4.996467|	0.000000|	16.757781|	7.030312|	0.000000|	1.710342|	0.000000|	
