Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

31.984744|	22.229369|	0.000000|	1.947888|	0.000000|	16.708072|	7.112513|	0.000000|	1.680843|	0.000000|	
32.181960|	22.365239|	0.000000|	1.986122|	0.000000|	16.780806|	7.066940|	0.000000|	1.636336|	0.000000|	
32.237146|	22.416733|	0.000000|	1.976156|	0.000000|	16.798320|	7.120627|	0.000000|	1.601646|	0.000000|	
23.417553|	15.848122|	0.000000|	1.555536|	0.000000|	12.676334|	5.208742|	0.000000|	1.263487|	0.000000|	
2.981841|	0.862639|	0.000000|	0.648371|	0.000000|	2.895857|	0.806636|	0.000000|	0.585216|	0.000000|	
2.628225|	0.734506|	0.000000|	0.674783|	0.000000|	2.596501|	0.717772|	0.000000|	0.569329|	0.000000|	
3.795570|	1.151310|	0.000000|	0.697586|	0.000000|	3.629009|	1.092490|	0.000000|	0.629944|	0.000000|	
15.440839|	6.921671|	0.000000|	1.639269|	0.000000|	14.525217|	6.081383|	0.000000|	1.360413|	0.000000|	
7.203140|	3.060775|	0.000000|	0.936313|	0.000000|	6.584766|	2.476473|	0.000000|	0.791493|	0.000000|	
3.243496|	0.995621|	0.000000|	0.583253|	0.000000|	3.157674|	0.930872|	0.000000|	0.612090|	0.000000|	
2.886449|	0.798939|	0.000000|	0.574898|	0.000000|	2.844280|	0.777166|	0.000000|	0.572693|	0.000000|	
2.827300|	0.758675|	0.000000|	0.566265|	0.000000|	2.910531|	0.815508|	0.000000|	0.580037|	0.000000|	
3.366350|	0.970443|	0.000000|	0.709231|	0.000000|	3.244073|	0.918171|	0.000000|	0.630324|	0.000000|	
2.619039|	0.713634|	0.000000|	0.575455|	0.000000|	2.475310|	0.674218|	0.000000|	0.557423|	0.000000|	
7.029406|	2.916470|	0.000000|	0.912094|	0.000000|	6.500457|	2.422911|	0.000000|	0.820852|	0.000000|	
2.655885|	0.738590|	0.000000|	0.562600|	0.000000|	2.594608|	0.695582|	0.000000|	0.576908|	0.000000|	
2.731719|	0.782772|	0.000000|	0.565240|	0.000000|	2.689337|	0.759490|	0.000000|	0.556803|	0.000000|	
2.431593|	0.695458|	0.000000|	0.560174|	0.000000|	2.481891|	0.713645|	0.000000|	0.587407|	0.000000|	
2.599274|	0.736598|	0.000000|	0.560378|	0.000000|	2.486669|	0.689499|	0.000000|	0.569509|	0.000000|	
2.787818|	0.769715|	0.000000|	0.550883|	0.000000|	2.756466|	0.759287|	0.000000|	0.575159|	0.000000|	
3.001062|	0.863336|	0.000000|	0.660325|	0.000000|	2.959590|	0.840436|	0.000000|	0.599523|	0.000000|	
2.548410|	0.709953|	0.000000|	0.554132|	0.000000|	2.517373|	0.696185|	0.000000|	0.543331|	0.000000|	
4.251633|	1.633030|	0.000000|	0.783183|	0.000000|	3.777823|	1.266273|	0.000000|	0.677267|	0.000000|	
2.552959|	0.705955|	0.000000|	0.624544|	0.000000|	2.524269|	0.693483|	0.000000|	0.572651|	0.000000|	
2.838262|	0.805606|	0.000000|	0.607742|	0.000000|	2.798401|	0.784990|	0.000000|	0.589409|	0.000000|	
