Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

26.648926|	16.470981|	0.000000|	4.855661|	0.000000|	16.908964|	7.229851|	0.000000|	1.664745|	0.000000|	
19.462427|	9.452165|	0.000000|	4.104787|	0.000000|	16.929938|	7.226295|	0.000000|	1.635492|	0.000000|	
19.979820|	9.911089|	0.000000|	4.152420|	0.000000|	16.754551|	7.183659|	0.000000|	1.611571|	0.000000|	
33.921681|	23.649370|	0.000000|	5.464046|	0.000000|	16.858625|	7.147404|	0.000000|	1.665395|	0.000000|	
34.091547|	23.782870|	0.000000|	5.424492|	0.000000|	16.853591|	7.175494|	0.000000|	1.673674|	0.000000|	
34.517788|	24.221296|	0.000000|	5.280434|	0.000000|	16.883266|	7.203331|	0.000000|	1.720856|	0.000000|	
34.762763|	24.445721|	0.000000|	5.531116|	0.000000|	16.854927|	7.171962|	0.000000|	1.716118|	0.000000|	
34.183635|	23.854946|	0.000000|	5.473203|	0.000000|	16.877036|	7.194754|	0.000000|	1.698261|	0.000000|	
34.188463|	23.856114|	0.000000|	5.472757|	0.000000|	16.840928|	7.159805|	0.000000|	1.699449|	0.000000|	
34.170471|	23.835995|	0.000000|	5.497785|	0.000000|	16.831673|	7.156010|	0.000000|	1.689816|	0.000000|	
34.214735|	23.888068|	0.000000|	5.504274|	0.000000|	16.843605|	7.167379|	0.000000|	1.698871|	0.000000|	
34.169187|	23.842728|	0.000000|	5.500555|	0.000000|	16.842104|	7.161906|	0.000000|	1.690278|	0.000000|	
34.024396|	23.751363|	0.000000|	5.387453|	0.000000|	16.858988|	7.178015|	0.000000|	1.715824|	0.000000|	
34.927463|	24.613468|	0.000000|	5.488108|	0.000000|	16.861247|	7.177748|	0.000000|	1.713683|	0.000000|	
34.378116|	24.071844|	0.000000|	5.370164|	0.000000|	16.845997|	7.173331|	0.000000|	1.681247|	0.000000|	
34.057592|	23.758075|	0.000000|	5.214174|	0.000000|	16.857689|	7.181876|	0.000000|	1.706755|	0.000000|	
34.201956|	23.870971|	0.000000|	5.388821|	0.000000|	16.858810|	7.177559|	0.000000|	1.715819|	0.000000|	
34.221005|	23.889676|	0.000000|	5.470806|	0.000000|	16.839423|	7.157961|	0.000000|	1.700245|	0.000000|	
34.201089|	23.872541|	0.000000|	5.530384|	0.000000|	16.862574|	7.177495|	0.000000|	1.698792|	0.000000|	
34.087761|	23.759123|	0.000000|	5.498905|	0.000000|	16.850325|	7.159505|	0.000000|	1.698736|	0.000000|	
34.387940|	24.110143|	0.000000|	5.470371|	0.000000|	16.852950|	7.163726|	0.000000|	1.697081|	0.000000|	
34.815397|	24.616350|	0.000000|	5.533486|	0.000000|	16.732204|	7.133574|	0.000000|	1.690277|	0.000000|	
34.248654|	23.790025|	0.000000|	5.496700|	0.000000|	16.842413|	7.119549|	0.000000|	1.673311|	0.000000|	
34.188004|	23.853450|	0.000000|	5.527859|	0.000000|	16.815048|	7.120297|	0.000000|	1.707675|	0.000000|	
34.145687|	23.810066|	0.000000|	5.502139|	0.000000|	16.833999|	7.143667|	0.000000|	1.681261|	0.000000|	
34.155905|	23.819662|	0.000000|	5.361449|	0.000000|	16.847293|	7.157857|	0.000000|	1.707206|	0.000000|	
33.981578|	23.698198|	0.000000|	5.148537|	0.000000|	16.909006|	7.221047|	0.000000|	1.703901|	0.000000|	
34.149480|	23.812754|	0.000000|	5.497422|	0.000000|	16.835528|	7.151674|	0.000000|	1.698926|	0.000000|	
34.320633|	23.979542|	0.000000|	5.499386|	0.000000|	16.806707|	7.120469|	0.000000|	1.697877|	0.000000|	
34.183602|	23.836668|	0.000000|	5.500339|	0.000000|	16.805081|	7.124975|	0.000000|	1.698245|	0.000000|	
34.061660|	23.766539|	0.000000|	5.472672|	0.000000|	16.825363|	7.136708|	0.000000|	1.716702|	0.000000|	
34.159208|	23.818112|	0.000000|	5.472669|	0.000000|	16.822160|	7.132037|	0.000000|	1.707619|	0.000000|	
34.291144|	23.940852|	0.000000|	5.525157|	0.000000|	16.822392|	7.134528|	0.000000|	1.691801|	0.000000|	
34.199310|	23.852762|	0.000000|	5.527894|	0.000000|	16.818561|	7.128653|	0.000000|	1.690123|	0.000000|	
34.217231|	23.867073|	0.000000|	5.385530|	0.000000|	16.815128|	7.129131|	0.000000|	1.690545|	0.000000|	
34.571717|	24.223661|	0.000000|	5.389700|	0.000000|	16.839593|	7.143846|	0.000000|	1.716772|	0.000000|	
34.529078|	24.241748|	0.000000|	5.048910|	0.000000|	16.727215|	7.119149|	0.000000|	1.696014|	0.000000|	
34.149621|	23.791102|	0.000000|	5.416417|	0.000000|	16.845340|	7.118608|	0.000000|	1.681794|	0.000000|	
34.100277|	23.742829|	0.000000|	5.500280|	0.000000|	16.809753|	7.120067|	0.000000|	1.689884|	0.000000|	
34.028034|	23.717302|	0.000000|	5.471133|	0.000000|	16.830755|	7.140538|	0.000000|	1.689566|	0.000000|	
34.229400|	23.862929|	0.000000|	5.498152|	0.000000|	16.821283|	7.131302|	0.000000|	1.672883|	0.000000|	
34.223718|	23.855567|	0.000000|	5.499687|	0.000000|	16.823230|	7.127254|	0.000000|	1.698274|	0.000000|	
34.145615|	23.778363|	0.000000|	5.445227|	0.000000|	16.823958|	7.138598|	0.000000|	1.699766|	0.000000|	
34.331946|	23.970635|	0.000000|	5.474753|	0.000000|	16.799569|	7.106218|	0.000000|	1.708111|	0.000000|	
34.178828|	23.818138|	0.000000|	5.473795|	0.000000|	16.801943|	7.118719|	0.000000|	1.690059|	0.000000|	
34.241060|	23.882004|	0.000000|	5.444054|	0.000000|	16.818135|	7.121863|	0.000000|	1.691432|	0.000000|	
34.163509|	23.799380|	0.000000|	5.471177|	0.000000|	16.822934|	7.129359|	0.000000|	1.681398|	0.000000|	
34.105549|	23.741238|	0.000000|	5.528687|	0.000000|	16.835628|	7.145814|	0.000000|	1.673829|	0.000000|	
34.068895|	23.704729|	0.000000|	5.472462|	0.000000|	16.834624|	7.140318|	0.000000|	1.681401|	0.000000|	
33.736222|	23.469638|	0.000000|	5.191974|	0.000000|	16.807521|	7.111648|	0.000000|	1.695822|	0.000000|	
34.376643|	24.010418|	0.000000|	5.531616|	0.000000|	16.843061|	7.142469|	0.000000|	1.700214|	0.000000|	
34.114500|	23.746201|	0.000000|	5.503179|	0.000000|	16.855470|	7.159643|	0.000000|	1.684625|	0.000000|	
34.127598|	23.753332|	0.000000|	5.500887|	0.000000|	17.526821|	7.832877|	0.000000|	1.706847|	0.000000|	
34.128753|	23.760739|	0.000000|	5.474308|	0.000000|	16.734230|	7.086490|	0.000000|	1.674364|	0.000000|	
34.146729|	23.785711|	0.000000|	5.419654|	0.000000|	16.822570|	7.126779|	0.000000|	1.682388|	0.000000|	
34.171568|	23.807338|	0.000000|	5.500607|	0.000000|	16.848734|	7.156267|	0.000000|	1.716019|	0.000000|	
34.212483|	23.844670|	0.000000|	5.501361|	0.000000|	16.838447|	7.146268|	0.000000|	1.682429|	0.000000|	
34.155051|	23.784352|	0.000000|	5.503730|	0.000000|	16.823163|	7.130238|	0.000000|	1.690748|	0.000000|	
34.663548|	24.349137|	0.000000|	5.440002|	0.000000|	16.837191|	7.139219|	0.000000|	1.680874|	0.000000|	
34.266634|	23.894649|	0.000000|	5.501430|	0.000000|	16.827084|	7.131036|	0.000000|	1.715000|	0.000000|	
34.168212|	23.782600|	0.000000|	5.471890|	0.000000|	16.858580|	7.158005|	0.000000|	1.707352|	0.000000|	
