Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.708554|	22.471692|	0.000000|	4.904402|	0.000000|	16.754754|	7.047896|	0.000000|	1.673913|	0.000000|	
29.237090|	19.041329|	0.000000|	4.713232|	0.000000|	16.763151|	7.053099|	0.000000|	1.664620|	0.000000|	
28.924706|	18.783345|	0.000000|	4.737433|	0.000000|	16.736458|	7.029047|	0.000000|	1.655641|	0.000000|	
31.081395|	20.867227|	0.000000|	4.696460|	0.000000|	16.681327|	7.017699|	0.000000|	1.668971|	0.000000|	
32.734457|	22.498841|	0.000000|	4.972659|	0.000000|	16.737986|	7.028065|	0.000000|	1.684462|	0.000000|	
32.749029|	22.512840|	0.000000|	4.855176|	0.000000|	16.744125|	7.028908|	0.000000|	1.655810|	0.000000|	
32.756611|	22.521578|	0.000000|	4.830908|	0.000000|	16.746281|	7.038842|	0.000000|	1.669600|	0.000000|	
32.572010|	22.385614|	0.000000|	4.767378|	0.000000|	16.740876|	7.030054|	0.000000|	1.699673|	0.000000|	
32.776241|	22.540724|	0.000000|	4.885862|	0.000000|	16.757206|	7.048616|	0.000000|	1.664087|	0.000000|	
32.759528|	22.521919|	0.000000|	4.916354|	0.000000|	16.737193|	7.027543|	0.000000|	1.682291|	0.000000|	
33.001285|	22.817701|	0.000000|	4.869261|	0.000000|	16.660946|	7.002392|	0.000000|	1.678252|	0.000000|	
33.353290|	23.126994|	0.000000|	4.843377|	0.000000|	16.748079|	7.038550|	0.000000|	1.684115|	0.000000|	
32.761158|	22.523055|	0.000000|	4.880531|	0.000000|	16.735430|	7.029120|	0.000000|	1.698960|	0.000000|	
32.791585|	22.552805|	0.000000|	4.805513|	0.000000|	16.744623|	7.039853|	0.000000|	1.675430|	0.000000|	
32.757571|	22.519918|	0.000000|	4.819844|	0.000000|	16.772200|	7.066868|	0.000000|	1.684092|	0.000000|	
32.640508|	22.444425|	0.000000|	4.817231|	0.000000|	16.758520|	7.053620|	0.000000|	1.703471|	0.000000|	
32.789973|	22.550395|	0.000000|	4.829638|	0.000000|	16.670586|	7.011614|	0.000000|	1.675702|	0.000000|	
32.779204|	22.528096|	0.000000|	4.942016|	0.000000|	16.743496|	7.031799|	0.000000|	1.688208|	0.000000|	
33.015108|	22.765517|	0.000000|	4.905436|	0.000000|	16.773293|	7.050988|	0.000000|	1.662892|	0.000000|	
32.754657|	22.510799|	0.000000|	4.791389|	0.000000|	16.746631|	7.032185|	0.000000|	1.651607|	0.000000|	
32.800910|	22.555133|	0.000000|	4.857031|	0.000000|	16.744564|	7.031190|	0.000000|	1.689730|	0.000000|	
32.577690|	22.388976|	0.000000|	4.723770|	0.000000|	16.753369|	7.040551|	0.000000|	1.688336|	0.000000|	
32.756549|	22.508887|	0.000000|	5.009512|	0.000000|	16.756287|	7.047299|	0.000000|	1.697362|	0.000000|	
32.766225|	22.516250|	0.000000|	4.890807|	0.000000|	16.671742|	7.016779|	0.000000|	1.690962|	0.000000|	
32.582367|	22.384931|	0.000000|	5.060339|	0.000000|	16.743921|	7.035994|	0.000000|	1.663733|	0.000000|	
33.013322|	22.765871|	0.000000|	4.981003|	0.000000|	16.764753|	7.054055|	0.000000|	1.717096|	0.000000|	
32.769633|	22.520665|	0.000000|	4.922829|	0.000000|	16.746436|	7.033212|	0.000000|	1.707143|	0.000000|	
32.736211|	22.485040|	0.000000|	5.037516|	0.000000|	16.737531|	7.027064|	0.000000|	1.707098|	0.000000|	
32.768265|	22.526380|	0.000000|	5.032718|	0.000000|	16.760146|	7.048140|	0.000000|	1.688412|	0.000000|	
