Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

21.894871|	11.956741|	0.000000|	3.429258|	0.000000|	16.777990|	7.097320|	0.000000|	1.670630|	0.000000|	
18.758820|	8.866376|	0.000000|	3.053338|	0.000000|	16.732467|	7.070910|	0.000000|	1.639334|	0.000000|	
23.430922|	13.512160|	0.000000|	3.271921|	0.000000|	16.754865|	7.085926|	0.000000|	1.666807|	0.000000|	
32.041986|	22.103587|	0.000000|	3.629184|	0.000000|	16.744922|	7.058987|	0.000000|	1.692016|	0.000000|	
32.253928|	22.258897|	0.000000|	3.628695|	0.000000|	16.780096|	7.089157|	0.000000|	1.717056|	0.000000|	
32.241862|	22.240027|	0.000000|	3.636440|	0.000000|	16.670252|	7.033063|	0.000000|	1.691536|	0.000000|	
32.222321|	22.219538|	0.000000|	3.556312|	0.000000|	16.741249|	7.055124|	0.000000|	1.708964|	0.000000|	
32.607105|	22.597903|	0.000000|	3.725664|	0.000000|	16.737795|	7.049522|	0.000000|	1.717180|	0.000000|	
32.850773|	22.897885|	0.000000|	3.642527|	0.000000|	16.741302|	7.042337|	0.000000|	1.700589|	0.000000|	
32.278607|	22.275586|	0.000000|	3.685484|	0.000000|	16.732583|	7.038611|	0.000000|	1.700020|	0.000000|	
32.328869|	22.328170|	0.000000|	3.669652|	0.000000|	16.749245|	7.058053|	0.000000|	1.691917|	0.000000|	
32.281736|	22.273940|	0.000000|	3.686570|	0.000000|	16.650034|	7.003609|	0.000000|	1.665073|	0.000000|	
32.129227|	22.173496|	0.000000|	3.674725|	0.000000|	16.751804|	7.054338|	0.000000|	1.717637|	0.000000|	
32.250962|	22.246050|	0.000000|	3.647755|	0.000000|	16.753901|	7.061314|	0.000000|	1.674568|	0.000000|	
32.253552|	22.252449|	0.000000|	3.637697|	0.000000|	16.734635|	7.039158|	0.000000|	1.709677|	0.000000|	
32.553453|	22.541654|	0.000000|	3.696040|	0.000000|	16.761653|	7.063086|	0.000000|	1.714901|	0.000000|	
32.101915|	22.144000|	0.000000|	3.617789|	0.000000|	16.635645|	6.997428|	0.000000|	1.665377|	0.000000|	
32.275833|	22.270110|	0.000000|	3.647289|	0.000000|	16.727965|	7.040822|	0.000000|	1.681989|	0.000000|	
32.247416|	22.241386|	0.000000|	3.646061|	0.000000|	16.721269|	7.030676|	0.000000|	1.664474|	0.000000|	
32.267975|	22.258521|	0.000000|	3.627559|	0.000000|	16.729565|	7.036845|	0.000000|	1.691047|	0.000000|	
32.308555|	22.289965|	0.000000|	3.629503|	0.000000|	16.741411|	7.049562|	0.000000|	1.690725|	0.000000|	
32.100280|	22.133911|	0.000000|	3.646400|	0.000000|	16.723105|	7.028841|	0.000000|	1.699823|	0.000000|	
32.527163|	22.505020|	0.000000|	3.730400|	0.000000|	16.662926|	7.013283|	0.000000|	1.689080|	0.000000|	
32.272966|	22.253725|	0.000000|	3.656627|	0.000000|	16.729937|	7.036236|	0.000000|	1.693501|	0.000000|	
32.330139|	22.317590|	0.000000|	3.669394|	0.000000|	16.744951|	7.050145|	0.000000|	1.691746|	0.000000|	
32.185120|	22.218007|	0.000000|	3.612171|	0.000000|	16.735968|	7.041108|	0.000000|	1.708716|	0.000000|	
32.288353|	22.275418|	0.000000|	3.655733|	0.000000|	16.725945|	7.030744|	0.000000|	1.648590|	0.000000|	
32.311176|	22.296373|	0.000000|	3.689367|	0.000000|	16.665216|	7.049265|	0.000000|	1.673779|	0.000000|	
32.259783|	22.250587|	0.000000|	3.629117|	0.000000|	16.728173|	6.998088|	0.000000|	1.700403|	0.000000|	
32.270843|	22.254660|	0.000000|	3.650110|	0.000000|	16.725341|	7.029250|	0.000000|	1.691169|	0.000000|	
32.401504|	22.429844|	0.000000|	3.701107|	0.000000|	16.751387|	7.053350|	0.000000|	1.690246|	0.000000|	
32.286025|	22.265162|	0.000000|	3.648008|	0.000000|	16.736722|	7.035635|	0.000000|	1.700330|	0.000000|	
32.315593|	22.291386|	0.000000|	3.689140|	0.000000|	16.748646|	7.049462|	0.000000|	1.717635|	0.000000|	
32.058806|	22.087352|	0.000000|	3.643687|	0.000000|	16.611733|	6.971973|	0.000000|	1.671794|	0.000000|	
3.027580|	0.894673|	0.000000|	0.613556|	0.000000|	2.847079|	0.754988|	0.000000|	0.568927|	0.000000|	
3.583019|	0.991337|	0.000000|	0.702896|	0.000000|	3.465467|	0.923698|	0.000000|	0.606339|	0.000000|	
2.939499|	0.762439|	0.000000|	0.630506|	0.000000|	2.879696|	0.744178|	0.000000|	0.562187|	0.000000|	
3.347914|	0.892881|	0.000000|	0.669720|	0.000000|	3.169564|	0.846470|	0.000000|	0.578339|	0.000000|	
5.350735|	2.108507|	0.000000|	0.799085|	0.000000|	4.717069|	1.532433|	0.000000|	0.723150|	0.000000|	
3.083242|	0.808190|	0.000000|	0.678441|	0.000000|	3.008401|	0.778989|	0.000000|	0.578725|	0.000000|	
