Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.323707|	22.346345|	0.000000|	3.716909|	0.000000|	16.803204|	7.117373|	0.000000|	1.689522|	0.000000|	
22.063650|	12.157625|	0.000000|	3.211393|	0.000000|	16.804670|	7.125338|	0.000000|	1.602575|	0.000000|	
18.724177|	8.854486|	0.000000|	3.085222|	0.000000|	16.762928|	7.090484|	0.000000|	1.619479|	0.000000|	
22.352161|	12.463261|	0.000000|	3.250734|	0.000000|	16.773397|	7.104354|	0.000000|	1.653168|	0.000000|	
32.184363|	22.254148|	0.000000|	3.613569|	0.000000|	16.790573|	7.108331|	0.000000|	1.706980|	0.000000|	
32.368857|	22.388575|	0.000000|	3.666350|	0.000000|	16.699300|	7.063479|	0.000000|	1.703286|	0.000000|	
32.722286|	22.732737|	0.000000|	3.705043|	0.000000|	16.808622|	7.119377|	0.000000|	1.706446|	0.000000|	
32.954242|	22.978113|	0.000000|	3.597094|	0.000000|	16.792359|	7.099686|	0.000000|	1.716528|	0.000000|	
32.251035|	22.316334|	0.000000|	3.649070|	0.000000|	16.820226|	7.125112|	0.000000|	1.682086|	0.000000|	
32.370924|	22.383739|	0.000000|	3.637899|	0.000000|	16.809325|	7.107925|	0.000000|	1.682264|	0.000000|	
32.360368|	22.375065|	0.000000|	3.664051|	0.000000|	16.712731|	7.099158|	0.000000|	1.657162|	0.000000|	
32.409199|	22.423893|	0.000000|	3.575448|	0.000000|	16.800177|	7.068870|	0.000000|	1.697926|	0.000000|	
32.235699|	22.411906|	0.000000|	3.629659|	0.000000|	16.773208|	7.079883|	0.000000|	1.661974|	0.000000|	
32.446736|	22.350917|	0.000000|	3.623450|	0.000000|	16.768940|	7.077530|	0.000000|	1.696005|	0.000000|	
33.025236|	23.032702|	0.000000|	3.709703|	0.000000|	16.789316|	7.097542|	0.000000|	1.723849|	0.000000|	
33.055835|	23.072046|	0.000000|	3.662071|	0.000000|	16.796327|	7.100783|	0.000000|	1.700165|	0.000000|	
32.405561|	22.421047|	0.000000|	3.610612|	0.000000|	16.718324|	7.071041|	0.000000|	1.673556|	0.000000|	
32.204129|	22.268081|	0.000000|	3.649938|	0.000000|	16.804559|	7.107261|	0.000000|	1.701855|	0.000000|	
33.099442|	23.117333|	0.000000|	3.668027|	0.000000|	17.444969|	7.745942|	0.000000|	1.716159|	0.000000|	
33.070776|	23.086748|	0.000000|	3.666434|	0.000000|	16.770677|	7.078192|	0.000000|	1.690875|	0.000000|	
33.080358|	23.093944|	0.000000|	3.676035|	0.000000|	16.752341|	7.064668|	0.000000|	1.699802|	0.000000|	
32.571667|	22.631067|	0.000000|	3.666200|	0.000000|	16.685744|	7.043454|	0.000000|	1.686605|	0.000000|	
32.311815|	22.319606|	0.000000|	3.667435|	0.000000|	16.740120|	7.055142|	0.000000|	1.680144|	0.000000|	
32.361516|	22.373794|	0.000000|	3.647916|	0.000000|	16.741602|	7.049536|	0.000000|	1.680779|	0.000000|	
32.337251|	22.346489|	0.000000|	3.643372|	0.000000|	16.723598|	7.032212|	0.000000|	1.653336|	0.000000|	
32.241487|	22.299589|	0.000000|	3.657647|	0.000000|	16.809226|	7.113478|	0.000000|	1.697373|	0.000000|	
32.337297|	22.347594|	0.000000|	3.670467|	0.000000|	16.759651|	7.071014|	0.000000|	1.699438|	0.000000|	
32.311555|	22.320137|	0.000000|	3.674742|	0.000000|	16.748380|	7.056268|	0.000000|	1.681701|	0.000000|	
32.350421|	22.355812|	0.000000|	3.668434|	0.000000|	16.699292|	7.054778|	0.000000|	1.712781|	0.000000|	
32.580278|	22.579309|	0.000000|	3.707571|	0.000000|	16.756572|	7.059405|	0.000000|	1.695378|	0.000000|	
32.168629|	22.217706|	0.000000|	3.633837|	0.000000|	16.741249|	7.046289|	0.000000|	1.705919|	0.000000|	
32.323773|	22.332889|	0.000000|	3.629907|	0.000000|	16.779652|	7.084266|	0.000000|	1.690964|	0.000000|	
32.338151|	22.346248|	0.000000|	3.654101|	0.000000|	16.771835|	7.073311|	0.000000|	1.704621|	0.000000|	
32.324869|	22.335847|	0.000000|	3.665954|	0.000000|	16.684643|	7.038097|	0.000000|	1.674000|	0.000000|	
