Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

27.832898|	17.874423|	0.000000|	3.630644|	0.000000|	16.801381|	7.122004|	0.000000|	1.605332|	0.000000|	
18.751744|	8.873327|	0.000000|	3.206103|	0.000000|	16.753050|	7.091618|	0.000000|	1.585939|	0.000000|	
18.733647|	8.856242|	0.000000|	3.132871|	0.000000|	16.754532|	7.087842|	0.000000|	1.510674|	0.000000|	
30.176257|	20.223215|	0.000000|	3.627671|	0.000000|	16.769064|	7.101062|	0.000000|	1.593994|	0.000000|	
32.305918|	22.323777|	0.000000|	3.756564|	0.000000|	16.777695|	7.100571|	0.000000|	1.585711|	0.000000|	
32.153133|	22.219207|	0.000000|	3.771222|	0.000000|	16.779457|	7.101574|	0.000000|	1.555510|	0.000000|	
32.334917|	22.346781|	0.000000|	3.787179|	0.000000|	16.690733|	7.097389|	0.000000|	1.600576|	0.000000|	
33.012387|	23.019258|	0.000000|	3.707214|	0.000000|	16.768212|	7.047574|	0.000000|	1.648670|	0.000000|	
32.365095|	22.376124|	0.000000|	3.675696|	0.000000|	16.779677|	7.096492|	0.000000|	1.637585|	0.000000|	
32.111285|	22.172302|	0.000000|	3.614150|	0.000000|	16.763345|	7.078266|	0.000000|	1.592308|	0.000000|	
32.365278|	22.374212|	0.000000|	3.665229|	0.000000|	16.768910|	7.090172|	0.000000|	1.590354|	0.000000|	
32.353504|	22.362580|	0.000000|	3.681716|	0.000000|	16.747927|	7.070390|	0.000000|	1.597309|	0.000000|	
32.355786|	22.361865|	0.000000|	3.643551|	0.000000|	16.749674|	7.063119|	0.000000|	1.593498|	0.000000|	
32.343260|	22.351748|	0.000000|	3.608556|	0.000000|	16.670802|	7.037989|	0.000000|	1.628465|	0.000000|	
32.292884|	22.343191|	0.000000|	3.714332|	0.000000|	16.748311|	7.066386|	0.000000|	1.653449|	0.000000|	
32.401551|	22.397364|	0.000000|	3.658210|	0.000000|	16.770683|	7.086206|	0.000000|	1.607414|	0.000000|	
32.252669|	22.250582|	0.000000|	3.703291|	0.000000|	16.772529|	7.090070|	0.000000|	1.627859|	0.000000|	
32.285921|	22.281619|	0.000000|	3.672961|	0.000000|	16.778349|	7.090943|	0.000000|	1.626057|	0.000000|	
32.164024|	22.209601|	0.000000|	3.650461|	0.000000|	16.700172|	7.060879|	0.000000|	1.633166|	0.000000|	
32.287866|	22.285225|	0.000000|	3.759462|	0.000000|	16.759838|	7.076950|	0.000000|	1.630224|	0.000000|	
32.263455|	22.258239|	0.000000|	3.727871|	0.000000|	16.769814|	7.082717|	0.000000|	1.651797|	0.000000|	
32.285232|	22.275785|	0.000000|	3.712350|	0.000000|	16.758703|	7.070791|	0.000000|	1.638398|	0.000000|	
32.453780|	22.436953|	0.000000|	3.775845|	0.000000|	16.754525|	7.067698|	0.000000|	1.637738|	0.000000|	
32.110984|	22.151234|	0.000000|	3.708754|	0.000000|	16.763195|	7.078070|	0.000000|	1.646542|	0.000000|	
32.210486|	22.195217|	0.000000|	3.723511|	0.000000|	16.683022|	7.039416|	0.000000|	1.631029|	0.000000|	
32.259981|	22.244983|	0.000000|	3.565454|	0.000000|	16.788586|	7.100446|	0.000000|	1.629505|	0.000000|	
32.186869|	22.173966|	0.000000|	3.704354|	0.000000|	16.752344|	7.067679|	0.000000|	1.677662|	0.000000|	
32.009163|	22.039772|	0.000000|	3.669629|	0.000000|	16.747587|	7.066913|	0.000000|	1.671681|	0.000000|	
32.181427|	22.169196|	0.000000|	3.675115|	0.000000|	16.767293|	7.087562|	0.000000|	1.656800|	0.000000|	
32.335608|	22.319410|	0.000000|	3.703476|	0.000000|	16.734530|	7.050616|	0.000000|	1.642723|	0.000000|	
