Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.171626|	22.375152|	0.000000|	1.977511|	0.000000|	16.806947|	7.128735|	0.000000|	1.658985|	0.000000|	
32.219914|	22.407810|	0.000000|	1.986222|	0.000000|	16.789725|	7.111637|	0.000000|	1.674595|	0.000000|	
32.114167|	22.344587|	0.000000|	1.976334|	0.000000|	16.796727|	7.120803|	0.000000|	1.667884|	0.000000|	
22.790704|	15.252284|	0.000000|	1.528482|	0.000000|	12.465212|	5.075486|	0.000000|	1.261175|	0.000000|	
3.233161|	0.918669|	0.000000|	0.650496|	0.000000|	3.175401|	0.885038|	0.000000|	0.597384|	0.000000|	
3.884141|	1.246650|	0.000000|	0.705960|	0.000000|	3.774799|	1.162188|	0.000000|	0.652237|	0.000000|	
4.646855|	1.798156|	0.000000|	0.862664|	0.000000|	4.140190|	1.321161|	0.000000|	0.671807|	0.000000|	
3.492342|	1.127193|	0.000000|	0.820371|	0.000000|	3.339422|	0.997191|	0.000000|	0.592333|	0.000000|	
2.502656|	0.690686|	0.000000|	0.672423|	0.000000|	2.456471|	0.663676|	0.000000|	0.541923|	0.000000|	
3.534727|	1.056027|	0.000000|	0.760826|	0.000000|	3.457806|	1.003071|	0.000000|	0.632930|	0.000000|	
2.989254|	0.801379|	0.000000|	0.618989|	0.000000|	2.953947|	0.788443|	0.000000|	0.557282|	0.000000|	
3.855395|	1.129095|	0.000000|	0.656050|	0.000000|	3.707021|	1.090746|	0.000000|	0.666547|	0.000000|	
2.947892|	0.829362|	0.000000|	0.686770|	0.000000|	2.902089|	0.805700|	0.000000|	0.594021|	0.000000|	
2.547564|	0.680071|	0.000000|	0.620799|	0.000000|	2.515988|	0.666527|	0.000000|	0.544791|	0.000000|	
11.347502|	5.135081|	0.000000|	1.267352|	0.000000|	10.285452|	4.131316|	0.000000|	1.077949|	0.000000|	
3.343866|	0.985646|	0.000000|	0.698959|	0.000000|	3.258473|	0.923317|	0.000000|	0.621866|	0.000000|	
2.482276|	0.678883|	0.000000|	0.553435|	0.000000|	2.441811|	0.657504|	0.000000|	0.557234|	0.000000|	
3.214549|	0.892180|	0.000000|	0.661718|	0.000000|	3.194912|	0.894159|	0.000000|	0.589437|	0.000000|	
3.304375|	0.897215|	0.000000|	0.631215|	0.000000|	3.298750|	0.916314|	0.000000|	0.600402|	0.000000|	
3.373945|	0.932852|	0.000000|	0.573785|	0.000000|	3.409626|	0.928518|	0.000000|	0.597831|	0.000000|	
3.676253|	1.048449|	0.000000|	0.622983|	0.000000|	3.520813|	1.066779|	0.000000|	0.651590|	0.000000|	
2.910523|	0.794337|	0.000000|	0.599100|	0.000000|	2.874993|	0.779427|	0.000000|	0.580689|	0.000000|	
4.437290|	1.662312|	0.000000|	0.687814|	0.000000|	4.083951|	1.333093|	0.000000|	0.683396|	0.000000|	
2.870754|	0.763996|	0.000000|	0.646719|	0.000000|	2.831406|	0.744514|	0.000000|	0.568257|	0.000000|	
9.038913|	3.468791|	0.000000|	1.105903|	0.000000|	9.988547|	4.463232|	0.000000|	0.980294|	0.000000|	
