Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

27.984434|	18.152356|	0.000000|	2.007604|	0.000000|	16.941243|	7.204524|	0.000000|	1.697095|	0.000000|	
8.281961|	3.658214|	0.000000|	1.139710|	0.000000|	7.384753|	2.869605|	0.000000|	0.943718|	0.000000|	
2.537049|	0.659112|	0.000000|	0.723871|	0.000000|	2.507522|	0.655456|	0.000000|	0.558123|	0.000000|	
2.718174|	0.733584|	0.000000|	0.714105|	0.000000|	2.779423|	0.735639|	0.000000|	0.552185|	0.000000|	
2.536176|	0.662580|	0.000000|	0.715460|	0.000000|	2.499050|	0.649644|	0.000000|	0.540533|	0.000000|	
2.616077|	0.720494|	0.000000|	0.757851|	0.000000|	2.581990|	0.710451|	0.000000|	0.569472|	0.000000|	
15.199649|	6.969778|	0.000000|	1.594790|	0.000000|	13.785522|	5.644771|	0.000000|	1.283151|	0.000000|	
17.615995|	7.841854|	0.000000|	1.862670|	0.000000|	16.728719|	7.056230|	0.000000|	1.467542|	0.000000|	
17.333531|	7.560715|	0.000000|	1.823350|	0.000000|	16.724659|	7.051063|	0.000000|	1.458802|	0.000000|	
17.312653|	7.536474|	0.000000|	1.787349|	0.000000|	16.705305|	7.033671|	0.000000|	1.446850|	0.000000|	
11.735614|	4.939738|	0.000000|	1.439049|	0.000000|	11.356332|	4.624677|	0.000000|	1.095834|	0.000000|	
2.513135|	0.657257|	0.000000|	0.694389|	0.000000|	2.475703|	0.639599|	0.000000|	0.553242|	0.000000|	
2.579461|	0.688896|	0.000000|	0.610150|	0.000000|	2.542325|	0.673382|	0.000000|	0.558562|	0.000000|	
6.054096|	2.482869|	0.000000|	0.932130|	0.000000|	5.528637|	1.991954|	0.000000|	0.750332|	0.000000|	
3.129295|	0.930538|	0.000000|	0.733603|	0.000000|	2.999050|	0.824190|	0.000000|	0.588889|	0.000000|	
