Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
34.198200|	23.811806|	0.000000|	5.498567|	0.000000|	16.818730|	7.123071|	0.000000|	1.697879|	0.000000|	
34.142674|	23.758358|	0.000000|	5.503045|	0.000000|	16.822181|	7.126993|	0.000000|	1.664284|	0.000000|	
34.011808|	23.678866|	0.000000|	5.443640|	0.000000|	16.814854|	7.118081|	0.000000|	1.681450|	0.000000|	
34.193244|	23.808735|	0.000000|	5.466795|	0.000000|	16.821438|	7.127117|	0.000000|	1.706215|	0.000000|	
34.141807|	23.758014|	0.000000|	5.444663|	0.000000|	16.807635|	7.114405|	0.000000|	1.707419|	0.000000|	
34.162003|	23.779203|	0.000000|	5.466589|	0.000000|	16.827011|	7.128774|	0.000000|	1.681285|	0.000000|	
34.133289|	23.748373|	0.000000|	5.419886|	0.000000|	16.804163|	7.104278|	0.000000|	1.681878|	0.000000|	
34.425087|	24.045141|	0.000000|	5.501117|	0.000000|	16.829602|	7.127492|	0.000000|	1.699968|	0.000000|	
34.147986|	23.762776|	0.000000|	5.473382|	0.000000|	16.741724|	7.120455|	0.000000|	1.698827|	0.000000|	
34.145475|	23.752376|	0.000000|	5.447961|	0.000000|	16.811922|	7.076699|	0.000000|	1.690546|	0.000000|	
34.167241|	23.771910|	0.000000|	5.528488|	0.000000|	16.813806|	7.112688|	0.000000|	1.691445|	0.000000|	
34.138990|	23.750566|	0.000000|	5.500499|	0.000000|	16.801530|	7.101873|	0.000000|	1.698725|	0.000000|	
34.043627|	23.711079|	0.000000|	5.443630|	0.000000|	16.814904|	7.117517|	0.000000|	1.698849|	0.000000|	
34.170358|	23.783616|	0.000000|	5.472404|	0.000000|	16.804393|	7.103440|	0.000000|	1.681803|	0.000000|	
34.191730|	23.804055|	0.000000|	5.471614|	0.000000|	16.805989|	7.105381|	0.000000|	1.677151|	0.000000|	
34.226592|	23.884136|	0.000000|	5.127950|	0.000000|	16.812092|	7.107593|	0.000000|	1.715254|	0.000000|	
34.164525|	23.774133|	0.000000|	5.388905|	0.000000|	16.802049|	7.102628|	0.000000|	1.690657|	0.000000|	
34.173707|	23.792307|	0.000000|	5.442149|	0.000000|	16.841075|	7.137785|	0.000000|	1.698909|	0.000000|	
34.161232|	23.778097|	0.000000|	5.467940|	0.000000|	16.810943|	7.108267|	0.000000|	1.681128|	0.000000|	
34.144411|	23.754726|	0.000000|	5.443656|	0.000000|	16.802727|	7.107050|	0.000000|	1.715603|	0.000000|	
34.190772|	23.801106|	0.000000|	5.443841|	0.000000|	16.812276|	7.115335|	0.000000|	1.716097|	0.000000|	
34.116860|	23.782207|	0.000000|	5.444041|	0.000000|	16.799450|	7.103089|	0.000000|	1.708070|	0.000000|	
34.425418|	24.040046|	0.000000|	5.470332|	0.000000|	16.823447|	7.124127|	0.000000|	1.691012|	0.000000|	
