Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

44.094966|	34.246994|	0.000000|	1.955594|	0.000000|	16.885216|	7.193125|	0.000000|	1.681082|	0.000000|	
19.798425|	14.425058|	0.000000|	1.248590|	0.000000|	8.664822|	3.375278|	0.000000|	1.023983|	0.000000|	
3.240471|	0.926313|	0.000000|	0.633649|	0.000000|	3.143982|	0.868106|	0.000000|	0.579093|	0.000000|	
3.363422|	0.994610|	0.000000|	0.575673|	0.000000|	3.240695|	0.906346|	0.000000|	0.597660|	0.000000|	
2.934170|	0.807022|	0.000000|	0.620767|	0.000000|	2.891636|	0.797737|	0.000000|	0.559598|	0.000000|	
4.676035|	1.639063|	0.000000|	0.774979|	0.000000|	4.580233|	1.586481|	0.000000|	0.669731|	0.000000|	
17.882414|	8.083969|	0.000000|	1.833804|	0.000000|	17.407503|	7.722307|	0.000000|	1.457836|	0.000000|	
18.511547|	8.718728|	0.000000|	1.875735|	0.000000|	17.379544|	7.689694|	0.000000|	1.507031|	0.000000|	
16.709980|	6.918161|	0.000000|	1.836137|	0.000000|	17.411127|	7.722094|	0.000000|	1.468786|	0.000000|	
11.302316|	4.539963|	0.000000|	1.345165|	0.000000|	11.695993|	5.010037|	0.000000|	1.107999|	0.000000|	
