Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

34.164511|	23.798299|	0.000000|	5.530393|	0.000000|	16.852482|	7.149542|	0.000000|	1.693252|	0.000000|	
34.091172|	23.720637|	0.000000|	5.523723|	0.000000|	16.853604|	7.156707|	0.000000|	1.673473|	0.000000|	
34.767441|	24.457065|	0.000000|	5.481411|	0.000000|	16.841302|	7.144012|	0.000000|	1.726388|	0.000000|	
34.776904|	24.419881|	0.000000|	5.523931|	0.000000|	16.858578|	7.163323|	0.000000|	1.699903|	0.000000|	
34.092785|	23.734941|	0.000000|	5.337277|	0.000000|	16.819842|	7.122282|	0.000000|	1.662839|	0.000000|	
33.973744|	23.624936|	0.000000|	5.309556|	0.000000|	16.815231|	7.120498|	0.000000|	1.689950|	0.000000|	
34.107788|	23.730635|	0.000000|	5.481492|	0.000000|	16.842308|	7.145731|	0.000000|	1.689884|	0.000000|	
34.077768|	23.706538|	0.000000|	5.529189|	0.000000|	16.731876|	7.083883|	0.000000|	1.665288|	0.000000|	
34.124770|	23.749836|	0.000000|	5.476734|	0.000000|	16.833973|	7.138188|	0.000000|	1.699206|	0.000000|	
34.476824|	24.102025|	0.000000|	5.543504|	0.000000|	16.837548|	7.138431|	0.000000|	1.723563|	0.000000|	
34.931884|	24.574880|	0.000000|	5.429211|	0.000000|	16.834411|	7.134855|	0.000000|	1.698790|	0.000000|	
34.116360|	23.736611|	0.000000|	5.450512|	0.000000|	16.836895|	7.139229|	0.000000|	1.673274|	0.000000|	
33.935546|	23.735149|	0.000000|	5.449757|	0.000000|	16.831606|	7.133041|	0.000000|	1.707942|	0.000000|	
34.135642|	23.636772|	0.000000|	5.448848|	0.000000|	16.848654|	7.156187|	0.000000|	1.707035|	0.000000|	
34.033418|	23.671388|	0.000000|	5.424424|	0.000000|	16.825095|	7.135830|	0.000000|	1.697628|	0.000000|	
33.977975|	23.637569|	0.000000|	5.299371|	0.000000|	16.797873|	7.108848|	0.000000|	1.648074|	0.000000|	
34.167568|	23.793468|	0.000000|	5.505745|	0.000000|	16.841548|	7.146163|	0.000000|	1.715854|	0.000000|	
34.396805|	24.020967|	0.000000|	5.483474|	0.000000|	16.833357|	7.135774|	0.000000|	1.722479|	0.000000|	
34.204115|	23.830770|	0.000000|	5.531004|	0.000000|	16.845407|	7.151057|	0.000000|	1.682313|	0.000000|	
34.164138|	23.787648|	0.000000|	5.502596|	0.000000|	16.838579|	7.139813|	0.000000|	1.699324|	0.000000|	
34.164489|	23.784806|	0.000000|	5.447022|	0.000000|	16.839675|	7.143402|	0.000000|	1.681919|	0.000000|	
34.183192|	23.798373|	0.000000|	5.502347|	0.000000|	16.827939|	7.133772|	0.000000|	1.699318|	0.000000|	
33.975281|	23.642338|	0.000000|	5.416874|	0.000000|	16.732711|	7.087807|	0.000000|	1.681973|	0.000000|	
34.215309|	23.825902|	0.000000|	5.501478|	0.000000|	16.831479|	7.135992|	0.000000|	1.707579|	0.000000|	
34.402633|	24.013332|	0.000000|	5.505524|	0.000000|	16.822470|	7.125480|	0.000000|	1.681153|	0.000000|	
33.959759|	23.618716|	0.000000|	5.229627|	0.000000|	16.835760|	7.138941|	0.000000|	1.677317|	0.000000|	
34.194415|	23.803438|	0.000000|	5.418540|	0.000000|	16.821219|	7.123412|	0.000000|	1.681582|	0.000000|	
34.181926|	23.792979|	0.000000|	5.506350|	0.000000|	16.866349|	7.167601|	0.000000|	1.698320|	0.000000|	
34.188087|	23.796390|	0.000000|	5.419356|	0.000000|	16.827340|	7.130567|	0.000000|	1.681525|	0.000000|	
34.214559|	23.826859|	0.000000|	5.477595|	0.000000|	16.844997|	7.146715|	0.000000|	1.673081|	0.000000|	
34.148480|	23.759527|	0.000000|	5.445987|	0.000000|	16.793732|	7.100290|	0.000000|	1.698829|	0.000000|	
34.017064|	23.678959|	0.000000|	5.450100|	0.000000|	16.817562|	7.122466|	0.000000|	1.699078|	0.000000|	
34.848824|	24.462018|	0.000000|	5.511059|	0.000000|	16.800556|	7.104318|	0.000000|	1.698294|	0.000000|	
34.213937|	23.824541|	0.000000|	5.421517|	0.000000|	16.834967|	7.137182|	0.000000|	1.690699|	0.000000|	
34.165111|	23.778988|	0.000000|	5.530773|	0.000000|	16.808702|	7.113910|	0.000000|	1.690452|	0.000000|	
33.961025|	23.619062|	0.000000|	5.172465|	0.000000|	16.815198|	7.123311|	0.000000|	1.690003|	0.000000|	
34.188079|	23.796288|	0.000000|	5.477476|	0.000000|	16.831485|	7.138639|	0.000000|	1.673040|	0.000000|	
34.175673|	23.786925|	0.000000|	5.504039|	0.000000|	16.734445|	7.091379|	0.000000|	1.689637|	0.000000|	
34.180485|	23.786675|	0.000000|	5.476888|	0.000000|	16.828416|	7.141077|	0.000000|	1.698747|	0.000000|	
34.359839|	23.969640|	0.000000|	5.475213|	0.000000|	16.816477|	7.126685|	0.000000|	1.702224|	0.000000|	
34.022553|	23.679422|	0.000000|	5.477660|	0.000000|	16.822144|	7.131026|	0.000000|	1.721114|	0.000000|	
34.193273|	23.804431|	0.000000|	5.504780|	0.000000|	16.813228|	7.117551|	0.000000|	1.681507|	0.000000|	
34.154444|	23.769367|	0.000000|	5.477811|	0.000000|	16.812879|	7.116485|	0.000000|	1.724147|	0.000000|	
34.195558|	23.807772|	0.000000|	5.448769|	0.000000|	16.822317|	7.124286|	0.000000|	1.690213|	0.000000|	
34.136888|	23.751284|	0.000000|	5.475530|	0.000000|	16.808549|	7.114456|	0.000000|	1.698520|	0.000000|	
34.120599|	23.735204|	0.000000|	5.503739|	0.000000|	17.368181|	7.671540|	0.000000|	1.698486|	0.000000|	
34.163235|	23.772627|	0.000000|	5.529842|	0.000000|	16.847327|	7.148019|	0.000000|	1.698859|	0.000000|	
34.354750|	23.965746|	0.000000|	5.536902|	0.000000|	16.803351|	7.104769|	0.000000|	1.681663|	0.000000|	
