Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

19.016955|	8.990603|	0.000000|	3.835167|	0.000000|	17.382229|	7.664313|	0.000000|	1.624299|	0.000000|	
18.967978|	8.950926|	0.000000|	3.845445|	0.000000|	16.740706|	7.028161|	0.000000|	1.598929|	0.000000|	
27.141523|	17.001128|	0.000000|	4.560683|	0.000000|	16.749790|	7.040407|	0.000000|	1.672088|	0.000000|	
32.724783|	22.487230|	0.000000|	4.927780|	0.000000|	16.754282|	7.030771|	0.000000|	1.699681|	0.000000|	
32.781141|	22.539873|	0.000000|	4.970644|	0.000000|	16.782846|	7.058139|	0.000000|	1.690951|	0.000000|	
32.800673|	22.613559|	0.000000|	5.031684|	0.000000|	16.769610|	7.044294|	0.000000|	1.725051|	0.000000|	
32.739031|	22.497304|	0.000000|	5.078179|	0.000000|	16.668004|	6.994471|	0.000000|	1.673737|	0.000000|	
32.794950|	22.552604|	0.000000|	5.102929|	0.000000|	16.764378|	7.041222|	0.000000|	1.666325|	0.000000|	
32.756977|	22.514861|	0.000000|	4.987178|	0.000000|	16.752035|	7.030681|	0.000000|	1.681534|	0.000000|	
32.658206|	22.471560|	0.000000|	5.012936|	0.000000|	16.763086|	7.038326|	0.000000|	1.682605|	0.000000|	
32.777303|	22.538026|	0.000000|	5.000836|	0.000000|	16.754082|	7.030460|	0.000000|	1.709314|	0.000000|	
32.755367|	22.514802|	0.000000|	5.020940|	0.000000|	16.756143|	7.029391|	0.000000|	1.655928|	0.000000|	
33.030092|	22.788696|	0.000000|	5.126865|	0.000000|	16.697060|	7.050915|	0.000000|	1.717359|	0.000000|	
32.901080|	22.658767|	0.000000|	5.060158|	0.000000|	16.755120|	6.992274|	0.000000|	1.689637|	0.000000|	
32.648059|	22.454163|	0.000000|	5.071893|	0.000000|	16.758719|	7.037367|	0.000000|	1.699846|	0.000000|	
32.777101|	22.531743|	0.000000|	4.955220|	0.000000|	16.754052|	7.030121|	0.000000|	1.716749|	0.000000|	
32.803226|	22.560020|	0.000000|	4.905966|	0.000000|	16.756802|	7.030459|	0.000000|	1.700157|	0.000000|	
32.834505|	22.592011|	0.000000|	4.816282|	0.000000|	16.754471|	7.041492|	0.000000|	1.668277|	0.000000|	
32.772629|	22.533249|	0.000000|	4.980838|	0.000000|	16.747702|	7.027708|	0.000000|	1.699878|	0.000000|	
32.641300|	22.451423|	0.000000|	5.082445|	0.000000|	16.679842|	7.004787|	0.000000|	1.700116|	0.000000|	
32.987775|	22.751495|	0.000000|	5.049298|	0.000000|	16.758993|	7.034330|	0.000000|	1.709343|	0.000000|	
32.772468|	22.535718|	0.000000|	4.971587|	0.000000|	16.754366|	7.028320|	0.000000|	1.713579|	0.000000|	
32.811703|	22.573436|	0.000000|	4.937188|	0.000000|	16.766759|	7.042401|	0.000000|	1.699521|	0.000000|	
32.771391|	22.527475|	0.000000|	4.877313|	0.000000|	16.744155|	7.028828|	0.000000|	1.661997|	0.000000|	
32.681199|	22.477974|	0.000000|	4.802778|	0.000000|	16.698874|	7.023640|	0.000000|	1.689672|	0.000000|	
32.804445|	22.553349|	0.000000|	4.859691|	0.000000|	16.746600|	7.026150|	0.000000|	1.690342|	0.000000|	
32.801622|	22.550779|	0.000000|	4.999461|	0.000000|	16.749026|	7.028524|	0.000000|	1.689867|	0.000000|	
32.867234|	22.619501|	0.000000|	5.035939|	0.000000|	16.817796|	7.095626|	0.000000|	1.700755|	0.000000|	
32.852473|	22.645819|	0.000000|	4.934431|	0.000000|	16.758092|	7.032961|	0.000000|	1.716256|	0.000000|	
32.829141|	22.577190|	0.000000|	4.956534|	0.000000|	16.761110|	7.039948|	0.000000|	1.700130|	0.000000|	
32.813145|	22.563143|	0.000000|	4.804257|	0.000000|	16.752865|	7.030249|	0.000000|	1.715514|	0.000000|	
32.817758|	22.571817|	0.000000|	4.992176|	0.000000|	16.671471|	6.995105|	0.000000|	1.673629|	0.000000|	
32.838989|	22.583261|	0.000000|	4.846463|	0.000000|	16.762612|	7.040587|	0.000000|	1.707487|	0.000000|	
