Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

35.645617|	25.537795|	0.000000|	4.526807|	0.000000|	16.948908|	7.207796|	0.000000|	1.726322|	0.000000|	
21.407213|	11.407131|	0.000000|	3.614148|	0.000000|	16.807195|	7.136219|	0.000000|	1.681306|	0.000000|	
21.294492|	11.343626|	0.000000|	3.521778|	0.000000|	16.832353|	7.154192|	0.000000|	1.707321|	0.000000|	
32.056244|	22.001205|	0.000000|	4.136553|	0.000000|	16.811388|	7.133974|	0.000000|	1.711578|	0.000000|	
37.888398|	27.762554|	0.000000|	4.545687|	0.000000|	16.841393|	7.144532|	0.000000|	1.691178|	0.000000|	
37.943511|	27.809688|	0.000000|	4.582582|	0.000000|	16.834527|	7.139415|	0.000000|	1.663286|	0.000000|	
13.372970|	8.830547|	0.000000|	1.869809|	0.000000|	7.106380|	2.704572|	0.000000|	0.933082|	0.000000|	
18.186382|	9.415631|	0.000000|	1.704673|	0.000000|	14.749190|	6.096098|	0.000000|	1.305667|	0.000000|	
3.394420|	1.017076|	0.000000|	0.734387|	0.000000|	3.297554|	0.949430|	0.000000|	0.628694|	0.000000|	
2.971498|	0.824175|	0.000000|	0.702206|	0.000000|	2.911084|	0.796778|	0.000000|	0.582675|	0.000000|	
2.615578|	0.709203|	0.000000|	0.576293|	0.000000|	2.591839|	0.716892|	0.000000|	0.532699|	0.000000|	
2.465530|	0.653209|	0.000000|	0.557265|	0.000000|	2.414097|	0.629313|	0.000000|	0.541971|	0.000000|	
2.713875|	0.712305|	0.000000|	0.625718|	0.000000|	2.680091|	0.708201|	0.000000|	0.573070|	0.000000|	
2.782132|	0.758898|	0.000000|	0.642483|	0.000000|	2.746751|	0.753338|	0.000000|	0.571033|	0.000000|	
7.221160|	3.057473|	0.000000|	0.978674|	0.000000|	6.566501|	2.458293|	0.000000|	0.828616|	0.000000|	
14.755374|	6.337671|	0.000000|	1.645916|	0.000000|	14.223076|	5.904386|	0.000000|	1.305634|	0.000000|	
2.373003|	0.654296|	0.000000|	0.659467|	0.000000|	2.333287|	0.637022|	0.000000|	0.571888|	0.000000|	
2.593158|	0.685759|	0.000000|	0.687130|	0.000000|	2.572229|	0.693902|	0.000000|	0.574064|	0.000000|	
2.784896|	0.761643|	0.000000|	0.645985|	0.000000|	2.722886|	0.731817|	0.000000|	0.569523|	0.000000|	
2.935702|	0.805980|	0.000000|	0.629687|	0.000000|	2.970399|	0.872706|	0.000000|	0.588373|	0.000000|	
