Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

26.286851|	16.477358|	0.000000|	1.956078|	0.000000|	16.761447|	7.077924|	0.000000|	1.518147|	0.000000|	
3.162095|	0.880024|	0.000000|	0.777872|	0.000000|	3.082857|	0.827122|	0.000000|	0.588864|	0.000000|	
4.097535|	1.197267|	0.000000|	0.765638|	0.000000|	4.022358|	1.155191|	0.000000|	0.645422|	0.000000|	
2.682586|	0.734671|	0.000000|	0.571242|	0.000000|	2.688984|	0.718465|	0.000000|	0.554508|	0.000000|	
3.028581|	0.795167|	0.000000|	0.573171|	0.000000|	2.939874|	0.782158|	0.000000|	0.574083|	0.000000|	
2.669118|	0.702149|	0.000000|	0.554447|	0.000000|	2.649178|	0.706792|	0.000000|	0.550487|	0.000000|	
8.429398|	3.661571|	0.000000|	0.999875|	0.000000|	7.562530|	2.856344|	0.000000|	0.898825|	0.000000|	
17.412272|	7.628734|	0.000000|	1.813347|	0.000000|	16.718085|	7.047875|	0.000000|	1.454834|	0.000000|	
17.315726|	7.526163|	0.000000|	1.817285|	0.000000|	16.722845|	7.054346|	0.000000|	1.478614|	0.000000|	
17.324007|	7.539601|	0.000000|	1.827245|	0.000000|	16.735248|	7.063522|	0.000000|	1.446807|	0.000000|	
