Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

22.938755|	12.867209|	0.000000|	3.898786|	0.000000|	16.689273|	7.061626|	0.000000|	1.643628|	0.000000|	
18.956123|	8.950452|	0.000000|	3.604961|	0.000000|	16.796012|	7.016894|	0.000000|	1.539375|	0.000000|	
22.754342|	12.691800|	0.000000|	4.009681|	0.000000|	16.735784|	7.035922|	0.000000|	1.622617|	0.000000|	
32.679143|	22.443197|	0.000000|	5.038048|	0.000000|	16.659198|	6.992673|	0.000000|	1.653962|	0.000000|	
32.710139|	22.469701|	0.000000|	5.003699|	0.000000|	16.749599|	7.028315|	0.000000|	1.682298|	0.000000|	
32.758295|	22.523699|	0.000000|	4.992327|	0.000000|	16.768067|	7.044854|	0.000000|	1.694367|	0.000000|	
32.547743|	22.365422|	0.000000|	4.835198|	0.000000|	16.755414|	7.029350|	0.000000|	1.699897|	0.000000|	
33.148916|	22.917095|	0.000000|	4.818414|	0.000000|	16.769485|	7.044698|	0.000000|	1.706228|	0.000000|	
33.421446|	23.191275|	0.000000|	4.808531|	0.000000|	16.663099|	6.993348|	0.000000|	1.659725|	0.000000|	
33.432246|	23.207389|	0.000000|	4.809029|	0.000000|	16.746661|	7.032570|	0.000000|	1.695331|	0.000000|	
33.475728|	23.244018|	0.000000|	4.857847|	0.000000|	16.765317|	7.048327|	0.000000|	1.704320|	0.000000|	
33.247523|	23.069867|	0.000000|	4.809385|	0.000000|	16.745034|	7.032907|	0.000000|	1.667072|	0.000000|	
32.957302|	22.722962|	0.000000|	4.856572|	0.000000|	16.780520|	7.063943|	0.000000|	1.689379|	0.000000|	
32.764505|	22.525431|	0.000000|	4.832051|	0.000000|	16.745098|	7.030885|	0.000000|	1.665059|	0.000000|	
32.739381|	22.503180|	0.000000|	4.833394|	0.000000|	16.747843|	7.029575|	0.000000|	1.692262|	0.000000|	
33.326487|	23.148091|	0.000000|	4.794324|	0.000000|	16.687191|	7.017362|	0.000000|	1.687589|	0.000000|	
32.758622|	22.522892|	0.000000|	4.856318|	0.000000|	16.738950|	7.027381|	0.000000|	1.652760|	0.000000|	
32.800172|	22.557796|	0.000000|	4.838731|	0.000000|	16.754656|	7.039268|	0.000000|	1.672946|	0.000000|	
32.772833|	22.531513|	0.000000|	4.832154|	0.000000|	16.746591|	7.027611|	0.000000|	1.702509|	0.000000|	
32.768275|	22.527731|	0.000000|	4.863601|	0.000000|	16.753296|	7.028450|	0.000000|	1.663397|	0.000000|	
32.641754|	22.457592|	0.000000|	4.760455|	0.000000|	16.764828|	7.040963|	0.000000|	1.668966|	0.000000|	
32.751463|	22.518911|	0.000000|	4.784804|	0.000000|	16.671490|	6.992977|	0.000000|	1.684292|	0.000000|	
33.042970|	22.806295|	0.000000|	4.825445|	0.000000|	16.776377|	7.044157|	0.000000|	1.683418|	0.000000|	
32.791156|	22.556169|	0.000000|	4.808724|	0.000000|	16.758724|	7.031076|	0.000000|	1.680354|	0.000000|	
32.621680|	22.429433|	0.000000|	4.690061|	0.000000|	16.744244|	7.026447|	0.000000|	1.652131|	0.000000|	
32.806465|	22.570436|	0.000000|	4.784759|	0.000000|	16.785606|	7.067820|	0.000000|	1.698031|	0.000000|	
32.748405|	22.509749|	0.000000|	4.831000|	0.000000|	16.747898|	7.031060|	0.000000|	1.681745|	0.000000|	
32.777832|	22.539553|	0.000000|	4.783564|	0.000000|	16.672062|	7.003422|	0.000000|	1.680145|	0.000000|	
32.770092|	22.528052|	0.000000|	4.784456|	0.000000|	16.741565|	7.028491|	0.000000|	1.687194|	0.000000|	
32.595349|	22.404442|	0.000000|	4.825376|	0.000000|	16.744580|	7.028106|	0.000000|	1.676435|	0.000000|	
33.031140|	22.788796|	0.000000|	4.916117|	0.000000|	16.759956|	7.046059|	0.000000|	1.693643|	0.000000|	
32.791255|	22.548064|	0.000000|	4.840110|	0.000000|	16.752363|	7.038191|	0.000000|	1.675162|	0.000000|	
32.855927|	22.603658|	0.000000|	4.832246|	0.000000|	16.766016|	7.053912|	0.000000|	1.672890|	0.000000|	
32.785232|	22.542358|	0.000000|	4.824204|	0.000000|	16.658969|	6.994045|	0.000000|	1.674147|	0.000000|	
32.642289|	22.445921|	0.000000|	4.769795|	0.000000|	16.736432|	7.026785|	0.000000|	1.688019|	0.000000|	
32.777102|	22.539766|	0.000000|	4.857532|	0.000000|	16.752460|	7.043406|	0.000000|	1.705033|	0.000000|	
32.770240|	22.530385|	0.000000|	4.851144|	0.000000|	16.738356|	7.030134|	0.000000|	1.672332|	0.000000|	
33.038135|	22.800331|	0.000000|	4.882508|	0.000000|	16.762966|	7.047683|	0.000000|	1.724072|	0.000000|	
32.660865|	22.473813|	0.000000|	4.817266|	0.000000|	16.742287|	7.028545|	0.000000|	1.681838|	0.000000|	
32.784392|	22.551551|	0.000000|	4.863606|	0.000000|	16.658638|	6.990893|	0.000000|	1.673504|	0.000000|	
32.811154|	22.577909|	0.000000|	4.769928|	0.000000|	16.752085|	7.040199|	0.000000|	1.673750|	0.000000|	
32.786775|	22.551495|	0.000000|	4.790061|	0.000000|	16.740576|	7.029166|	0.000000|	1.682563|	0.000000|	
32.651805|	22.575677|	0.000000|	4.789906|	0.000000|	16.747388|	7.038334|	0.000000|	1.698431|	0.000000|	
32.820187|	22.458997|	0.000000|	4.786373|	0.000000|	16.739702|	7.029417|	0.000000|	1.708954|	0.000000|	
32.789431|	22.546601|	0.000000|	4.862873|	0.000000|	16.736379|	7.026705|	0.000000|	1.655507|	0.000000|	
33.033347|	22.786814|	0.000000|	4.782312|	0.000000|	16.682657|	7.015902|	0.000000|	1.682068|	0.000000|	
32.828944|	22.588325|	0.000000|	4.832097|	0.000000|	16.745936|	7.030568|	0.000000|	1.649003|	0.000000|	
32.610404|	22.417597|	0.000000|	4.759187|	0.000000|	16.752315|	7.039360|	0.000000|	1.686158|	0.000000|	
32.793016|	22.547318|	0.000000|	4.857640|	0.000000|	16.743312|	7.028795|	0.000000|	1.688337|	0.000000|	
32.773354|	22.531954|	0.000000|	4.806787|	0.000000|	16.735968|	7.026747|	0.000000|	1.705909|	0.000000|	
32.812689|	22.570972|	0.000000|	4.835423|	0.000000|	16.751756|	7.040241|	0.000000|	1.699592|	0.000000|	
32.620858|	22.431399|	0.000000|	4.852637|	0.000000|	16.658374|	6.995744|	0.000000|	1.667985|	0.000000|	
32.990552|	22.745237|	0.000000|	4.896701|	0.000000|	16.780820|	7.060529|	0.000000|	1.704838|	0.000000|	
33.576882|	23.342040|	0.000000|	4.846369|	0.000000|	16.756034|	7.032670|	0.000000|	1.701552|	0.000000|	
33.473859|	23.238861|	0.000000|	4.810671|	0.000000|	16.746984|	7.028699|	0.000000|	1.710075|	0.000000|	
33.503431|	23.268722|	0.000000|	4.781732|	0.000000|	16.751371|	7.040696|	0.000000|	1.684359|	0.000000|	
33.331681|	23.151766|	0.000000|	4.807960|	0.000000|	16.655484|	6.995627|	0.000000|	1.668832|	0.000000|	
33.504505|	23.280360|	0.000000|	4.785139|	0.000000|	16.746311|	7.037429|	0.000000|	1.691787|	0.000000|	
33.483132|	23.251673|	0.000000|	4.784069|	0.000000|	16.743964|	7.028315|	0.000000|	1.640181|	0.000000|	
33.449942|	23.218757|	0.000000|	4.855521|	0.000000|	16.739672|	7.025884|	0.000000|	1.699789|	0.000000|	
32.920778|	22.733103|	0.000000|	4.787195|	0.000000|	16.770683|	7.044741|	0.000000|	1.682348|	0.000000|	
32.775809|	22.540150|	0.000000|	4.807885|	0.000000|	16.755350|	7.029621|	0.000000|	1.708153|	0.000000|	
32.817378|	22.572191|	0.000000|	4.810384|	0.000000|	16.676876|	7.045522|	0.000000|	1.673928|	0.000000|	
32.794208|	22.544804|	0.000000|	4.833366|	0.000000|	16.747384|	6.998012|	0.000000|	1.700255|	0.000000|	
32.812488|	22.558697|	0.000000|	4.842763|	0.000000|	16.747154|	7.030797|	0.000000|	1.683732|	0.000000|	
32.671819|	22.468903|	0.000000|	4.785517|	0.000000|	16.775394|	7.053399|	0.000000|	1.706601|	0.000000|	
32.798173|	22.548265|	0.000000|	4.784725|	0.000000|	16.785392|	7.069944|	0.000000|	1.699499|	0.000000|	
32.858088|	22.610254|	0.000000|	4.847503|	0.000000|	16.757775|	7.040683|	0.000000|	1.657567|	0.000000|	
33.712526|	23.473663|	0.000000|	4.859278|	0.000000|	16.756307|	7.038210|	0.000000|	1.672790|	0.000000|	
32.650582|	22.455781|	0.000000|	4.812957|	0.000000|	16.665668|	6.993065|	0.000000|	1.691111|	0.000000|	
32.837301|	22.596426|	0.000000|	4.833590|	0.000000|	16.761668|	7.038969|	0.000000|	1.708526|	0.000000|	
32.818007|	22.576611|	0.000000|	4.810516|	0.000000|	16.752385|	7.030830|	0.000000|	1.717233|	0.000000|	
32.858024|	22.614154|	0.000000|	4.857565|	0.000000|	16.780890|	7.056091|	0.000000|	1.708163|	0.000000|	
32.624948|	22.439955|	0.000000|	4.832045|	0.000000|	16.756118|	7.029884|	0.000000|	1.701003|	0.000000|	
32.777413|	22.541246|	0.000000|	4.836158|	0.000000|	16.667166|	7.027902|	0.000000|	1.671985|	0.000000|	
33.044836|	22.810585|	0.000000|	4.811665|	0.000000|	16.769240|	7.008908|	0.000000|	1.687383|	0.000000|	
32.810755|	22.576243|	0.000000|	4.832809|	0.000000|	16.748036|	7.027058|	0.000000|	1.666167|	0.000000|	
32.803511|	22.560055|	0.000000|	4.812118|	0.000000|	16.769330|	7.041830|	0.000000|	1.708804|	0.000000|	
32.633344|	22.438460|	0.000000|	4.735415|	0.000000|	16.750268|	7.027933|	0.000000|	1.690224|	0.000000|	
32.809540|	22.560147|	0.000000|	4.738844|	0.000000|	16.751590|	7.028299|	0.000000|	1.698167|	0.000000|	
33.864415|	23.622244|	0.000000|	4.775108|	0.000000|	16.771097|	7.043436|	0.000000|	1.676438|	0.000000|	
34.198139|	23.970527|	0.000000|	4.780245|	0.000000|	16.668920|	6.991616|	0.000000|	1.704996|	0.000000|	
