Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.898786|	23.525228|	0.000000|	5.489494|	0.000000|	16.812622|	7.119214|	0.000000|	1.690972|	0.000000|	
34.817436|	24.436699|	0.000000|	5.509408|	0.000000|	16.842479|	7.146100|	0.000000|	1.734866|	0.000000|	
34.174949|	23.783095|	0.000000|	5.420766|	0.000000|	16.834363|	7.132011|	0.000000|	1.681868|	0.000000|	
34.149482|	23.754858|	0.000000|	5.498600|	0.000000|	16.805041|	7.106535|	0.000000|	1.682370|	0.000000|	
34.096043|	23.724898|	0.000000|	5.379238|	0.000000|	16.836123|	7.137050|	0.000000|	1.698979|	0.000000|	
34.021084|	23.661868|	0.000000|	5.304744|	0.000000|	16.800182|	7.103127|	0.000000|	1.681730|	0.000000|	
34.173556|	23.789168|	0.000000|	5.471720|	0.000000|	16.817642|	7.121932|	0.000000|	1.690024|	0.000000|	
33.959458|	23.627410|	0.000000|	5.446770|	0.000000|	16.800711|	7.100166|	0.000000|	1.699060|	0.000000|	
34.473008|	24.087896|	0.000000|	5.509311|	0.000000|	16.813603|	7.116054|	0.000000|	1.705313|	0.000000|	
34.515223|	24.134203|	0.000000|	5.481602|	0.000000|	16.813192|	7.113676|	0.000000|	1.690302|	0.000000|	
34.161454|	23.771738|	0.000000|	5.505282|	0.000000|	16.825175|	7.126576|	0.000000|	1.689490|	0.000000|	
34.197642|	23.805173|	0.000000|	5.501975|	0.000000|	16.727323|	7.077770|	0.000000|	1.665229|	0.000000|	
34.154986|	23.759513|	0.000000|	5.475787|	0.000000|	16.806334|	7.107385|	0.000000|	1.698504|	0.000000|	
34.163205|	23.767794|	0.000000|	5.504813|	0.000000|	16.811521|	7.111321|	0.000000|	1.673327|	0.000000|	
34.110816|	23.735970|	0.000000|	5.371576|	0.000000|	16.806897|	7.110600|	0.000000|	1.706674|	0.000000|	
34.043356|	23.686752|	0.000000|	5.283443|	0.000000|	16.812615|	7.115164|	0.000000|	1.698233|	0.000000|	
34.476613|	24.084102|	0.000000|	5.487811|	0.000000|	16.831820|	7.134839|	0.000000|	1.724360|	0.000000|	
34.009925|	23.670659|	0.000000|	5.425873|	0.000000|	16.817189|	7.116213|	0.000000|	1.690344|	0.000000|	
34.188097|	23.795729|	0.000000|	5.510450|	0.000000|	16.812968|	7.113376|	0.000000|	1.707956|	0.000000|	
34.222880|	23.832889|	0.000000|	5.529369|	0.000000|	16.825435|	7.124510|	0.000000|	1.715939|	0.000000|	
34.208677|	23.817040|	0.000000|	5.508749|	0.000000|	16.822769|	7.120010|	0.000000|	1.682049|	0.000000|	
34.233418|	23.842545|	0.000000|	5.506464|	0.000000|	16.831139|	7.126939|	0.000000|	1.715840|	0.000000|	
34.238788|	23.853440|	0.000000|	5.483323|	0.000000|	16.819191|	7.116089|	0.000000|	1.698535|	0.000000|	
34.493949|	24.106886|	0.000000|	5.475325|	0.000000|	16.813484|	7.110186|	0.000000|	1.700329|	0.000000|	
34.513784|	24.130777|	0.000000|	5.501528|	0.000000|	16.814353|	7.111766|	0.000000|	1.707502|	0.000000|	
34.228591|	23.837315|	0.000000|	5.475243|	0.000000|	16.835381|	7.134222|	0.000000|	1.682190|	0.000000|	
33.919724|	23.629769|	0.000000|	5.206212|	0.000000|	16.744072|	7.088617|	0.000000|	1.672023|	0.000000|	
34.254913|	23.861227|	0.000000|	5.475491|	0.000000|	16.800023|	7.097814|	0.000000|	1.698590|	0.000000|	
34.242348|	23.852003|	0.000000|	5.533416|	0.000000|	16.809187|	7.105232|	0.000000|	1.715666|	0.000000|	
34.263204|	23.878108|	0.000000|	5.475954|	0.000000|	16.811776|	7.113068|	0.000000|	1.699299|	0.000000|	
34.216627|	23.824703|	0.000000|	5.476015|	0.000000|	16.807904|	7.106229|	0.000000|	1.672380|	0.000000|	
34.494723|	24.091558|	0.000000|	5.534936|	0.000000|	16.812087|	7.106833|	0.000000|	1.726870|	0.000000|	
34.252462|	23.850812|	0.000000|	5.449908|	0.000000|	16.803660|	7.105308|	0.000000|	1.698175|	0.000000|	
34.238209|	23.846774|	0.000000|	5.476015|	0.000000|	16.811293|	7.104213|	0.000000|	1.681711|	0.000000|	
34.283171|	23.885049|	0.000000|	5.499115|	0.000000|	16.825551|	7.121307|	0.000000|	1.680953|	0.000000|	
34.082345|	23.741885|	0.000000|	5.500347|	0.000000|	16.804449|	7.102834|	0.000000|	1.664297|	0.000000|	
34.061676|	23.716223|	0.000000|	5.197537|	0.000000|	16.813523|	7.114607|	0.000000|	1.698768|	0.000000|	
34.235136|	23.843171|	0.000000|	5.390609|	0.000000|	16.806224|	7.106137|	0.000000|	1.716057|	0.000000|	
34.273190|	23.882201|	0.000000|	5.475562|	0.000000|	16.747833|	7.091586|	0.000000|	1.699827|	0.000000|	
34.639519|	24.249554|	0.000000|	5.453509|	0.000000|	16.814395|	7.114315|	0.000000|	1.698025|	0.000000|	
34.243375|	23.850260|	0.000000|	5.469568|	0.000000|	16.810624|	7.150876|	0.000000|	1.673164|	0.000000|	
34.280118|	23.877791|	0.000000|	5.419841|	0.000000|	16.838306|	7.100231|	0.000000|	1.707029|	0.000000|	
34.248394|	23.846562|	0.000000|	5.445129|	0.000000|	16.815363|	7.119565|	0.000000|	1.690419|	0.000000|	
34.225960|	23.823222|	0.000000|	5.472789|	0.000000|	16.819787|	7.122394|	0.000000|	1.682184|	0.000000|	
