Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.803803|	22.756218|	0.000000|	4.194494|	0.000000|	16.899693|	7.224704|	0.000000|	1.699501|	0.000000|	
31.785374|	21.749214|	0.000000|	4.081168|	0.000000|	16.869515|	7.195675|	0.000000|	1.707355|	0.000000|	
31.332423|	21.294735|	0.000000|	4.144796|	0.000000|	16.837733|	7.164229|	0.000000|	1.727998|	0.000000|	
30.174044|	20.145483|	0.000000|	4.183415|	0.000000|	16.823914|	7.145680|	0.000000|	1.682894|	0.000000|	
32.250496|	22.255538|	0.000000|	4.092495|	0.000000|	16.832879|	7.154691|	0.000000|	1.699379|	0.000000|	
32.771888|	22.721523|	0.000000|	4.175407|	0.000000|	16.752108|	7.144437|	0.000000|	1.656764|	0.000000|	
32.793155|	22.743916|	0.000000|	4.124159|	0.000000|	16.829108|	7.109459|	0.000000|	1.699233|	0.000000|	
32.804998|	22.753949|	0.000000|	4.150518|	0.000000|	16.831647|	7.144816|	0.000000|	1.681428|	0.000000|	
32.812242|	22.760278|	0.000000|	4.157246|	0.000000|	16.823534|	7.138555|	0.000000|	1.689982|	0.000000|	
28.372431|	19.063920|	0.000000|	3.199713|	0.000000|	15.540170|	6.487953|	0.000000|	1.553155|	0.000000|	
24.704964|	16.001137|	0.000000|	1.655049|	0.000000|	14.750440|	6.154764|	0.000000|	1.327699|	0.000000|	
3.184016|	0.962131|	0.000000|	0.671209|	0.000000|	3.044871|	0.854120|	0.000000|	0.589683|	0.000000|	
2.844053|	0.763742|	0.000000|	0.544530|	0.000000|	2.788944|	0.734893|	0.000000|	0.553590|	0.000000|	
2.621097|	0.694625|	0.000000|	0.536757|	0.000000|	2.581001|	0.673478|	0.000000|	0.551063|	0.000000|	
3.171586|	0.869572|	0.000000|	0.567059|	0.000000|	3.117108|	0.840201|	0.000000|	0.584252|	0.000000|	
2.759305|	0.714288|	0.000000|	0.525900|	0.000000|	2.741733|	0.717405|	0.000000|	0.550095|	0.000000|	
2.839896|	0.772083|	0.000000|	0.539849|	0.000000|	2.785122|	0.740057|	0.000000|	0.565942|	0.000000|	
14.647624|	6.895421|	0.000000|	1.455363|	0.000000|	13.020355|	5.351177|	0.000000|	1.248452|	0.000000|	
2.751890|	0.708151|	0.000000|	0.571438|	0.000000|	2.724810|	0.702446|	0.000000|	0.562842|	0.000000|	
3.142338|	0.848148|	0.000000|	0.574232|	0.000000|	3.155274|	0.826082|	0.000000|	0.586863|	0.000000|	
