Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

40.050692|	29.672181|	0.000000|	5.196110|	0.000000|	16.760722|	7.140497|	0.000000|	1.710615|	0.000000|	
40.363863|	29.965840|	0.000000|	5.326403|	0.000000|	16.815886|	7.077291|	0.000000|	1.718772|	0.000000|	
40.789856|	30.405952|	0.000000|	5.265127|	0.000000|	16.815039|	7.146610|	0.000000|	1.699818|	0.000000|	
40.136539|	29.743222|	0.000000|	5.208535|	0.000000|	16.812262|	7.073685|	0.000000|	1.673665|	0.000000|	
39.962380|	29.586991|	0.000000|	5.205008|	0.000000|	16.808357|	7.103647|	0.000000|	1.699690|	0.000000|	
39.852831|	29.487379|	0.000000|	5.053204|	0.000000|	16.806393|	7.097683|	0.000000|	1.656827|	0.000000|	
40.162100|	29.759886|	0.000000|	5.298407|	0.000000|	16.818546|	7.112621|	0.000000|	1.691302|	0.000000|	
40.146573|	29.740019|	0.000000|	5.361275|	0.000000|	16.802260|	7.094734|	0.000000|	1.699362|	0.000000|	
40.197344|	29.793730|	0.000000|	5.337856|	0.000000|	16.826190|	7.118914|	0.000000|	1.691175|	0.000000|	
40.645307|	30.247720|	0.000000|	5.328710|	0.000000|	16.818543|	7.105785|	0.000000|	1.690919|	0.000000|	
40.513387|	30.118102|	0.000000|	5.291177|	0.000000|	16.812046|	7.098740|	0.000000|	1.673998|	0.000000|	
40.005066|	29.657055|	0.000000|	5.210610|	0.000000|	16.812721|	7.104161|	0.000000|	1.699476|	0.000000|	
40.187600|	29.781912|	0.000000|	5.250682|	0.000000|	16.808847|	7.094020|	0.000000|	1.691346|	0.000000|	
40.210238|	29.810222|	0.000000|	5.281971|	0.000000|	16.810011|	7.101940|	0.000000|	1.709309|	0.000000|	
40.054583|	29.663317|	0.000000|	5.164010|	0.000000|	16.803793|	7.093176|	0.000000|	1.700611|	0.000000|	
39.898896|	29.527114|	0.000000|	4.958288|	0.000000|	16.817829|	7.103320|	0.000000|	1.699343|	0.000000|	
40.275902|	29.865109|	0.000000|	5.291483|	0.000000|	16.828890|	7.115665|	0.000000|	1.683909|	0.000000|	
41.071840|	30.671565|	0.000000|	5.308261|	0.000000|	16.832496|	7.114472|	0.000000|	1.716618|	0.000000|	
40.295929|	29.890337|	0.000000|	5.180273|	0.000000|	16.810401|	7.098736|	0.000000|	1.681473|	0.000000|	
40.279465|	29.867561|	0.000000|	5.314331|	0.000000|	16.817740|	7.099355|	0.000000|	1.725424|	0.000000|	
40.295138|	29.886045|	0.000000|	5.291155|	0.000000|	16.805233|	7.092822|	0.000000|	1.701209|	0.000000|	
40.288491|	29.884385|	0.000000|	5.266022|	0.000000|	16.728244|	7.073265|	0.000000|	1.692703|	0.000000|	
40.070899|	29.716162|	0.000000|	5.208989|	0.000000|	16.793302|	7.088732|	0.000000|	1.700891|	0.000000|	
40.310765|	29.904851|	0.000000|	5.294791|	0.000000|	16.821905|	7.112091|	0.000000|	1.684781|	0.000000|	
40.521862|	30.115651|	0.000000|	5.264602|	0.000000|	16.809495|	7.099382|	0.000000|	1.699914|	0.000000|	
40.284665|	29.882520|	0.000000|	5.291419|	0.000000|	16.849381|	7.136713|	0.000000|	1.673594|	0.000000|	
39.934010|	29.575495|	0.000000|	4.905594|	0.000000|	16.830038|	7.123506|	0.000000|	1.699817|	0.000000|	
40.380371|	29.973347|	0.000000|	5.235706|	0.000000|	16.864893|	7.158001|	0.000000|	1.684145|	0.000000|	
40.324696|	29.919143|	0.000000|	5.293653|	0.000000|	16.810712|	7.106961|	0.000000|	1.699602|	0.000000|	
40.259290|	29.852047|	0.000000|	5.262105|	0.000000|	16.799218|	7.096410|	0.000000|	1.710251|	0.000000|	
40.244235|	29.835460|	0.000000|	5.263029|	0.000000|	16.810127|	7.104815|	0.000000|	1.674733|	0.000000|	
40.311148|	29.903924|	0.000000|	5.207039|	0.000000|	16.805843|	7.101563|	0.000000|	1.710261|	0.000000|	
40.912711|	30.565251|	0.000000|	5.231801|	0.000000|	16.809525|	7.103069|	0.000000|	1.691266|	0.000000|	
40.683318|	30.279752|	0.000000|	5.317386|	0.000000|	16.808964|	7.101317|	0.000000|	1.676236|	0.000000|	
40.293392|	29.884456|	0.000000|	5.319589|	0.000000|	16.808757|	7.100417|	0.000000|	1.718191|	0.000000|	
40.275498|	29.866291|	0.000000|	5.313288|	0.000000|	16.801439|	7.093290|	0.000000|	1.699935|	0.000000|	
39.910626|	29.552335|	0.000000|	4.845067|	0.000000|	16.809938|	7.108685|	0.000000|	1.700795|	0.000000|	
40.321965|	29.915108|	0.000000|	5.207082|	0.000000|	16.802500|	7.098796|	0.000000|	1.701447|	0.000000|	
40.328839|	29.918566|	0.000000|	5.341903|	0.000000|	16.731086|	7.072312|	0.000000|	1.665254|	0.000000|	
40.770309|	30.368780|	0.000000|	5.303785|	0.000000|	16.880304|	7.127250|	0.000000|	1.706603|	0.000000|	
40.893061|	30.498483|	0.000000|	5.321875|	0.000000|	16.719231|	7.062501|	0.000000|	1.708129|	0.000000|	
40.878664|	30.480389|	0.000000|	5.297426|	0.000000|	16.802675|	7.102610|	0.000000|	1.690714|	0.000000|	
40.833285|	30.437361|	0.000000|	5.320764|	0.000000|	16.799447|	7.098458|	0.000000|	1.717420|	0.000000|	
40.428771|	30.078091|	0.000000|	5.290530|	0.000000|	16.803698|	7.100769|	0.000000|	1.726753|	0.000000|	
40.273481|	29.863639|	0.000000|	5.235781|	0.000000|	16.801968|	7.096832|	0.000000|	1.691627|	0.000000|	
40.271339|	29.857844|	0.000000|	5.286245|	0.000000|	16.794180|	7.092749|	0.000000|	1.716773|	0.000000|	
40.300760|	29.888558|	0.000000|	5.287842|	0.000000|	16.805758|	7.104572|	0.000000|	1.717556|	0.000000|	
