Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

32.234102|	22.231179|	0.000000|	3.701730|	0.000000|	16.743163|	7.048228|	0.000000|	1.625283|	0.000000|	
29.829531|	19.888993|	0.000000|	3.585797|	0.000000|	16.742621|	7.054015|	0.000000|	1.632665|	0.000000|	
27.823925|	17.847173|	0.000000|	3.623850|	0.000000|	16.635235|	6.999077|	0.000000|	1.606749|	0.000000|	
28.000347|	18.018120|	0.000000|	3.615928|	0.000000|	16.743873|	7.049109|	0.000000|	1.619809|	0.000000|	
32.291176|	22.283097|	0.000000|	3.653786|	0.000000|	16.734335|	7.040484|	0.000000|	1.615169|	0.000000|	
32.261393|	22.252480|	0.000000|	3.663764|	0.000000|	16.744612|	7.049314|	0.000000|	1.613576|	0.000000|	
32.116773|	22.155670|	0.000000|	3.651523|	0.000000|	16.752294|	7.054319|	0.000000|	1.627714|	0.000000|	
33.056743|	23.044551|	0.000000|	3.751744|	0.000000|	16.746639|	7.045785|	0.000000|	1.656576|	0.000000|	
32.318388|	22.301793|	0.000000|	3.754849|	0.000000|	16.663457|	7.012866|	0.000000|	1.627139|	0.000000|	
32.285494|	22.270630|	0.000000|	3.709655|	0.000000|	16.781663|	7.082311|	0.000000|	1.631651|	0.000000|	
32.127551|	22.155278|	0.000000|	3.694716|	0.000000|	16.771007|	7.068262|	0.000000|	1.655204|	0.000000|	
32.287183|	22.272347|	0.000000|	3.705418|	0.000000|	16.760180|	7.056694|	0.000000|	1.662730|	0.000000|	
32.315816|	22.293923|	0.000000|	3.784212|	0.000000|	16.735577|	7.035228|	0.000000|	1.648015|	0.000000|	
32.336188|	22.310162|	0.000000|	3.662179|	0.000000|	16.755508|	7.059709|	0.000000|	1.669328|	0.000000|	
32.361699|	22.379697|	0.000000|	3.703533|	0.000000|	16.666631|	7.012261|	0.000000|	1.678238|	0.000000|	
32.316881|	22.292258|	0.000000|	3.719138|	0.000000|	16.752094|	7.053669|	0.000000|	1.660258|	0.000000|	
32.325252|	22.304001|	0.000000|	3.631868|	0.000000|	16.749764|	7.049893|	0.000000|	1.606389|	0.000000|	
32.300722|	22.273141|	0.000000|	3.706380|	0.000000|	16.730179|	7.029763|	0.000000|	1.596313|	0.000000|	
32.331007|	22.310696|	0.000000|	3.658216|	0.000000|	16.750402|	7.046836|	0.000000|	1.597057|	0.000000|	
32.148567|	22.177013|	0.000000|	3.651315|	0.000000|	16.642891|	6.995776|	0.000000|	1.598584|	0.000000|	
32.288235|	22.265727|	0.000000|	3.668509|	0.000000|	16.731471|	7.030568|	0.000000|	1.642150|	0.000000|	
32.368538|	22.345635|	0.000000|	3.765064|	0.000000|	16.740583|	7.041565|	0.000000|	1.605534|	0.000000|	
32.537740|	22.502872|	0.000000|	3.698661|	0.000000|	16.743798|	7.035954|	0.000000|	1.658668|	0.000000|	
32.159422|	22.184878|	0.000000|	3.580006|	0.000000|	16.745456|	7.044326|	0.000000|	1.624700|	0.000000|	
32.337429|	22.310049|	0.000000|	3.676201|	0.000000|	16.750887|	7.047019|	0.000000|	1.630121|	0.000000|	
32.335424|	22.303843|	0.000000|	3.664620|	0.000000|	16.662823|	7.009595|	0.000000|	1.621196|	0.000000|	
32.449579|	22.417729|	0.000000|	3.690745|	0.000000|	16.751306|	7.047082|	0.000000|	1.633504|	0.000000|	
32.424484|	22.395734|	0.000000|	3.757896|	0.000000|	16.741838|	7.036229|	0.000000|	1.615216|	0.000000|	
32.227656|	22.247944|	0.000000|	3.691945|	0.000000|	16.756098|	7.054056|	0.000000|	1.651694|	0.000000|	
