Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
31.902936|	22.055649|	0.000000|	1.983325|	0.000000|	16.846877|	7.160250|	0.000000|	1.693548|	0.000000|	
31.741820|	21.942657|	0.000000|	1.975795|	0.000000|	16.763856|	7.122080|	0.000000|	1.690059|	0.000000|	
31.938700|	22.085577|	0.000000|	1.984428|	0.000000|	16.860778|	7.161767|	0.000000|	1.678879|	0.000000|	
31.934127|	22.077654|	0.000000|	1.990369|	0.000000|	16.830537|	7.134568|	0.000000|	1.665703|	0.000000|	
31.741125|	21.923990|	0.000000|	1.952550|	0.000000|	16.873007|	7.173336|	0.000000|	1.670151|	0.000000|	
15.766864|	9.861344|	0.000000|	1.338716|	0.000000|	9.390026|	3.710078|	0.000000|	1.090983|	0.000000|	
3.444520|	0.922259|	0.000000|	0.688701|	0.000000|	3.246963|	0.855590|	0.000000|	0.576611|	0.000000|	
3.861654|	1.096893|	0.000000|	0.756324|	0.000000|	3.611097|	0.979494|	0.000000|	0.599045|	0.000000|	
3.003557|	0.766948|	0.000000|	0.627388|	0.000000|	2.738442|	0.709950|	0.000000|	0.563927|	0.000000|	
2.863816|	0.784855|	0.000000|	0.722252|	0.000000|	2.704672|	0.745073|	0.000000|	0.570712|	0.000000|	
