Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
44.012260|	34.166083|	0.000000|	1.989820|	0.000000|	16.885809|	7.183005|	0.000000|	1.689214|	0.000000|	
19.772677|	14.293118|	0.000000|	1.270131|	0.000000|	8.840664|	3.446300|	0.000000|	1.012705|	0.000000|	
3.113008|	0.865344|	0.000000|	0.739664|	0.000000|	3.110500|	0.835601|	0.000000|	0.568250|	0.000000|	
3.743094|	1.072389|	0.000000|	0.681978|	0.000000|	3.557740|	0.983365|	0.000000|	0.602928|	0.000000|	
3.159867|	0.865084|	0.000000|	0.775760|	0.000000|	3.091088|	0.826658|	0.000000|	0.559753|	0.000000|	
17.663660|	7.927924|	0.000000|	1.840448|	0.000000|	16.710369|	7.042666|	0.000000|	1.480148|	0.000000|	
5.238016|	2.102358|	0.000000|	0.861654|	0.000000|	4.637640|	1.543674|	0.000000|	0.675478|	0.000000|	
3.173800|	0.857645|	0.000000|	0.764672|	0.000000|	3.052830|	0.807808|	0.000000|	0.566332|	0.000000|	
3.252462|	0.867133|	0.000000|	0.793487|	0.000000|	3.206357|	0.850852|	0.000000|	0.563030|	0.000000|	
3.129953|	0.846665|	0.000000|	0.786099|	0.000000|	3.074942|	0.823537|	0.000000|	0.552067|	0.000000|	
