Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

37.595148|	27.483966|	0.000000|	4.568997|	0.000000|	16.881011|	7.194271|	0.000000|	1.697193|	0.000000|	
37.933470|	27.816466|	0.000000|	4.593911|	0.000000|	16.877372|	7.182114|	0.000000|	1.681550|	0.000000|	
38.011801|	27.889251|	0.000000|	4.574113|	0.000000|	16.884622|	7.189290|	0.000000|	1.697861|	0.000000|	
38.139498|	28.014871|	0.000000|	4.533051|	0.000000|	16.945138|	7.243933|	0.000000|	1.711426|	0.000000|	
38.527953|	28.412979|	0.000000|	4.551803|	0.000000|	16.893354|	7.193952|	0.000000|	1.698138|	0.000000|	
11.402927|	6.760197|	0.000000|	1.212892|	0.000000|	7.311156|	2.742940|	0.000000|	0.906929|	0.000000|	
22.503777|	12.688852|	0.000000|	1.847017|	0.000000|	16.810915|	7.103777|	0.000000|	1.441230|	0.000000|	
6.692501|	3.123950|	0.000000|	0.821288|	0.000000|	5.550270|	2.025270|	0.000000|	0.749790|	0.000000|	
2.723028|	0.727571|	0.000000|	0.600650|	0.000000|	2.684525|	0.715249|	0.000000|	0.561922|	0.000000|	
3.028352|	0.823895|	0.000000|	0.554920|	0.000000|	2.980189|	0.806013|	0.000000|	0.579037|	0.000000|	
