Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

18.856105|	8.885852|	0.000000|	3.752250|	0.000000|	16.735661|	7.026440|	0.000000|	1.519062|	0.000000|	
26.085466|	15.972363|	0.000000|	4.380867|	0.000000|	16.750766|	7.047706|	0.000000|	1.644053|	0.000000|	
32.691585|	22.454654|	0.000000|	4.866239|	0.000000|	16.662824|	6.993783|	0.000000|	1.694375|	0.000000|	
32.739775|	22.501143|	0.000000|	4.840862|	0.000000|	16.752066|	7.037900|	0.000000|	1.704320|	0.000000|	
32.705140|	22.466885|	0.000000|	4.886625|	0.000000|	16.739134|	7.028098|	0.000000|	1.693074|	0.000000|	
32.541469|	22.358060|	0.000000|	4.968756|	0.000000|	16.737208|	7.026334|	0.000000|	1.682678|	0.000000|	
32.749097|	22.515141|	0.000000|	4.841649|	0.000000|	16.755315|	7.040106|	0.000000|	1.694170|	0.000000|	
32.745654|	22.509945|	0.000000|	5.033790|	0.000000|	16.747202|	7.030136|	0.000000|	1.679121|	0.000000|	
32.770446|	22.534376|	0.000000|	5.035936|	0.000000|	16.678057|	7.003656|	0.000000|	1.693017|	0.000000|	
33.236211|	23.060876|	0.000000|	4.899058|	0.000000|	16.754351|	7.036575|	0.000000|	1.694807|	0.000000|	
32.753730|	22.521141|	0.000000|	4.848800|	0.000000|	16.750174|	7.036128|	0.000000|	1.675494|	0.000000|	
32.780043|	22.547165|	0.000000|	4.975855|	0.000000|	16.762158|	7.049955|	0.000000|	1.662322|	0.000000|	
32.761989|	22.530457|	0.000000|	4.940114|	0.000000|	16.743191|	7.030880|	0.000000|	1.695979|	0.000000|	
32.796292|	22.560147|	0.000000|	4.936029|	0.000000|	16.751617|	7.039719|	0.000000|	1.686593|	0.000000|	
32.755095|	22.522369|	0.000000|	4.814790|	0.000000|	16.660534|	7.030426|	0.000000|	1.662451|	0.000000|	
32.607514|	22.423386|	0.000000|	4.807776|	0.000000|	16.750029|	6.994125|	0.000000|	1.696669|	0.000000|	
33.009909|	22.776076|	0.000000|	4.845273|	0.000000|	16.760456|	7.042568|	0.000000|	1.706855|	0.000000|	
32.750109|	22.515196|	0.000000|	5.058965|	0.000000|	16.747678|	7.030467|	0.000000|	1.683024|	0.000000|	
32.815565|	22.579852|	0.000000|	4.899520|	0.000000|	16.756877|	7.040999|	0.000000|	1.705346|	0.000000|	
32.612392|	22.428913|	0.000000|	5.010700|	0.000000|	16.751613|	7.031906|	0.000000|	1.690567|	0.000000|	
32.771365|	22.532957|	0.000000|	4.969026|	0.000000|	16.663237|	7.027368|	0.000000|	1.663553|	0.000000|	
32.811228|	22.571707|	0.000000|	5.073153|	0.000000|	16.762742|	7.005058|	0.000000|	1.706788|	0.000000|	
32.760583|	22.517253|	0.000000|	5.073003|	0.000000|	16.749415|	7.028895|	0.000000|	1.688970|	0.000000|	
32.608231|	22.534233|	0.000000|	5.011599|	0.000000|	16.758339|	7.037550|	0.000000|	1.698636|	0.000000|	
32.982930|	22.623616|	0.000000|	5.073915|	0.000000|	16.770543|	7.046823|	0.000000|	1.719762|	0.000000|	
32.769267|	22.521670|	0.000000|	5.048936|	0.000000|	16.758324|	7.035139|	0.000000|	1.688361|	0.000000|	
32.822116|	22.576118|	0.000000|	4.997157|	0.000000|	16.770304|	7.046324|	0.000000|	1.694605|	0.000000|	
32.766542|	22.522635|	0.000000|	5.101206|	0.000000|	16.671171|	6.994222|	0.000000|	1.695476|	0.000000|	
32.629376|	22.442471|	0.000000|	4.991368|	0.000000|	16.766266|	7.041532|	0.000000|	1.686001|	0.000000|	
32.808425|	22.567382|	0.000000|	4.986343|	0.000000|	16.759273|	7.030508|	0.000000|	1.700189|	0.000000|	
32.816117|	22.574734|	0.000000|	4.958046|	0.000000|	16.766814|	7.037919|	0.000000|	1.680713|	0.000000|	
33.069832|	22.827113|	0.000000|	4.967838|	0.000000|	16.773243|	7.055981|	0.000000|	1.698084|	0.000000|	
32.632081|	22.440761|	0.000000|	5.048325|	0.000000|	16.753253|	7.029229|	0.000000|	1.700111|	0.000000|	
32.813186|	22.572955|	0.000000|	5.088893|	0.000000|	16.682132|	7.005158|	0.000000|	1.685129|	0.000000|	
32.830663|	22.592525|	0.000000|	5.039905|	0.000000|	16.753123|	7.029345|	0.000000|	1.697915|	0.000000|	
32.789141|	22.548675|	0.000000|	4.880990|	0.000000|	16.750858|	7.028787|	0.000000|	1.654618|	0.000000|	
32.831780|	22.593835|	0.000000|	4.975118|	0.000000|	16.769210|	7.043022|	0.000000|	1.699243|	0.000000|	
32.622281|	22.433882|	0.000000|	4.897647|	0.000000|	16.753294|	7.029283|	0.000000|	1.665041|	0.000000|	
32.797887|	22.565899|	0.000000|	4.908280|	0.000000|	16.769814|	7.045321|	0.000000|	1.697775|	0.000000|	
33.332152|	23.105744|	0.000000|	4.928949|	0.000000|	16.668396|	6.998795|	0.000000|	1.704684|	0.000000|	
33.173783|	22.942483|	0.000000|	4.835945|	0.000000|	16.753704|	7.027134|	0.000000|	1.656150|	0.000000|	
32.845606|	22.608088|	0.000000|	4.950728|	0.000000|	16.777286|	7.050520|	0.000000|	1.682329|	0.000000|	
32.600495|	22.413473|	0.000000|	4.921864|	0.000000|	16.753673|	7.028519|	0.000000|	1.673037|	0.000000|	
32.819335|	22.577679|	0.000000|	5.047637|	0.000000|	16.773782|	7.044672|	0.000000|	1.679902|	0.000000|	
32.789832|	22.550695|	0.000000|	5.106621|	0.000000|	16.756976|	7.030473|	0.000000|	1.688372|	0.000000|	
32.761618|	22.525143|	0.000000|	4.982301|	0.000000|	16.672754|	6.995568|	0.000000|	1.688616|	0.000000|	
32.675657|	22.487798|	0.000000|	5.067388|	0.000000|	16.771316|	7.047112|	0.000000|	1.717359|	0.000000|	
32.965925|	22.725166|	0.000000|	5.101720|	0.000000|	16.765964|	7.039018|	0.000000|	1.674139|	0.000000|	
32.806608|	22.570524|	0.000000|	5.095994|	0.000000|	16.768422|	7.042188|	0.000000|	1.694124|	0.000000|	
32.773116|	22.538480|	0.000000|	5.025662|	0.000000|	16.752944|	7.030080|	0.000000|	1.708171|	0.000000|	
32.801088|	22.567988|	0.000000|	5.102348|	0.000000|	16.768367|	7.041391|	0.000000|	1.697633|	0.000000|	
32.656194|	22.468535|	0.000000|	4.998297|	0.000000|	16.689978|	7.012690|	0.000000|	1.696990|	0.000000|	
32.762110|	22.524642|	0.000000|	4.980328|	0.000000|	16.756139|	7.028281|	0.000000|	1.673818|	0.000000|	
32.807300|	22.571447|	0.000000|	4.788855|	0.000000|	16.776752|	7.046331|	0.000000|	1.691338|	0.000000|	
