Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

43.989355|	34.145465|	0.000000|	1.987386|	0.000000|	16.887968|	7.187318|	0.000000|	1.708521|	0.000000|	
19.407570|	14.174388|	0.000000|	1.243576|	0.000000|	8.476768|	3.318587|	0.000000|	0.989960|	0.000000|	
3.497954|	0.983316|	0.000000|	0.761020|	0.000000|	3.417593|	0.940771|	0.000000|	0.590018|	0.000000|	
3.223055|	0.987869|	0.000000|	0.651094|	0.000000|	3.181953|	0.896998|	0.000000|	0.593483|	0.000000|	
4.123986|	1.226095|	0.000000|	0.742873|	0.000000|	4.055045|	1.197711|	0.000000|	0.653303|	0.000000|	
3.070354|	0.829745|	0.000000|	0.591697|	0.000000|	3.027584|	0.820309|	0.000000|	0.570080|	0.000000|	
2.692861|	0.708103|	0.000000|	0.598455|	0.000000|	2.657708|	0.699730|	0.000000|	0.560110|	0.000000|	
15.593678|	6.971613|	0.000000|	1.616664|	0.000000|	15.037668|	6.524252|	0.000000|	1.325041|	0.000000|	
16.710702|	6.910256|	0.000000|	1.762080|	0.000000|	17.417347|	7.722839|	0.000000|	1.433835|	0.000000|	
16.702905|	6.904152|	0.000000|	1.825127|	0.000000|	17.427599|	7.738879|	0.000000|	1.458898|	0.000000|	
