Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

41.590653|	31.692021|	0.000000|	2.995566|	0.000000|	16.882988|	7.200294|	0.000000|	1.659878|	0.000000|	
24.215030|	14.382321|	0.000000|	2.612616|	0.000000|	16.831968|	7.168400|	0.000000|	1.612571|	0.000000|	
24.223009|	14.392538|	0.000000|	2.661536|	0.000000|	16.830351|	7.162627|	0.000000|	1.639476|	0.000000|	
37.335338|	27.463860|	0.000000|	2.916128|	0.000000|	16.843703|	7.182280|	0.000000|	1.651923|	0.000000|	
44.490921|	34.580222|	0.000000|	3.112073|	0.000000|	16.848715|	7.170973|	0.000000|	1.656951|	0.000000|	
45.576424|	35.656209|	0.000000|	3.198511|	0.000000|	16.877612|	7.194612|	0.000000|	1.695518|	0.000000|	
47.811255|	37.941659|	0.000000|	3.143721|	0.000000|	16.850470|	7.169634|	0.000000|	1.673322|	0.000000|	
44.697067|	34.771008|	0.000000|	3.061510|	0.000000|	16.848543|	7.171284|	0.000000|	1.654204|	0.000000|	
44.625563|	34.694529|	0.000000|	3.039638|	0.000000|	16.865378|	7.180461|	0.000000|	1.668492|	0.000000|	
44.608744|	34.677166|	0.000000|	3.003817|	0.000000|	16.846546|	7.165514|	0.000000|	1.655241|	0.000000|	
44.594779|	34.661820|	0.000000|	3.030227|	0.000000|	16.779127|	7.147259|	0.000000|	1.641256|	0.000000|	
44.629242|	34.687713|	0.000000|	3.038871|	0.000000|	16.848764|	7.167435|	0.000000|	1.666210|	0.000000|	
44.606367|	34.663022|	0.000000|	3.079996|	0.000000|	16.845586|	7.162907|	0.000000|	1.642316|	0.000000|	
32.047637|	22.464020|	0.000000|	2.127890|	0.000000|	16.873458|	7.362698|	0.000000|	1.471959|	0.000000|	
28.518933|	18.674902|	0.000000|	1.845538|	0.000000|	17.428728|	7.737890|	0.000000|	1.475623|	0.000000|	
26.506195|	16.664074|	0.000000|	1.865505|	0.000000|	17.441190|	7.741300|	0.000000|	1.461746|	0.000000|	
17.405389|	7.584183|	0.000000|	1.834018|	0.000000|	17.406222|	7.724324|	0.000000|	1.453995|	0.000000|	
17.395767|	7.572732|	0.000000|	1.840468|	0.000000|	17.410988|	7.724155|	0.000000|	1.457568|	0.000000|	
17.333823|	7.553413|	0.000000|	1.829824|	0.000000|	16.990059|	7.300423|	0.000000|	1.423592|	0.000000|	
18.926234|	9.095325|	0.000000|	1.845914|	0.000000|	16.773684|	7.084177|	0.000000|	1.438510|	0.000000|	
18.144907|	9.056813|	0.000000|	1.729605|	0.000000|	15.300773|	6.375587|	0.000000|	1.360866|	0.000000|	
2.846023|	0.765456|	0.000000|	0.553834|	0.000000|	2.676324|	0.715992|	0.000000|	0.566846|	0.000000|	
2.650344|	0.688380|	0.000000|	0.542744|	0.000000|	2.498704|	0.654295|	0.000000|	0.540994|	0.000000|	
2.821186|	0.749976|	0.000000|	0.545535|	0.000000|	2.558077|	0.691618|	0.000000|	0.557558|	0.000000|	
3.118944|	0.845512|	0.000000|	0.566362|	0.000000|	3.075818|	0.839196|	0.000000|	0.582563|	0.000000|	
