Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

46.065598|	36.005763|	0.000000|	3.435007|	0.000000|	16.823138|	7.112994|	0.000000|	1.646476|	0.000000|	
46.140033|	36.076097|	0.000000|	3.486963|	0.000000|	16.809578|	7.107743|	0.000000|	1.640876|	0.000000|	
46.135583|	36.071025|	0.000000|	3.435089|	0.000000|	16.805096|	7.099238|	0.000000|	1.621018|	0.000000|	
46.173611|	36.095902|	0.000000|	3.461602|	0.000000|	16.808848|	7.100957|	0.000000|	1.640441|	0.000000|	
46.074871|	36.046370|	0.000000|	3.408126|	0.000000|	16.813389|	7.101506|	0.000000|	1.633946|	0.000000|	
48.167467|	38.090855|	0.000000|	3.359275|	0.000000|	16.800645|	7.093008|	0.000000|	1.686298|	0.000000|	
46.195384|	36.112272|	0.000000|	3.459702|	0.000000|	16.819350|	7.111005|	0.000000|	1.623462|	0.000000|	
46.118874|	36.038439|	0.000000|	3.404374|	0.000000|	16.800196|	7.089952|	0.000000|	1.599383|	0.000000|	
46.216211|	36.132636|	0.000000|	3.422851|	0.000000|	16.741026|	7.110150|	0.000000|	1.611056|	0.000000|	
46.214846|	36.131425|	0.000000|	3.408105|	0.000000|	16.800900|	7.056010|	0.000000|	1.640949|	0.000000|	
46.134091|	36.050573|	0.000000|	3.421976|	0.000000|	16.806952|	7.099273|	0.000000|	1.649053|	0.000000|	
46.059770|	35.975013|	0.000000|	3.456639|	0.000000|	16.832997|	7.119513|	0.000000|	1.634689|	0.000000|	
47.088345|	37.049837|	0.000000|	3.446989|	0.000000|	17.101936|	7.382396|	0.000000|	1.655588|	0.000000|	
48.206627|	38.118501|	0.000000|	3.370168|	0.000000|	17.483027|	7.766491|	0.000000|	1.639366|	0.000000|	
46.103446|	36.014717|	0.000000|	3.425768|	0.000000|	17.471111|	7.753802|	0.000000|	1.661269|	0.000000|	
46.220454|	36.140240|	0.000000|	3.290499|	0.000000|	17.487224|	7.765751|	0.000000|	1.653398|	0.000000|	
46.258615|	36.169598|	0.000000|	3.457787|	0.000000|	17.457623|	7.737289|	0.000000|	1.635139|	0.000000|	
46.255338|	36.164336|	0.000000|	3.422163|	0.000000|	17.387179|	7.711952|	0.000000|	1.633385|	0.000000|	
46.310301|	36.220940|	0.000000|	3.456534|	0.000000|	17.148681|	7.429912|	0.000000|	1.627965|	0.000000|	
45.984977|	35.944488|	0.000000|	3.440134|	0.000000|	16.814481|	7.102404|	0.000000|	1.648055|	0.000000|	
48.289704|	38.199268|	0.000000|	3.438816|	0.000000|	16.821690|	7.110813|	0.000000|	1.617665|	0.000000|	
48.175639|	38.087245|	0.000000|	3.455602|	0.000000|	16.820763|	7.105246|	0.000000|	1.590543|	0.000000|	
48.187320|	38.098091|	0.000000|	3.456857|	0.000000|	16.829608|	7.110354|	0.000000|	1.649791|	0.000000|	
48.230098|	38.139384|	0.000000|	3.387149|	0.000000|	16.863944|	7.148601|	0.000000|	1.646985|	0.000000|	
47.577785|	37.485945|	0.000000|	3.403022|	0.000000|	16.813158|	7.103545|	0.000000|	1.649708|	0.000000|	
45.842780|	35.804399|	0.000000|	3.293654|	0.000000|	16.819959|	7.109984|	0.000000|	1.658779|	0.000000|	
46.180370|	36.085953|	0.000000|	3.385640|	0.000000|	16.818276|	7.106065|	0.000000|	1.639150|	0.000000|	
46.558736|	36.466713|	0.000000|	3.457486|	0.000000|	16.726785|	7.068756|	0.000000|	1.646228|	0.000000|	
46.180611|	36.089677|	0.000000|	3.455532|	0.000000|	16.821715|	7.114617|	0.000000|	1.607634|	0.000000|	
46.153160|	36.059397|	0.000000|	3.455352|	0.000000|	16.797946|	7.095241|	0.000000|	1.672181|	0.000000|	
46.325081|	36.239887|	0.000000|	3.457496|	0.000000|	16.826549|	7.117637|	0.000000|	1.633328|	0.000000|	
46.183480|	36.095521|	0.000000|	3.387138|	0.000000|	16.808559|	7.101626|	0.000000|	1.656912|	0.000000|	
46.048587|	35.960451|	0.000000|	3.420673|	0.000000|	16.810414|	7.098408|	0.000000|	1.628007|	0.000000|	
45.914985|	35.878468|	0.000000|	3.439345|	0.000000|	16.809926|	7.102430|	0.000000|	1.625162|	0.000000|	
46.031980|	35.945186|	0.000000|	3.422809|	0.000000|	16.811601|	7.098419|	0.000000|	1.630255|	0.000000|	
48.185335|	38.100275|	0.000000|	3.326593|	0.000000|	16.815518|	7.106364|	0.000000|	1.690814|	0.000000|	
46.030928|	35.943088|	0.000000|	3.437998|	0.000000|	16.815701|	7.099948|	0.000000|	1.658257|	0.000000|	
46.053729|	35.959918|	0.000000|	3.421726|	0.000000|	16.721670|	7.096342|	0.000000|	1.615401|	0.000000|	
46.094725|	36.005601|	0.000000|	3.406989|	0.000000|	16.825074|	7.072355|	0.000000|	1.596309|	0.000000|	
