Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

33.441403|	23.178098|	0.000000|	4.955088|	0.000000|	16.838822|	7.130906|	0.000000|	1.709830|	0.000000|	
22.973287|	12.894134|	0.000000|	4.139370|	0.000000|	16.764004|	7.086740|	0.000000|	1.678125|	0.000000|	
22.242753|	12.163154|	0.000000|	4.198347|	0.000000|	16.862429|	7.135095|	0.000000|	1.664748|	0.000000|	
39.028752|	28.697317|	0.000000|	5.303069|	0.000000|	16.787328|	7.108313|	0.000000|	1.669792|	0.000000|	
39.933061|	29.567427|	0.000000|	5.314932|	0.000000|	16.728123|	7.113301|	0.000000|	1.700317|	0.000000|	
39.863033|	29.512348|	0.000000|	5.145354|	0.000000|	16.893888|	7.107502|	0.000000|	1.700433|	0.000000|	
40.140145|	29.750943|	0.000000|	5.381798|	0.000000|	16.740338|	7.087287|	0.000000|	1.708153|	0.000000|	
40.194802|	29.808924|	0.000000|	5.431349|	0.000000|	16.809085|	7.109319|	0.000000|	1.703085|	0.000000|	
42.376762|	31.994158|	0.000000|	5.329331|	0.000000|	17.334456|	7.627788|	0.000000|	1.725579|	0.000000|	
40.978135|	30.591966|	0.000000|	5.269189|	0.000000|	17.489229|	7.786885|	0.000000|	1.707763|	0.000000|	
40.996943|	30.610595|	0.000000|	5.214067|	0.000000|	17.483451|	7.779813|	0.000000|	1.718031|	0.000000|	
40.988675|	30.600481|	0.000000|	5.273399|	0.000000|	17.454615|	7.752066|	0.000000|	1.733649|	0.000000|	
40.788459|	30.455424|	0.000000|	5.219301|	0.000000|	17.463236|	7.757973|	0.000000|	1.691178|	0.000000|	
40.253740|	29.846526|	0.000000|	5.261111|	0.000000|	16.832994|	7.130387|	0.000000|	1.700071|	0.000000|	
40.009883|	29.622915|	0.000000|	5.200599|	0.000000|	16.798341|	7.095691|	0.000000|	1.709762|	0.000000|	
40.171521|	29.798298|	0.000000|	5.053128|	0.000000|	16.825721|	7.118473|	0.000000|	1.706365|	0.000000|	
40.164664|	29.758539|	0.000000|	5.262241|	0.000000|	16.805354|	7.101408|	0.000000|	1.701489|	0.000000|	
40.159527|	29.752254|	0.000000|	5.290169|	0.000000|	16.807324|	7.104125|	0.000000|	1.700402|	0.000000|	
40.177390|	29.771981|	0.000000|	5.266103|	0.000000|	16.818084|	7.111957|	0.000000|	1.700645|	0.000000|	
40.132555|	29.738474|	0.000000|	5.240804|	0.000000|	16.823416|	7.123373|	0.000000|	1.708727|	0.000000|	
40.181269|	29.779263|	0.000000|	5.271097|	0.000000|	16.718306|	7.106473|	0.000000|	1.691149|	0.000000|	
40.125115|	29.725704|	0.000000|	5.265192|	0.000000|	16.886917|	7.108857|	0.000000|	1.716658|	0.000000|	
40.167471|	29.763049|	0.000000|	5.286353|	0.000000|	16.739046|	7.139040|	0.000000|	1.682503|	0.000000|	
40.809409|	30.421984|	0.000000|	5.324366|	0.000000|	16.816897|	7.076063|	0.000000|	1.698156|	0.000000|	
40.376811|	29.981818|	0.000000|	5.246209|	0.000000|	16.794834|	7.097887|	0.000000|	1.690410|	0.000000|	
39.992812|	29.642493|	0.000000|	5.262795|	0.000000|	16.809683|	7.109865|	0.000000|	1.683132|	0.000000|	
39.773134|	29.416773|	0.000000|	4.919603|	0.000000|	16.794036|	7.094797|	0.000000|	1.707577|	0.000000|	
40.198912|	29.798020|	0.000000|	5.354285|	0.000000|	16.816724|	7.116972|	0.000000|	1.716955|	0.000000|	
40.174975|	29.773643|	0.000000|	5.318177|	0.000000|	16.810751|	7.108155|	0.000000|	1.718284|	0.000000|	
40.177407|	29.773725|	0.000000|	5.266490|	0.000000|	16.800797|	7.102349|	0.000000|	1.708769|	0.000000|	
40.540451|	30.132937|	0.000000|	5.303273|	0.000000|	16.833584|	7.132530|	0.000000|	1.716536|	0.000000|	
40.806024|	30.412497|	0.000000|	5.274846|	0.000000|	16.794076|	7.095337|	0.000000|	1.682352|	0.000000|	
40.248040|	29.843735|	0.000000|	5.355777|	0.000000|	16.809908|	7.111502|	0.000000|	1.682894|	0.000000|	
40.196928|	29.789036|	0.000000|	5.301064|	0.000000|	16.787771|	7.091073|	0.000000|	1.708111|	0.000000|	
40.208132|	29.803411|	0.000000|	5.295099|	0.000000|	16.797378|	7.101153|	0.000000|	1.691512|	0.000000|	
