Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

31.402673|	21.405947|	0.000000|	3.667178|	0.000000|	23.433928|	13.743992|	0.000000|	1.704347|	0.000000|	
20.583663|	10.672618|	0.000000|	3.214213|	0.000000|	16.772166|	7.096598|	0.000000|	1.623992|	0.000000|	
18.874842|	8.971999|	0.000000|	2.974101|	0.000000|	16.763171|	7.086416|	0.000000|	1.611241|	0.000000|	
28.440999|	18.484722|	0.000000|	3.465682|	0.000000|	16.778089|	7.095528|	0.000000|	1.700321|	0.000000|	
32.389929|	22.389358|	0.000000|	3.608973|	0.000000|	16.734028|	7.049041|	0.000000|	1.682488|	0.000000|	
32.181235|	22.234471|	0.000000|	3.610918|	0.000000|	16.761319|	7.076838|	0.000000|	1.687991|	0.000000|	
32.296203|	22.300767|	0.000000|	3.654166|	0.000000|	16.764338|	7.082521|	0.000000|	1.647004|	0.000000|	
32.297612|	22.306561|	0.000000|	3.592820|	0.000000|	16.670843|	7.035987|	0.000000|	1.664007|	0.000000|	
32.232578|	22.247300|	0.000000|	3.500978|	0.000000|	16.776682|	7.093864|	0.000000|	1.705712|	0.000000|	
32.285569|	22.295761|	0.000000|	3.649490|	0.000000|	16.760181|	7.077289|	0.000000|	1.704304|	0.000000|	
32.777501|	22.780481|	0.000000|	3.686218|	0.000000|	16.751606|	7.067958|	0.000000|	1.720231|	0.000000|	
32.595169|	22.650354|	0.000000|	3.639784|	0.000000|	16.737597|	7.052857|	0.000000|	1.676453|	0.000000|	
32.311584|	22.306614|	0.000000|	3.682762|	0.000000|	16.762671|	7.067435|	0.000000|	1.646186|	0.000000|	
32.288018|	22.284704|	0.000000|	3.675224|	0.000000|	16.702070|	7.062646|	0.000000|	1.687771|	0.000000|	
32.258615|	22.251849|	0.000000|	3.688120|	0.000000|	16.781738|	7.094149|	0.000000|	1.685116|	0.000000|	
32.197338|	22.245336|	0.000000|	3.647924|	0.000000|	16.788865|	7.100363|	0.000000|	1.671618|	0.000000|	
