Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.350379|	25.554066|	0.000000|	1.987222|	0.000000|	16.800388|	7.146989|	0.000000|	1.669081|	0.000000|	
25.758351|	15.912876|	0.000000|	1.975450|	0.000000|	16.901739|	7.233964|	0.000000|	1.624325|	0.000000|	
20.323604|	10.493076|	0.000000|	1.968845|	0.000000|	16.937631|	7.165288|	0.000000|	1.620990|	0.000000|	
22.671609|	12.842972|	0.000000|	1.982172|	0.000000|	16.788155|	7.143390|	0.000000|	1.576471|	0.000000|	
11.420065|	7.061351|	0.000000|	1.071857|	0.000000|	6.920439|	2.621291|	0.000000|	0.913268|	0.000000|	
29.089453|	19.318004|	0.000000|	1.816581|	0.000000|	16.726258|	7.070456|	0.000000|	1.427973|	0.000000|	
21.193021|	11.371520|	0.000000|	1.791474|	0.000000|	16.822269|	7.117836|	0.000000|	1.448492|	0.000000|	
17.466470|	7.652873|	0.000000|	1.781458|	0.000000|	16.821292|	7.125234|	0.000000|	1.454950|	0.000000|	
3.413202|	1.046770|	0.000000|	0.693839|	0.000000|	3.256248|	0.997851|	0.000000|	0.603455|	0.000000|	
3.191411|	0.809892|	0.000000|	0.605292|	0.000000|	3.151083|	0.805858|	0.000000|	0.570519|	0.000000|	
