Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

38.568656|	28.465588|	0.000000|	4.424948|	0.000000|	16.887229|	7.192793|	0.000000|	1.713687|	0.000000|	
38.401976|	28.296540|	0.000000|	4.357164|	0.000000|	16.857399|	7.176805|	0.000000|	1.679777|	0.000000|	
38.448003|	28.338618|	0.000000|	4.402724|	0.000000|	16.870417|	7.182078|	0.000000|	1.706106|	0.000000|	
38.456088|	28.341551|	0.000000|	4.317188|	0.000000|	16.856222|	7.170955|	0.000000|	1.684526|	0.000000|	
38.466255|	28.354711|	0.000000|	4.367399|	0.000000|	16.871976|	7.180412|	0.000000|	1.698385|	0.000000|	
8.192284|	4.953873|	0.000000|	1.112346|	0.000000|	4.942233|	1.698267|	0.000000|	0.698087|	0.000000|	
2.924272|	0.821701|	0.000000|	0.541510|	0.000000|	2.941927|	0.786465|	0.000000|	0.553305|	0.000000|	
12.508282|	6.047179|	0.000000|	1.187723|	0.000000|	10.554591|	4.172040|	0.000000|	1.054142|	0.000000|	
20.584788|	10.776852|	0.000000|	1.680473|	0.000000|	16.786413|	7.096573|	0.000000|	1.452574|	0.000000|	
19.673255|	9.867387|	0.000000|	1.716489|	0.000000|	16.812382|	7.120957|	0.000000|	1.451373|	0.000000|	
