Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

28.597571|	18.571679|	0.000000|	3.944527|	0.000000|	16.860799|	7.183801|	0.000000|	1.667164|	0.000000|	
18.954107|	9.052352|	0.000000|	3.295340|	0.000000|	16.822628|	7.166120|	0.000000|	1.544418|	0.000000|	
20.077077|	10.172339|	0.000000|	3.350992|	0.000000|	16.919225|	7.208006|	0.000000|	1.678840|	0.000000|	
30.447585|	20.442684|	0.000000|	3.993039|	0.000000|	16.749552|	7.168794|	0.000000|	1.673627|	0.000000|	
32.856036|	22.799887|	0.000000|	4.052968|	0.000000|	16.855931|	7.137147|	0.000000|	1.690789|	0.000000|	
32.904623|	22.844065|	0.000000|	4.067064|	0.000000|	16.834962|	7.155156|	0.000000|	1.708123|	0.000000|	
32.834427|	22.770874|	0.000000|	4.117175|	0.000000|	16.829296|	7.152900|	0.000000|	1.682054|	0.000000|	
32.803965|	22.737054|	0.000000|	4.150841|	0.000000|	16.827000|	7.144876|	0.000000|	1.690860|	0.000000|	
32.852790|	22.781145|	0.000000|	4.218031|	0.000000|	16.863897|	7.176278|	0.000000|	1.707443|	0.000000|	
33.065767|	23.047839|	0.000000|	4.220291|	0.000000|	16.819511|	7.138788|	0.000000|	1.723195|	0.000000|	
28.257717|	19.467911|	0.000000|	3.590669|	0.000000|	14.558713|	6.114633|	0.000000|	1.507864|	0.000000|	
2.515346|	0.711919|	0.000000|	0.554580|	0.000000|	2.424806|	0.653487|	0.000000|	0.549329|	0.000000|	
2.610504|	0.723898|	0.000000|	0.540909|	0.000000|	2.543088|	0.688063|	0.000000|	0.559475|	0.000000|	
3.089466|	0.982429|	0.000000|	0.567439|	0.000000|	2.972617|	0.857438|	0.000000|	0.593151|	0.000000|	
2.605415|	0.703853|	0.000000|	0.582576|	0.000000|	2.508183|	0.674103|	0.000000|	0.552827|	0.000000|	
2.728104|	0.740460|	0.000000|	0.589581|	0.000000|	2.685115|	0.728208|	0.000000|	0.564853|	0.000000|	
2.558786|	0.683502|	0.000000|	0.593949|	0.000000|	2.517241|	0.668442|	0.000000|	0.554917|	0.000000|	
14.420237|	6.628247|	0.000000|	1.510643|	0.000000|	13.092138|	5.399903|	0.000000|	1.246377|	0.000000|	
5.790047|	2.234194|	0.000000|	0.825337|	0.000000|	5.519094|	1.924284|	0.000000|	0.758907|	0.000000|	
2.617618|	0.716662|	0.000000|	0.545464|	0.000000|	2.583075|	0.707227|	0.000000|	0.569131|	0.000000|	
