Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

30.891722|	20.853245|	0.000000|	3.210443|	0.000000|	16.840385|	7.127399|	0.000000|	1.687562|	0.000000|	
34.809956|	24.767453|	0.000000|	3.457214|	0.000000|	16.785508|	7.091472|	0.000000|	1.598810|	0.000000|	
40.418324|	30.348668|	0.000000|	3.574264|	0.000000|	16.806628|	7.110639|	0.000000|	1.627539|	0.000000|	
46.101378|	36.002394|	0.000000|	3.642502|	0.000000|	16.807126|	7.106270|	0.000000|	1.633529|	0.000000|	
46.133088|	36.028517|	0.000000|	3.582922|	0.000000|	16.807491|	7.107300|	0.000000|	1.610469|	0.000000|	
45.859620|	35.993501|	0.000000|	3.504140|	0.000000|	16.795150|	7.091853|	0.000000|	1.638697|	0.000000|	
46.109803|	35.815722|	0.000000|	3.573690|	0.000000|	16.803604|	7.094174|	0.000000|	1.643954|	0.000000|	
46.359334|	36.254300|	0.000000|	3.530684|	0.000000|	16.820509|	7.110918|	0.000000|	1.635442|	0.000000|	
48.422622|	38.301198|	0.000000|	3.629589|	0.000000|	16.806617|	7.097642|	0.000000|	1.639972|	0.000000|	
47.154962|	37.037711|	0.000000|	3.391627|	0.000000|	16.741778|	7.081131|	0.000000|	1.621020|	0.000000|	
46.213640|	36.102830|	0.000000|	3.457976|	0.000000|	17.446399|	7.738625|	0.000000|	1.645432|	0.000000|	
45.973248|	35.900338|	0.000000|	3.423866|	0.000000|	17.470139|	7.759679|	0.000000|	1.611940|	0.000000|	
46.185677|	36.064260|	0.000000|	3.466508|	0.000000|	17.477944|	7.765342|	0.000000|	1.650578|	0.000000|	
46.152791|	36.040514|	0.000000|	3.468684|	0.000000|	17.463484|	7.752031|	0.000000|	1.667613|	0.000000|	
46.313521|	36.189893|	0.000000|	3.405782|	0.000000|	17.460945|	7.748108|	0.000000|	1.615383|	0.000000|	
47.234417|	37.110753|	0.000000|	3.379174|	0.000000|	16.797668|	7.093157|	0.000000|	1.665269|	0.000000|	
48.565256|	38.428178|	0.000000|	3.585471|	0.000000|	16.811490|	7.102658|	0.000000|	1.611118|	0.000000|	
46.312879|	36.179625|	0.000000|	3.440603|	0.000000|	16.727555|	7.068620|	0.000000|	1.632686|	0.000000|	
46.051173|	35.970669|	0.000000|	3.616372|	0.000000|	16.814335|	7.109196|	0.000000|	1.628042|	0.000000|	
46.251433|	36.122656|	0.000000|	3.548840|	0.000000|	16.810275|	7.106277|	0.000000|	1.640514|	0.000000|	
46.249648|	36.117789|	0.000000|	3.500457|	0.000000|	16.803759|	7.100341|	0.000000|	1.619062|	0.000000|	
46.294010|	36.160834|	0.000000|	3.564103|	0.000000|	16.801054|	7.099813|	0.000000|	1.611192|	0.000000|	
46.308098|	36.173903|	0.000000|	3.588144|	0.000000|	16.831124|	7.124601|	0.000000|	1.600447|	0.000000|	
48.281545|	38.144667|	0.000000|	3.679583|	0.000000|	16.820957|	7.113433|	0.000000|	1.617386|	0.000000|	
47.006686|	36.871940|	0.000000|	3.584756|	0.000000|	16.823062|	7.113094|	0.000000|	1.613938|	0.000000|	
